energy_sources,load_zones,period,planned_capacity_mw
Uranium,Anhui,2025,2350
Uranium,Anhui,2035,2350
Uranium,Anhui,2045,2350
Uranium,Fujian,2025,14104
Uranium,Fujian,2035,14104
Uranium,Fujian,2045,14104
Uranium,Guangdong,2025,25282
Uranium,Guangdong,2035,25282
Uranium,Guangdong,2045,25282
Uranium,Guangxi,2025,2030
Uranium,Guangxi,2035,2030
Uranium,Guangxi,2045,2030
Uranium,Hainan,2025,1222
Uranium,Hainan,2035,1222
Uranium,Hainan,2045,1222
Uranium,Hubei,2025,4700
Uranium,Hubei,2035,4700
Uranium,Hubei,2045,4700
Uranium,Hunan,2025,7050
Uranium,Hunan,2035,7050
Uranium,Hunan,2045,7050
Uranium,Jiangsu,2025,10394
Uranium,Jiangsu,2035,10394
Uranium,Jiangsu,2045,10394
Uranium,Jiangxi,2025,3525
Uranium,Jiangxi,2035,3525
Uranium,Jiangxi,2045,3525
Uranium,Liaoning,2025,8478
Uranium,Liaoning,2035,8478
Uranium,Liaoning,2045,8478
Uranium,Shandong,2025,12567
Uranium,Shandong,2035,12567
Uranium,Shandong,2045,12567
Uranium,Zhejiang,2025,13207
Uranium,Zhejiang,2035,13207
Uranium,Zhejiang,2045,13207
Wind,East_Inner_Mongolia,2025,10000
Wind,East_Inner_Mongolia,2035,22000
Wind,East_Inner_Mongolia,2045,30000
Wind,Gansu,2025,10000
Wind,Gansu,2035,22000
Wind,Gansu,2045,30000
Wind,Hebei,2025,10000
Wind,Hebei,2035,22000
Wind,Hebei,2045,30000
Wind,Jiangsu,2025,10000
Wind,Jiangsu,2035,22000
Wind,Jiangsu,2045,30000
Wind,Jilin,2025,10000
Wind,Jilin,2035,21392
Wind,Jilin,2045,28986
Wind,West_Inner_Mongolia,2025,10000
Wind,West_Inner_Mongolia,2035,22000
Wind,West_Inner_Mongolia,2045,30000
Wind,Xinjiang,2025,10000
Wind,Xinjiang,2035,22000
Wind,Xinjiang,2045,30000
