regional_fuel_market,period,tier,unit_cost,max_avail_at_cost
CN_Coal,2025,0,0.4242,4016636878
CN_Coal,2025,1,1.2726,4016636878
CN_Coal,2025,2,2.121,4016636878
CN_Coal,2025,3,2.9694,4016636878
CN_Coal,2025,4,3.8178,4016636878
CN_Coal,2025,5,4.6662,4016636878
CN_Coal,2025,6,5.5146,4016636878
CN_Coal,2025,7,6.363,4016636878
CN_Coal,2025,8,7.2114,4016636878
CN_Coal,2025,9,8.0598,4016636878
CN_Coal,2025,10,8.9082,2259317438
CN_Gas,2025,0,0.72,414429091
CN_Gas,2025,1,2.16,414429091
CN_Gas,2025,2,3.6,414429091
CN_Gas,2025,3,5.04,414429091
CN_Gas,2025,4,6.48,414429091
CN_Gas,2025,5,7.92,414429091
CN_Gas,2025,6,9.36,414429091
CN_Gas,2025,7,10.8,414429091
CN_Gas,2025,8,12.24,414429091
CN_Gas,2025,9,13.68,414429091
CN_Gas,2025,10,15.12,31426220
CN_Uranium,2025,0,0.098,992167047
CN_Uranium,2025,1,0.293999999,992167047
CN_Uranium,2025,2,0.489999998,992167047
CN_Uranium,2025,3,0.685999997,992167047
CN_Uranium,2025,4,0.881999996,992167047
CN_Uranium,2025,5,1.077999995,992167047
CN_Uranium,2025,6,1.273999994,992167047
CN_Uranium,2025,7,1.469999993,992167047
CN_Uranium,2025,8,1.665999992,992167047
CN_Uranium,2025,9,1.861999991,992167047
CN_Uranium,2025,10,2.05799999,4071089
CN_Coal,2035,0,0.3696,2446311071
CN_Coal,2035,1,1.1088,2446311071
CN_Coal,2035,2,1.848,2446311071
CN_Coal,2035,3,2.5872,2446311071
CN_Coal,2035,4,3.3264,2446311071
CN_Coal,2035,5,4.0656,2446311071
CN_Coal,2035,6,4.8048,2446311071
CN_Coal,2035,7,5.544,2446311071
CN_Coal,2035,8,6.2832,2446311071
CN_Coal,2035,9,7.0224,2446311071
CN_Coal,2035,10,7.7616,2446311071
CN_Coal,2035,11,8.5008,104350782
CN_Gas,2035,0,0.82,489914222
CN_Gas,2035,1,2.46,489914222
CN_Gas,2035,2,4.1,489914222
CN_Gas,2035,3,5.74,489914222
CN_Gas,2035,4,7.38,489914222
CN_Gas,2035,5,9.02,489914222
CN_Gas,2035,6,10.66,489914222
CN_Gas,2035,7,12.3,489914222
CN_Gas,2035,8,13.94,489914222
CN_Gas,2035,9,15.58,489914222
CN_Gas,2035,10,17.22,489914222
CN_Gas,2035,11,18.86,58483610
CN_Uranium,2035,0,0.113999999,2178682999
CN_Uranium,2035,1,0.341999996,2178682999
CN_Uranium,2035,2,0.569999993,2178682999
CN_Uranium,2035,3,0.79799999,2178682999
CN_Uranium,2035,4,1.025999987,2178682999
CN_Uranium,2035,5,1.253999984,2178682999
CN_Uranium,2035,6,1.481999981,2178682999
CN_Uranium,2035,7,1.709999978,2178682999
CN_Uranium,2035,8,1.937999975,2178682999
CN_Uranium,2035,9,2.165999972,2178682999
CN_Uranium,2035,10,2.393999969,381146715
CN_Coal,2045,0,0.3444,1192341733
CN_Coal,2045,1,1.0332,1192341733
CN_Coal,2045,2,1.722,1192341733
CN_Coal,2045,3,2.4108,1192341733
CN_Coal,2045,4,3.0996,1192341733
CN_Coal,2045,5,3.7884,1192341733
CN_Coal,2045,6,4.4772,1192341733
CN_Coal,2045,7,5.166,1192341733
CN_Coal,2045,8,5.8548,1192341733
CN_Coal,2045,9,6.5436,1192341733
CN_Coal,2045,10,7.2324,1192341733
CN_Coal,2045,11,7.9212,66651885
CN_Gas,2045,0,0.83,386464128
CN_Gas,2045,1,2.49,386464128
CN_Gas,2045,2,4.15,386464128
CN_Gas,2045,3,5.81,386464128
CN_Gas,2045,4,7.47,386464128
CN_Gas,2045,5,9.13,386464128
CN_Gas,2045,6,10.79,386464128
CN_Gas,2045,7,12.45,386464128
CN_Gas,2045,8,14.11,386464128
CN_Gas,2045,9,15.77,386464128
CN_Gas,2045,10,17.43,151130630
CN_Uranium,2045,0,0.13,2975704372
CN_Uranium,2045,1,0.39,2975704372
CN_Uranium,2045,2,0.65,2975704372
CN_Uranium,2045,3,0.91,2975704372
CN_Uranium,2045,4,1.17,2975704372
CN_Uranium,2045,5,1.43,2975704372
CN_Uranium,2045,6,1.69,2975704372
CN_Uranium,2045,7,1.95,2975704372
CN_Uranium,2045,8,2.21,2975704372
CN_Uranium,2045,9,2.47,2975704372
CN_Uranium,2045,10,2.73,287639156
