GENERATION_PROJECT,build_year,build_gen_predetermined,gen_can_retire_early
Anhui-Coal-SUBCRITICAL_EP,2022,2957.95,1
Anhui-Coal-SUPERCRITICAL_EP,2022,38600,1
Anhui-Coal-ULTRASUPERCRITICAL_EP,2022,9050,1
Anhui-Coal-IGCC_EP,2022,0,1
Anhui-Gas-CCGT_EP,2022,0,1
Anhui-Gas-turbine_EP,2022,0,1
Anhui-Nuclear_EP,2022,0,1
Beijing-Coal-SUBCRITICAL_EP,2022,2050,1
Beijing-Coal-SUPERCRITICAL_EP,2022,0,1
Beijing-Coal-ULTRASUPERCRITICAL_EP,2022,0,1
Beijing-Coal-IGCC_EP,2022,0,1
Beijing-Gas-CCGT_EP,2022,9376.38,1
Beijing-Gas-turbine_EP,2022,0,1
Beijing-Nuclear_EP,2022,0,1
Chongqing-Coal-SUBCRITICAL_EP,2022,1767,1
Chongqing-Coal-SUPERCRITICAL_EP,2022,11260,1
Chongqing-Coal-ULTRASUPERCRITICAL_EP,2022,2100,1
Chongqing-Coal-IGCC_EP,2022,0,1
Chongqing-Gas-CCGT_EP,2022,940,1
Chongqing-Gas-turbine_EP,2022,0,1
Chongqing-Nuclear_EP,2022,0,1
East_Inner_Mongolia-Coal-SUBCRITICAL_EP,2022,2839,1
East_Inner_Mongolia-Coal-SUPERCRITICAL_EP,2022,13540,1
East_Inner_Mongolia-Coal-ULTRASUPERCRITICAL_EP,2022,0,1
East_Inner_Mongolia-Coal-IGCC_EP,2022,0,1
East_Inner_Mongolia-Gas-CCGT_EP,2022,0,1
East_Inner_Mongolia-Gas-turbine_EP,2022,0,1
East_Inner_Mongolia-Nuclear_EP,2022,0,1
Fujian-Coal-SUBCRITICAL_EP,2022,1804,1
Fujian-Coal-SUPERCRITICAL_EP,2022,19972,1
Fujian-Coal-ULTRASUPERCRITICAL_EP,2022,4000,1
Fujian-Coal-IGCC_EP,2022,0,1
Fujian-Gas-CCGT_EP,2022,4220,1
Fujian-Gas-turbine_EP,2022,0,1
Fujian-Nuclear_EP,2022,7543,1
Gansu-Coal-SUBCRITICAL_EP,2022,2814,1
Gansu-Coal-SUPERCRITICAL_EP,2022,17295,1
Gansu-Coal-ULTRASUPERCRITICAL_EP,2022,0,1
Gansu-Coal-IGCC_EP,2022,0,1
Gansu-Gas-CCGT_EP,2022,0,1
Gansu-Gas-turbine_EP,2022,0,1
Gansu-Nuclear_EP,2022,0,1
Guangdong-Coal-SUBCRITICAL_EP,2022,6573,1
Guangdong-Coal-SUPERCRITICAL_EP,2022,35239,1
Guangdong-Coal-ULTRASUPERCRITICAL_EP,2022,16000,1
Guangdong-Coal-IGCC_EP,2022,0,1
Guangdong-Gas-CCGT_EP,2022,18768.4,1
Guangdong-Gas-turbine_EP,2022,0,1
Guangdong-Nuclear_EP,2022,18932,1
Guangxi-Coal-SUBCRITICAL_EP,2022,2279.8,1
Guangxi-Coal-SUPERCRITICAL_EP,2022,11050,1
Guangxi-Coal-ULTRASUPERCRITICAL_EP,2022,4000,1
Guangxi-Coal-IGCC_EP,2022,0,1
Guangxi-Gas-CCGT_EP,2022,0,1
Guangxi-Gas-turbine_EP,2022,0,1
Guangxi-Nuclear_EP,2022,4405,1
Guizhou-Coal-SUBCRITICAL_EP,2022,3196.6,1
Guizhou-Coal-SUPERCRITICAL_EP,2022,29800,1
Guizhou-Coal-ULTRASUPERCRITICAL_EP,2022,0,1
Guizhou-Coal-IGCC_EP,2022,0,1
Guizhou-Gas-CCGT_EP,2022,0,1
Guizhou-Gas-turbine_EP,2022,0,1
Guizhou-Nuclear_EP,2022,0,1
Hainan-Coal-SUBCRITICAL_EP,2022,846,1
Hainan-Coal-SUPERCRITICAL_EP,2022,2760,1
Hainan-Coal-ULTRASUPERCRITICAL_EP,2022,0,1
Hainan-Coal-IGCC_EP,2022,0,1
Hainan-Gas-CCGT_EP,2022,604.1,1
Hainan-Gas-turbine_EP,2022,0,1
Hainan-Nuclear_EP,2022,611,1
Hebei-Coal-SUBCRITICAL_EP,2022,6796.5,1
Hebei-Coal-SUPERCRITICAL_EP,2022,36730,1
Hebei-Coal-ULTRASUPERCRITICAL_EP,2022,2000,1
Hebei-Coal-IGCC_EP,2022,0,1
Hebei-Gas-CCGT_EP,2022,800,1
Hebei-Gas-turbine_EP,2022,0,1
Hebei-Nuclear_EP,2022,0,1
Heilongjiang-Coal-SUBCRITICAL_EP,2022,6484,1
Heilongjiang-Coal-SUPERCRITICAL_EP,2022,12130,1
Heilongjiang-Coal-ULTRASUPERCRITICAL_EP,2022,0,1
Heilongjiang-Coal-IGCC_EP,2022,0,1
Heilongjiang-Gas-CCGT_EP,2022,122,1
Heilongjiang-Gas-turbine_EP,2022,0,1
Heilongjiang-Nuclear_EP,2022,0,1
Henan-Coal-SUBCRITICAL_EP,2022,9735.5,1
Henan-Coal-SUPERCRITICAL_EP,2022,51280,1
Henan-Coal-ULTRASUPERCRITICAL_EP,2022,11000,1
Henan-Coal-IGCC_EP,2022,0,1
Henan-Gas-CCGT_EP,2022,2160,1
Henan-Gas-turbine_EP,2022,0,1
Henan-Nuclear_EP,2022,0,1
Hubei-Coal-SUBCRITICAL_EP,2022,1929,1
Hubei-Coal-SUPERCRITICAL_EP,2022,17908,1
Hubei-Coal-ULTRASUPERCRITICAL_EP,2022,3000,1
Hubei-Coal-IGCC_EP,2022,0,1
Hubei-Gas-CCGT_EP,2022,740.3,1
Hubei-Gas-turbine_EP,2022,0,1
Hubei-Nuclear_EP,2022,0,1
Hunan-Coal-SUBCRITICAL_EP,2022,1656.6,1
Hunan-Coal-SUPERCRITICAL_EP,2022,20026,1
Hunan-Coal-ULTRASUPERCRITICAL_EP,2022,2000,1
Hunan-Coal-IGCC_EP,2022,0,1
Hunan-Gas-CCGT_EP,2022,0,1
Hunan-Gas-turbine_EP,2022,0,1
Hunan-Nuclear_EP,2022,0,1
Jiangsu-Coal-SUBCRITICAL_EP,2022,9896.5,1
