GENERATION_PROJECT,gen_loading_level,gen_heat_rate_at_loading_level
Anhui-Coal_1000_OT,0.4,8.471
Anhui-Coal_1000_OT,1.0,7.88
Anhui-Coal_1000_RC,0.4,8.471
Anhui-Coal_1000_RC,1.0,7.88
Anhui-Coal_100_RC,0.4,9.7395
Anhui-Coal_100_RC,1.0,9.06
Anhui-Coal_300_OT,0.4,9.589
Anhui-Coal_300_OT,1.0,8.92
Anhui-Coal_300_RC,0.4,9.589
Anhui-Coal_300_RC,1.0,8.92
Anhui-Coal_600_OT,0.4,9.08375
Anhui-Coal_600_OT,1.0,8.45
Anhui-Coal_600_RC,0.4,9.08375
Anhui-Coal_600_RC,1.0,8.45
Anhui-Coal_IGCC_RC,0.4,12.75715
Anhui-Coal_IGCC_RC,1.0,8.89
Anhui-Coal_Small_RC,0.4,10.406
Anhui-Coal_Small_RC,1.0,9.68
Anhui-EP_Coal_1000_OT,0.4,8.2345
Anhui-EP_Coal_1000_OT,1.0,7.66
Anhui-EP_Coal_1000_RC,0.4,8.2345
Anhui-EP_Coal_1000_RC,1.0,7.66
Anhui-EP_Coal_300_OT,0.4,9.16975
Anhui-EP_Coal_300_OT,1.0,8.53
Anhui-EP_Coal_300_RC,0.4,9.16975
Anhui-EP_Coal_300_RC,1.0,8.53
Anhui-EP_Coal_600_OT,0.4,8.52475
Anhui-EP_Coal_600_OT,1.0,7.9300000000000015
Anhui-EP_Coal_600_RC,0.4,8.524749999999997
Anhui-EP_Coal_600_RC,1.0,7.930000000000001
Anhui-Gas_CCGT_OT,0.45,8.88978
Anhui-Gas_CCGT_OT,1.0,6.47
Anhui-Gas_CCGT_RC,0.45,9.64548
Anhui-Gas_CCGT_RC,1.0,7.02
Anhui-Gas_Combustion_Turbine_RC,0.4,11.03368
Anhui-Gas_Combustion_Turbine_RC,1.0,9.76
Beijing-Coal_100_OT,0.4,9.81475
Beijing-Coal_100_OT,1.0,9.13
Beijing-Coal_100_RC,0.4,9.7395
Beijing-Coal_100_RC,1.0,9.06
Beijing-EP_Gas_CCGT_RC,0.45,9.42564
Beijing-EP_Gas_CCGT_RC,1.0,6.86
Beijing-Gas_CCGT_RC,0.45,9.64548
Beijing-Gas_CCGT_RC,1.0,7.02
Beijing-Gas_Combustion_Turbine_RC,0.4,11.03368
Beijing-Gas_Combustion_Turbine_RC,1.0,9.76
Chongqing-Coal_1000_OT,0.4,8.471
Chongqing-Coal_1000_OT,1.0,7.88
Chongqing-Coal_1000_RC,0.4,8.471
Chongqing-Coal_1000_RC,1.0,7.88
Chongqing-Coal_100_OT,0.4,9.81475
Chongqing-Coal_100_OT,1.0,9.13
Chongqing-Coal_100_RC,0.4,9.7395
Chongqing-Coal_100_RC,1.0,9.06
Chongqing-Coal_300_OT,0.4,9.589
Chongqing-Coal_300_OT,1.0,8.92
Chongqing-Coal_300_RC,0.4,9.589
Chongqing-Coal_300_RC,1.0,8.92
Chongqing-Coal_600_OT,0.4,9.08375
Chongqing-Coal_600_OT,1.0,8.45
Chongqing-Coal_600_RC,0.4,9.08375
Chongqing-Coal_600_RC,1.0,8.45
Chongqing-Coal_IGCC_RC,0.4,12.75715
Chongqing-Coal_IGCC_RC,1.0,8.89
Chongqing-Coal_Small_OT,0.4,10.3845
Chongqing-Coal_Small_OT,1.0,9.66
Chongqing-Coal_Small_RC,0.4,10.406
Chongqing-Coal_Small_RC,1.0,9.68
Chongqing-EP_Coal_1000_RC,0.4,8.2345
Chongqing-EP_Coal_1000_RC,1.0,7.66
Chongqing-EP_Coal_300_OT,0.4,9.16975
Chongqing-EP_Coal_300_OT,1.0,8.53
