hydro_project,timeseries,hydro_min_flow_mw,hydro_avg_flow_mw
Anhui-Hydro_NonPumped-ep,2030.01.28,0,341
Anhui-Hydro_NonPumped-ep,2030.04.15,0,833
Anhui-Hydro_NonPumped-ep,2030.07.01,0,4090
Anhui-Hydro_NonPumped-ep,2030.10.31,0,1014
Anhui-Hydro_NonPumped-ep,2040.01.02,0,381
Anhui-Hydro_NonPumped-ep,2040.04.19,0,934
Anhui-Hydro_NonPumped-ep,2040.07.24,0,4585
Anhui-Hydro_NonPumped-ep,2040.10.13,0,1137
Anhui-Hydro_NonPumped-ep,2050.01.04,0,424
Anhui-Hydro_NonPumped-ep,2050.04.29,0,1036
Anhui-Hydro_NonPumped-ep,2050.07.23,0,5087
Anhui-Hydro_NonPumped-ep,2050.10.22,0,1261
Beijing-Hydro_NonPumped-ep,2030.01.28,0,136
Beijing-Hydro_NonPumped-ep,2030.04.15,0,96
Beijing-Hydro_NonPumped-ep,2030.07.01,0,427
Beijing-Hydro_NonPumped-ep,2030.10.31,0,252
Beijing-Hydro_NonPumped-ep,2040.01.02,0,153
Beijing-Hydro_NonPumped-ep,2040.04.19,0,109
Beijing-Hydro_NonPumped-ep,2040.07.24,0,478
Beijing-Hydro_NonPumped-ep,2040.10.13,0,281
Beijing-Hydro_NonPumped-ep,2050.01.04,0,169
Beijing-Hydro_NonPumped-ep,2050.04.29,0,120
Beijing-Hydro_NonPumped-ep,2050.07.23,0,531
Beijing-Hydro_NonPumped-ep,2050.10.22,0,312
Chongqing-Hydro_NonPumped-ep,2030.01.28,0,1955
Chongqing-Hydro_NonPumped-ep,2030.04.15,0,2546
Chongqing-Hydro_NonPumped-ep,2030.07.01,0,13084
Chongqing-Hydro_NonPumped-ep,2030.10.31,0,8506
Chongqing-Hydro_NonPumped-ep,2040.01.02,0,2191
Chongqing-Hydro_NonPumped-ep,2040.04.19,0,2854
Chongqing-Hydro_NonPumped-ep,2040.07.24,0,14666
Chongqing-Hydro_NonPumped-ep,2040.10.13,0,9534
Chongqing-Hydro_NonPumped-ep,2050.01.04,0,2431
Chongqing-Hydro_NonPumped-ep,2050.04.29,0,3166
Chongqing-Hydro_NonPumped-ep,2050.07.23,0,16269
Chongqing-Hydro_NonPumped-ep,2050.10.22,0,10576
East_Inner_Mongolia-Hydro_NonPumped-ep,2030.01.28,0,277
East_Inner_Mongolia-Hydro_NonPumped-ep,2030.04.15,0,410
East_Inner_Mongolia-Hydro_NonPumped-ep,2030.07.01,0,1000
East_Inner_Mongolia-Hydro_NonPumped-ep,2030.10.31,0,865
East_Inner_Mongolia-Hydro_NonPumped-ep,2040.01.02,0,312
East_Inner_Mongolia-Hydro_NonPumped-ep,2040.04.19,0,460
East_Inner_Mongolia-Hydro_NonPumped-ep,2040.07.24,0,1121
East_Inner_Mongolia-Hydro_NonPumped-ep,2040.10.13,0,969
East_Inner_Mongolia-Hydro_NonPumped-ep,2050.01.04,0,346
East_Inner_Mongolia-Hydro_NonPumped-ep,2050.04.29,0,510
East_Inner_Mongolia-Hydro_NonPumped-ep,2050.07.23,0,1244
East_Inner_Mongolia-Hydro_NonPumped-ep,2050.10.22,0,1075
Fujian-Hydro_NonPumped-ep,2030.01.28,0,1338
Fujian-Hydro_NonPumped-ep,2030.04.15,0,3273
Fujian-Hydro_NonPumped-ep,2030.07.01,0,16063
Fujian-Hydro_NonPumped-ep,2030.10.31,0,3983
Fujian-Hydro_NonPumped-ep,2040.01.02,0,1500
Fujian-Hydro_NonPumped-ep,2040.04.19,0,3669
Fujian-Hydro_NonPumped-ep,2040.07.24,0,18004
Fujian-Hydro_NonPumped-ep,2040.10.13,0,4465
Fujian-Hydro_NonPumped-ep,2050.01.04,0,1665
Fujian-Hydro_NonPumped-ep,2050.04.29,0,4070
Fujian-Hydro_NonPumped-ep,2050.07.23,0,19972
Fujian-Hydro_NonPumped-ep,2050.10.22,0,4953
Gansu-Hydro_NonPumped-ep,2030.01.28,0,3005
Gansu-Hydro_NonPumped-ep,2030.04.15,0,4436
Gansu-Hydro_NonPumped-ep,2030.07.01,0,10814
Gansu-Hydro_NonPumped-ep,2030.10.31,0,9350
Gansu-Hydro_NonPumped-ep,2040.01.02,0,3367
Gansu-Hydro_NonPumped-ep,2040.04.19,0,4974
Gansu-Hydro_NonPumped-ep,2040.07.24,0,12121
Gansu-Hydro_NonPumped-ep,2040.10.13,0,10481
Gansu-Hydro_NonPumped-ep,2050.01.04,0,3735
Gansu-Hydro_NonPumped-ep,2050.04.29,0,5516
Gansu-Hydro_NonPumped-ep,2050.07.23,0,13446
Gansu-Hydro_NonPumped-ep,2050.10.22,0,11627
Guangdong-Hydro_NonPumped-ep,2030.01.28,0,2141
Guangdong-Hydro_NonPumped-ep,2030.04.15,0,5323
Guangdong-Hydro_NonPumped-ep,2030.07.01,0,17161
Guangdong-Hydro_NonPumped-ep,2030.10.31,0,5927
Guangdong-Hydro_NonPumped-ep,2040.01.02,0,2399
Guangdong-Hydro_NonPumped-ep,2040.04.19,0,5967
Guangdong-Hydro_NonPumped-ep,2040.07.24,0,19234
Guangdong-Hydro_NonPumped-ep,2040.10.13,0,6643
Guangdong-Hydro_NonPumped-ep,2050.01.04,0,2661
Guangdong-Hydro_NonPumped-ep,2050.04.29,0,6619
Guangdong-Hydro_NonPumped-ep,2050.07.23,0,21338
Guangdong-Hydro_NonPumped-ep,2050.10.22,0,7370
Guangxi-Hydro_NonPumped-ep,2030.01.28,0,2678
