load_zone,TIMEPOINT,zone_demand_mw
Anhui,2030.01.28.00.00,46432
Anhui,2030.01.28.01.00,44761
Anhui,2030.01.28.02.00,43025
Anhui,2030.01.28.03.00,41723
Anhui,2030.01.28.04.00,40517
Anhui,2030.01.28.05.00,39825
Anhui,2030.01.28.06.00,40398
Anhui,2030.01.28.07.00,40458
Anhui,2030.01.28.08.00,42247
Anhui,2030.01.28.09.00,44848
Anhui,2030.01.28.10.00,47599
Anhui,2030.01.28.11.00,50589
Anhui,2030.01.28.12.00,50257
Anhui,2030.01.28.13.00,52347
Anhui,2030.01.28.14.00,52481
Anhui,2030.01.28.15.00,51970
Anhui,2030.01.28.16.00,51392
Anhui,2030.01.28.17.00,50751
Anhui,2030.01.28.18.00,48046
Anhui,2030.01.28.19.00,48599
Anhui,2030.01.28.20.00,53613
Anhui,2030.01.28.21.00,54441
Anhui,2030.01.28.22.00,52209
Anhui,2030.01.28.23.00,50028
Anhui,2030.04.15.00.00,34151
Anhui,2030.04.15.01.00,32922
Anhui,2030.04.15.02.00,31644
Anhui,2030.04.15.03.00,30687
Anhui,2030.04.15.04.00,29800
Anhui,2030.04.15.05.00,29291
Anhui,2030.04.15.06.00,29713
Anhui,2030.04.15.07.00,29757
Anhui,2030.04.15.08.00,31072
Anhui,2030.04.15.09.00,32986
Anhui,2030.04.15.10.00,35009
Anhui,2030.04.15.11.00,37208
Anhui,2030.04.15.12.00,36964
Anhui,2030.04.15.13.00,38501
Anhui,2030.04.15.14.00,38600
Anhui,2030.04.15.15.00,38223
Anhui,2030.04.15.16.00,37798
Anhui,2030.04.15.17.00,37328
Anhui,2030.04.15.18.00,35338
Anhui,2030.04.15.19.00,35744
Anhui,2030.04.15.20.00,39432
Anhui,2030.04.15.21.00,40041
Anhui,2030.04.15.22.00,38399
Anhui,2030.04.15.23.00,36795
Anhui,2030.07.01.00.00,44980
Anhui,2030.07.01.01.00,43360
Anhui,2030.07.01.02.00,41679
Anhui,2030.07.01.03.00,40418
Anhui,2030.07.01.04.00,39250
Anhui,2030.07.01.05.00,38579
Anhui,2030.07.01.06.00,39134
Anhui,2030.07.01.07.00,39194
Anhui,2030.07.01.08.00,40925
Anhui,2030.07.01.09.00,43445
Anhui,2030.07.01.10.00,46111
Anhui,2030.07.01.11.00,49006
Anhui,2030.07.01.12.00,48686
Anhui,2030.07.01.13.00,50709
Anhui,2030.07.01.14.00,50840
Anhui,2030.07.01.15.00,50344
Anhui,2030.07.01.16.00,49784
Anhui,2030.07.01.17.00,49164
Anhui,2030.07.01.18.00,46544
Anhui,2030.07.01.19.00,47079
Anhui,2030.07.01.20.00,51936
Anhui,2030.07.01.21.00,52738
Anhui,2030.07.01.22.00,50576
Anhui,2030.07.01.23.00,48463
Anhui,2030.10.31.00.00,35457
Anhui,2030.10.31.01.00,34180
Anhui,2030.10.31.02.00,32855
Anhui,2030.10.31.03.00,31861
Anhui,2030.10.31.04.00,30941
Anhui,2030.10.31.05.00,30411
Anhui,2030.10.31.06.00,30849
Anhui,2030.10.31.07.00,30896
Anhui,2030.10.31.08.00,32262
Anhui,2030.10.31.09.00,34248
Anhui,2030.10.31.10.00,36349
Anhui,2030.10.31.11.00,38630
Anhui,2030.10.31.12.00,38378
Anhui,2030.10.31.13.00,39974
Anhui,2030.10.31.14.00,40076
Anhui,2030.10.31.15.00,39686
Anhui,2030.10.31.16.00,39245
Anhui,2030.10.31.17.00,38755
Anhui,2030.10.31.18.00,36689
Anhui,2030.10.31.19.00,37112
Anhui,2030.10.31.20.00,40941
Anhui,2030.10.31.21.00,41573
Anhui,2030.10.31.22.00,39868
Anhui,2030.10.31.23.00,38203
Anhui,2040.01.02.00.00,49256
Anhui,2040.01.02.01.00,47482
Anhui,2040.01.02.02.00,45641
Anhui,2040.01.02.03.00,44260
Anhui,2040.01.02.04.00,42981
Anhui,2040.01.02.05.00,42246
Anhui,2040.01.02.06.00,42854
Anhui,2040.01.02.07.00,42919
Anhui,2040.01.02.08.00,44816
Anhui,2040.01.02.09.00,47575
Anhui,2040.01.02.10.00,50494
Anhui,2040.01.02.11.00,53664
Anhui,2040.01.02.12.00,53313
Anhui,2040.01.02.13.00,55530
Anhui,2040.01.02.14.00,55672
Anhui,2040.01.02.15.00,55130
Anhui,2040.01.02.16.00,54516
Anhui,2040.01.02.17.00,53838
Anhui,2040.01.02.18.00,50968
Anhui,2040.01.02.19.00,51554
Anhui,2040.01.02.20.00,56873
Anhui,2040.01.02.21.00,57751
