GENERATION_PROJECT,timepoint,gen_max_capacity_factor
Anhui-Central_PV,2030.01.28.00.00,0
Anhui-Central_PV,2030.01.28.01.00,0
Anhui-Central_PV,2030.01.28.02.00,0
Anhui-Central_PV,2030.01.28.03.00,0
Anhui-Central_PV,2030.01.28.04.00,0
Anhui-Central_PV,2030.01.28.05.00,0
Anhui-Central_PV,2030.01.28.06.00,0
Anhui-Central_PV,2030.01.28.07.00,0.023
Anhui-Central_PV,2030.01.28.08.00,0.149
Anhui-Central_PV,2030.01.28.09.00,0.321
Anhui-Central_PV,2030.01.28.10.00,0.445
Anhui-Central_PV,2030.01.28.11.00,0.518
Anhui-Central_PV,2030.01.28.12.00,0.431
Anhui-Central_PV,2030.01.28.13.00,0.374
Anhui-Central_PV,2030.01.28.14.00,0.301
Anhui-Central_PV,2030.01.28.15.00,0.239
Anhui-Central_PV,2030.01.28.16.00,0.088
Anhui-Central_PV,2030.01.28.17.00,0.001
Anhui-Central_PV,2030.01.28.18.00,0
Anhui-Central_PV,2030.01.28.19.00,0
Anhui-Central_PV,2030.01.28.20.00,0
Anhui-Central_PV,2030.01.28.21.00,0
Anhui-Central_PV,2030.01.28.22.00,0
Anhui-Central_PV,2030.01.28.23.00,0
Anhui-Central_PV,2030.04.15.00.00,0
Anhui-Central_PV,2030.04.15.01.00,0
Anhui-Central_PV,2030.04.15.02.00,0
Anhui-Central_PV,2030.04.15.03.00,0
Anhui-Central_PV,2030.04.15.04.00,0
Anhui-Central_PV,2030.04.15.05.00,0
Anhui-Central_PV,2030.04.15.06.00,0.043
Anhui-Central_PV,2030.04.15.07.00,0.117
Anhui-Central_PV,2030.04.15.08.00,0.177
Anhui-Central_PV,2030.04.15.09.00,0.338
Anhui-Central_PV,2030.04.15.10.00,0.612
Anhui-Central_PV,2030.04.15.11.00,0.725
Anhui-Central_PV,2030.04.15.12.00,0.742
Anhui-Central_PV,2030.04.15.13.00,0.717
Anhui-Central_PV,2030.04.15.14.00,0.64
Anhui-Central_PV,2030.04.15.15.00,0.504
Anhui-Central_PV,2030.04.15.16.00,0.317
Anhui-Central_PV,2030.04.15.17.00,0.12
Anhui-Central_PV,2030.04.15.18.00,0.008
Anhui-Central_PV,2030.04.15.19.00,0
Anhui-Central_PV,2030.04.15.20.00,0
Anhui-Central_PV,2030.04.15.21.00,0
Anhui-Central_PV,2030.04.15.22.00,0
Anhui-Central_PV,2030.04.15.23.00,0
Anhui-Central_PV,2030.07.01.00.00,0
Anhui-Central_PV,2030.07.01.01.00,0
Anhui-Central_PV,2030.07.01.02.00,0
Anhui-Central_PV,2030.07.01.03.00,0
Anhui-Central_PV,2030.07.01.04.00,0
Anhui-Central_PV,2030.07.01.05.00,0.009
Anhui-Central_PV,2030.07.01.06.00,0.115
Anhui-Central_PV,2030.07.01.07.00,0.293
Anhui-Central_PV,2030.07.01.08.00,0.47
Anhui-Central_PV,2030.07.01.09.00,0.606
Anhui-Central_PV,2030.07.01.10.00,0.686
Anhui-Central_PV,2030.07.01.11.00,0.714
Anhui-Central_PV,2030.07.01.12.00,0.656
Anhui-Central_PV,2030.07.01.13.00,0.544
Anhui-Central_PV,2030.07.01.14.00,0.424
Anhui-Central_PV,2030.07.01.15.00,0.381
Anhui-Central_PV,2030.07.01.16.00,0.271
Anhui-Central_PV,2030.07.01.17.00,0.092
Anhui-Central_PV,2030.07.01.18.00,0.011
Anhui-Central_PV,2030.07.01.19.00,0
Anhui-Central_PV,2030.07.01.20.00,0
Anhui-Central_PV,2030.07.01.21.00,0
Anhui-Central_PV,2030.07.01.22.00,0
Anhui-Central_PV,2030.07.01.23.00,0
Anhui-Central_PV,2030.10.31.00.00,0
Anhui-Central_PV,2030.10.31.01.00,0
Anhui-Central_PV,2030.10.31.02.00,0
Anhui-Central_PV,2030.10.31.03.00,0
Anhui-Central_PV,2030.10.31.04.00,0
Anhui-Central_PV,2030.10.31.05.00,0
Anhui-Central_PV,2030.10.31.06.00,0
Anhui-Central_PV,2030.10.31.07.00,0.099
Anhui-Central_PV,2030.10.31.08.00,0.321
Anhui-Central_PV,2030.10.31.09.00,0.524
Anhui-Central_PV,2030.10.31.10.00,0.66
Anhui-Central_PV,2030.10.31.11.00,0.674
Anhui-Central_PV,2030.10.31.12.00,0.685
Anhui-Central_PV,2030.10.31.13.00,0.633
Anhui-Central_PV,2030.10.31.14.00,0.556
Anhui-Central_PV,2030.10.31.15.00,0.378
Anhui-Central_PV,2030.10.31.16.00,0.165
Anhui-Central_PV,2030.10.31.17.00,0.01
Anhui-Central_PV,2030.10.31.18.00,0
Anhui-Central_PV,2030.10.31.19.00,0
Anhui-Central_PV,2030.10.31.20.00,0
Anhui-Central_PV,2030.10.31.21.00,0
Anhui-Central_PV,2030.10.31.22.00,0
Anhui-Central_PV,2030.10.31.23.00,0
Beijing-Central_PV,2030.01.28.00.00,0
Beijing-Central_PV,2030.01.28.01.00,0
Beijing-Central_PV,2030.01.28.02.00,0
Beijing-Central_PV,2030.01.28.03.00,0
Beijing-Central_PV,2030.01.28.04.00,0
Beijing-Central_PV,2030.01.28.05.00,0
Beijing-Central_PV,2030.01.28.06.00,0
Beijing-Central_PV,2030.01.28.07.00,0.044
Beijing-Central_PV,2030.01.28.08.00,0.283
Beijing-Central_PV,2030.01.28.09.00,0.507
Beijing-Central_PV,2030.01.28.10.00,0.655
Beijing-Central_PV,2030.01.28.11.00,0.696
Beijing-Central_PV,2030.01.28.12.00,0.699
Beijing-Central_PV,2030.01.28.13.00,0.636
Beijing-Central_PV,2030.01.28.14.00,0.431
Beijing-Central_PV,2030.01.28.15.00,0.241
Beijing-Central_PV,2030.01.28.16.00,0.066
Beijing-Central_PV,2030.01.28.17.00,0
Beijing-Central_PV,2030.01.28.18.00,0
Beijing-Central_PV,2030.01.28.19.00,0
Beijing-Central_PV,2030.01.28.20.00,0
Beijing-Central_PV,2030.01.28.21.00,0
Beijing-Central_PV,2030.01.28.22.00,0
Beijing-Central_PV,2030.01.28.23.00,0
Beijing-Central_PV,2030.04.15.00.00,0
Beijing-Central_PV,2030.04.15.01.00,0
Beijing-Central_PV,2030.04.15.02.00,0
Beijing-Central_PV,2030.04.15.03.00,0
Beijing-Central_PV,2030.04.15.04.00,0
Beijing-Central_PV,2030.04.15.05.00,0.011
Beijing-Central_PV,2030.04.15.06.00,0.124
Beijing-Central_PV,2030.04.15.07.00,0.319
Beijing-Central_PV,2030.04.15.08.00,0.513
Beijing-Central_PV,2030.04.15.09.00,0.632
Beijing-Central_PV,2030.04.15.10.00,0.734
Beijing-Central_PV,2030.04.15.11.00,0.814
Beijing-Central_PV,2030.04.15.12.00,0.825
Beijing-Central_PV,2030.04.15.13.00,0.772
Beijing-Central_PV,2030.04.15.14.00,0.627
Beijing-Central_PV,2030.04.15.15.00,0.382
Beijing-Central_PV,2030.04.15.16.00,0.196
Beijing-Central_PV,2030.04.15.17.00,0.084
Beijing-Central_PV,2030.04.15.18.00,0.02
Beijing-Central_PV,2030.04.15.19.00,0
Beijing-Central_PV,2030.04.15.20.00,0
Beijing-Central_PV,2030.04.15.21.00,0
Beijing-Central_PV,2030.04.15.22.00,0
Beijing-Central_PV,2030.04.15.23.00,0
Beijing-Central_PV,2030.07.01.00.00,0
Beijing-Central_PV,2030.07.01.01.00,0
Beijing-Central_PV,2030.07.01.02.00,0
Beijing-Central_PV,2030.07.01.03.00,0
Beijing-Central_PV,2030.07.01.04.00,0
Beijing-Central_PV,2030.07.01.05.00,0.029
Beijing-Central_PV,2030.07.01.06.00,0.124
Beijing-Central_PV,2030.07.01.07.00,0.26
Beijing-Central_PV,2030.07.01.08.00,0.389
Beijing-Central_PV,2030.07.01.09.00,0.486
Beijing-Central_PV,2030.07.01.10.00,0.55
Beijing-Central_PV,2030.07.01.11.00,0.648
Beijing-Central_PV,2030.07.01.12.00,0.679
Beijing-Central_PV,2030.07.01.13.00,0.659
Beijing-Central_PV,2030.07.01.14.00,0.59
Beijing-Central_PV,2030.07.01.15.00,0.484
Beijing-Central_PV,2030.07.01.16.00,0.329
Beijing-Central_PV,2030.07.01.17.00,0.152
Beijing-Central_PV,2030.07.01.18.00,0.049
Beijing-Central_PV,2030.07.01.19.00,0.002
Beijing-Central_PV,2030.07.01.20.00,0
Beijing-Central_PV,2030.07.01.21.00,0
Beijing-Central_PV,2030.07.01.22.00,0
Beijing-Central_PV,2030.07.01.23.00,0
Beijing-Central_PV,2030.10.31.00.00,0
Beijing-Central_PV,2030.10.31.01.00,0
Beijing-Central_PV,2030.10.31.02.00,0
Beijing-Central_PV,2030.10.31.03.00,0
Beijing-Central_PV,2030.10.31.04.00,0
Beijing-Central_PV,2030.10.31.05.00,0
Beijing-Central_PV,2030.10.31.06.00,0
Beijing-Central_PV,2030.10.31.07.00,0.016
Beijing-Central_PV,2030.10.31.08.00,0.196
Beijing-Central_PV,2030.10.31.09.00,0.448
Beijing-Central_PV,2030.10.31.10.00,0.605
Beijing-Central_PV,2030.10.31.11.00,0.733
Beijing-Central_PV,2030.10.31.12.00,0.733
Beijing-Central_PV,2030.10.31.13.00,0.669
Beijing-Central_PV,2030.10.31.14.00,0.583
Beijing-Central_PV,2030.10.31.15.00,0.387
Beijing-Central_PV,2030.10.31.16.00,0.19
Beijing-Central_PV,2030.10.31.17.00,0
Beijing-Central_PV,2030.10.31.18.00,0
Beijing-Central_PV,2030.10.31.19.00,0
Beijing-Central_PV,2030.10.31.20.00,0
Beijing-Central_PV,2030.10.31.21.00,0
Beijing-Central_PV,2030.10.31.22.00,0
Beijing-Central_PV,2030.10.31.23.00,0
Chongqing-Central_PV,2030.01.28.00.00,0
Chongqing-Central_PV,2030.01.28.01.00,0
Chongqing-Central_PV,2030.01.28.02.00,0
Chongqing-Central_PV,2030.01.28.03.00,0
Chongqing-Central_PV,2030.01.28.04.00,0
Chongqing-Central_PV,2030.01.28.05.00,0
Chongqing-Central_PV,2030.01.28.06.00,0
Chongqing-Central_PV,2030.01.28.07.00,0
Chongqing-Central_PV,2030.01.28.08.00,0.052
Chongqing-Central_PV,2030.01.28.09.00,0.178
Chongqing-Central_PV,2030.01.28.10.00,0.308
Chongqing-Central_PV,2030.01.28.11.00,0.405
Chongqing-Central_PV,2030.01.28.12.00,0.413
Chongqing-Central_PV,2030.01.28.13.00,0.401
Chongqing-Central_PV,2030.01.28.14.00,0.509
Chongqing-Central_PV,2030.01.28.15.00,0.424
Chongqing-Central_PV,2030.01.28.16.00,0.243
Chongqing-Central_PV,2030.01.28.17.00,0.045
Chongqing-Central_PV,2030.01.28.18.00,0
Chongqing-Central_PV,2030.01.28.19.00,0
Chongqing-Central_PV,2030.01.28.20.00,0
Chongqing-Central_PV,2030.01.28.21.00,0
Chongqing-Central_PV,2030.01.28.22.00,0
Chongqing-Central_PV,2030.01.28.23.00,0
Chongqing-Central_PV,2030.04.15.00.00,0
Chongqing-Central_PV,2030.04.15.01.00,0
Chongqing-Central_PV,2030.04.15.02.00,0
Chongqing-Central_PV,2030.04.15.03.00,0
Chongqing-Central_PV,2030.04.15.04.00,0
Chongqing-Central_PV,2030.04.15.05.00,0
Chongqing-Central_PV,2030.04.15.06.00,0
Chongqing-Central_PV,2030.04.15.07.00,0.037
Chongqing-Central_PV,2030.04.15.08.00,0.122
Chongqing-Central_PV,2030.04.15.09.00,0.279
Chongqing-Central_PV,2030.04.15.10.00,0.495
Chongqing-Central_PV,2030.04.15.11.00,0.59
Chongqing-Central_PV,2030.04.15.12.00,0.63
Chongqing-Central_PV,2030.04.15.13.00,0.635
Chongqing-Central_PV,2030.04.15.14.00,0.591
Chongqing-Central_PV,2030.04.15.15.00,0.473
Chongqing-Central_PV,2030.04.15.16.00,0.36
Chongqing-Central_PV,2030.04.15.17.00,0.201
Chongqing-Central_PV,2030.04.15.18.00,0.065
Chongqing-Central_PV,2030.04.15.19.00,0
Chongqing-Central_PV,2030.04.15.20.00,0
Chongqing-Central_PV,2030.04.15.21.00,0
Chongqing-Central_PV,2030.04.15.22.00,0
Chongqing-Central_PV,2030.04.15.23.00,0
Chongqing-Central_PV,2030.07.01.00.00,0
Chongqing-Central_PV,2030.07.01.01.00,0
Chongqing-Central_PV,2030.07.01.02.00,0
Chongqing-Central_PV,2030.07.01.03.00,0
Chongqing-Central_PV,2030.07.01.04.00,0
Chongqing-Central_PV,2030.07.01.05.00,0
Chongqing-Central_PV,2030.07.01.06.00,0.017
Chongqing-Central_PV,2030.07.01.07.00,0.127
Chongqing-Central_PV,2030.07.01.08.00,0.289
Chongqing-Central_PV,2030.07.01.09.00,0.432
Chongqing-Central_PV,2030.07.01.10.00,0.541
Chongqing-Central_PV,2030.07.01.11.00,0.627
Chongqing-Central_PV,2030.07.01.12.00,0.683
Chongqing-Central_PV,2030.07.01.13.00,0.672
Chongqing-Central_PV,2030.07.01.14.00,0.591
Chongqing-Central_PV,2030.07.01.15.00,0.499
Chongqing-Central_PV,2030.07.01.16.00,0.358
Chongqing-Central_PV,2030.07.01.17.00,0.214
Chongqing-Central_PV,2030.07.01.18.00,0.079
Chongqing-Central_PV,2030.07.01.19.00,0.002
Chongqing-Central_PV,2030.07.01.20.00,0
Chongqing-Central_PV,2030.07.01.21.00,0
Chongqing-Central_PV,2030.07.01.22.00,0
Chongqing-Central_PV,2030.07.01.23.00,0
Chongqing-Central_PV,2030.10.31.00.00,0
Chongqing-Central_PV,2030.10.31.01.00,0
Chongqing-Central_PV,2030.10.31.02.00,0
Chongqing-Central_PV,2030.10.31.03.00,0
Chongqing-Central_PV,2030.10.31.04.00,0
Chongqing-Central_PV,2030.10.31.05.00,0
Chongqing-Central_PV,2030.10.31.06.00,0
Chongqing-Central_PV,2030.10.31.07.00,0
Chongqing-Central_PV,2030.10.31.08.00,0.071
Chongqing-Central_PV,2030.10.31.09.00,0.23
Chongqing-Central_PV,2030.10.31.10.00,0.432
Chongqing-Central_PV,2030.10.31.11.00,0.579
Chongqing-Central_PV,2030.10.31.12.00,0.602
Chongqing-Central_PV,2030.10.31.13.00,0.538
Chongqing-Central_PV,2030.10.31.14.00,0.427
Chongqing-Central_PV,2030.10.31.15.00,0.29
Chongqing-Central_PV,2030.10.31.16.00,0.148
Chongqing-Central_PV,2030.10.31.17.00,0.027
Chongqing-Central_PV,2030.10.31.18.00,0
Chongqing-Central_PV,2030.10.31.19.00,0
Chongqing-Central_PV,2030.10.31.20.00,0
Chongqing-Central_PV,2030.10.31.21.00,0
Chongqing-Central_PV,2030.10.31.22.00,0
Chongqing-Central_PV,2030.10.31.23.00,0
East_Inner_Mongolia-Central_PV,2030.01.28.00.00,0
East_Inner_Mongolia-Central_PV,2030.01.28.01.00,0
East_Inner_Mongolia-Central_PV,2030.01.28.02.00,0
