LOAD_ZONE,PERIOD,zone_expected_coincident_peak_demand
Anhui,2025,65460
Beijing,2025,39056
Chongqing,2025,34597
East_Inner_Mongolia,2025,14526
Fujian,2025,61124
Gansu,2025,25432
Guangdong,2025,182048
Guangxi,2025,41429
Guizhou,2025,41259
Hainan,2025,8163
Hebei,2025,60429
Heilongjiang,2025,24012
Henan,2025,109461
Hubei,2025,62279
Hunan,2025,50201
Jiangsu,2025,172478
Jiangxi,2025,39689
Jilin,2025,19135
Liaoning,2025,54160
Ningxia,2025,21685
Qinghai,2025,15781
Shaanxi,2025,40801
Shandong,2025,135003
Shanghai,2025,51624
Shanxi,2025,54600
Sichuan,2025,69060
Tianjin,2025,26065
Tibet,2025,2449
West_Inner_Mongolia,2025,56734
Xinjiang,2025,51451
Yunnan,2025,36420
Zhejiang,2025,130070
Anhui,2035,78096
Beijing,2035,46597
Chongqing,2035,41277
East_Inner_Mongolia,2035,17329
Fujian,2035,72923
Gansu,2035,30439
Guangdong,2035,217190
Guangxi,2035,49426
Guizhou,2035,49222
Hainan,2035,9570
Hebei,2035,72094
Heilongjiang,2035,29745
Henan,2035,130590
Hubei,2035,74301
Hunan,2035,59892
Jiangsu,2035,205772
Jiangxi,2035,47350
Jilin,2035,22901
Liaoning,2035,64614
Ningxia,2035,25869
Qinghai,2035,20348
Shaanxi,2035,48677
Shandong,2035,161062
Shanghai,2035,61588
Shanxi,2035,65139
Sichuan,2035,82392
Tianjin,2035,31097
Tibet,2035,2921
West_Inner_Mongolia,2035,67686
Xinjiang,2035,60952
Yunnan,2035,43067
Zhejiang,2035,155178
Anhui,2045,83441
Beijing,2045,49786
Chongqing,2045,44101
East_Inner_Mongolia,2045,18516
Fujian,2045,77914
Gansu,2045,32419
Guangdong,2045,232057
Guangxi,2045,52810
Guizhou,2045,52591
Hainan,2045,10225
Hebei,2045,77213
Heilongjiang,2045,30608
Henan,2045,141805
Hubei,2045,81618
Hunan,2045,63992
Jiangsu,2045,219859
Jiangxi,2045,50591
Jilin,2045,24391
Liaoning,2045,69037
Ningxia,2045,27641
Qinghai,2045,20346
Shaanxi,2045,52008
Shandong,2045,172088
Shanghai,2045,65804
Shanxi,2045,69599
Sichuan,2045,88032
Tianjin,2045,33226
Tibet,2045,3121
West_Inner_Mongolia,2045,72320
Xinjiang,2045,64384
Yunnan,2045,45620
Zhejiang,2045,165800
