load_zone,regional_fuel_market
Tibet,CN_Coal
Shanxi,CN_Coal
West_Inner_Mongolia,CN_Coal
Anhui,CN_Coal
Jiangxi,CN_Coal
Henan,CN_Coal
Hubei,CN_Coal
Hunan,CN_Coal
East_Inner_Mongolia,CN_Coal
Jilin,CN_Coal
Heilongjiang,CN_Coal
Beijing,CN_Coal
Sichuan,CN_Coal
Guizhou,CN_Coal
Yunnan,CN_Coal
Shaanxi,CN_Coal
Gansu,CN_Coal
Qinghai,CN_Coal
Ningxia,CN_Coal
Xinjiang,CN_Coal
Chongqing,CN_Coal
Shanghai,CN_Coal
Tianjin,CN_Coal
Jiangsu,CN_Coal
Zhejiang,CN_Coal
Hebei,CN_Coal
Fujian,CN_Coal
Shandong,CN_Coal
Liaoning,CN_Coal
Guangdong,CN_Coal
Guangxi,CN_Coal
Hainan,CN_Coal
Tibet,CN_Gas
Shanxi,CN_Gas
West_Inner_Mongolia,CN_Gas
Anhui,CN_Gas
Jiangxi,CN_Gas
Henan,CN_Gas
Hubei,CN_Gas
Hunan,CN_Gas
East_Inner_Mongolia,CN_Gas
Jilin,CN_Gas
Heilongjiang,CN_Gas
Beijing,CN_Gas
Sichuan,CN_Gas
Guizhou,CN_Gas
Yunnan,CN_Gas
Shaanxi,CN_Gas
Gansu,CN_Gas
Qinghai,CN_Gas
Ningxia,CN_Gas
Xinjiang,CN_Gas
Chongqing,CN_Gas
Shanghai,CN_Gas
Tianjin,CN_Gas
Jiangsu,CN_Gas
Zhejiang,CN_Gas
Hebei,CN_Gas
Fujian,CN_Gas
Shandong,CN_Gas
Liaoning,CN_Gas
Guangdong,CN_Gas
Guangxi,CN_Gas
Hainan,CN_Gas
Tibet,CN_Uranium
Shanxi,CN_Uranium
West_Inner_Mongolia,CN_Uranium
Anhui,CN_Uranium
Jiangxi,CN_Uranium
Henan,CN_Uranium
Hubei,CN_Uranium
Hunan,CN_Uranium
East_Inner_Mongolia,CN_Uranium
Jilin,CN_Uranium
Heilongjiang,CN_Uranium
Beijing,CN_Uranium
Sichuan,CN_Uranium
Guizhou,CN_Uranium
Yunnan,CN_Uranium
Shaanxi,CN_Uranium
Gansu,CN_Uranium
Qinghai,CN_Uranium
Ningxia,CN_Uranium
Xinjiang,CN_Uranium
Chongqing,CN_Uranium
Shanghai,CN_Uranium
Tianjin,CN_Uranium
Jiangsu,CN_Uranium
Zhejiang,CN_Uranium
Hebei,CN_Uranium
Fujian,CN_Uranium
Shandong,CN_Uranium
Liaoning,CN_Uranium
Guangdong,CN_Uranium
Guangxi,CN_Uranium
Hainan,CN_Uranium
