GENERATION_PROJECT,gen_storage_energy_limit_mwh
Anhui-ERES_2030,122.4918
Anhui-ERES_2040,26.3466
Anhui-ERES_2050,26.3466
Beijing-ERES_2030,65.6676
Beijing-ERES_2040,14.1372
Beijing-ERES_2050,14.1372
Chongqing-ERES_2030,42.5034
Chongqing-ERES_2040,9.1188
Chongqing-ERES_2050,9.1188
East_Inner_Mongolia-ERES_2030,112.5162
East_Inner_Mongolia-ERES_2040,24.174
East_Inner_Mongolia-ERES_2050,24.174
Fujian-ERES_2030,43.0542
Fujian-ERES_2040,9.2412
Fujian-ERES_2050,9.2412
Gansu-ERES_2030,173.0124
Gansu-ERES_2040,37.2096
Gansu-ERES_2050,37.2096
Guangdong-ERES_2030,101.8674
Guangdong-ERES_2040,21.9096
Guangdong-ERES_2050,21.9096
Guangxi-ERES_2030,86.6592
Guangxi-ERES_2040,18.6354
Guangxi-ERES_2050,18.6354
Guizhou-ERES_2030,73.1034
Guizhou-ERES_2040,15.6978
Guizhou-ERES_2050,15.6978
Hainan-ERES_2030,4.4676
Hainan-ERES_2040,0.9486
Hainan-ERES_2050,0.9486
Hebei-ERES_2030,435.591
Hebei-ERES_2040,93.636
Hebei-ERES_2050,93.636
Heilongjiang-ERES_2030,84.3336
Heilongjiang-ERES_2040,18.1458
Heilongjiang-ERES_2050,18.1458
Henan-ERES_2030,263.8638
Henan-ERES_2040,56.7324
Henan-ERES_2050,56.7324
Hubei-ERES_2030,134.1198
Hubei-ERES_2040,28.8252
Hubei-ERES_2050,28.8252
Hunan-ERES_2030,140.8824
Hunan-ERES_2040,30.294
Hunan-ERES_2050,30.294
Jiangsu-ERES_2030,104.6826
Jiangsu-ERES_2040,22.5216
Jiangsu-ERES_2050,22.5216
Jiangxi-ERES_2030,96.6654
Jiangxi-ERES_2040,20.7774
Jiangxi-ERES_2050,20.7774
Jilin-ERES_2030,54.9882
Jilin-ERES_2040,11.8116
Jilin-ERES_2050,11.8116
Liaoning-ERES_2030,121.2066
Liaoning-ERES_2040,26.0712
Liaoning-ERES_2050,26.0712
Ningxia-ERES_2030,21.879
Ningxia-ERES_2040,4.6818
Ningxia-ERES_2050,4.6818
Qinghai-ERES_2030,45.8388
Qinghai-ERES_2040,9.8838
Qinghai-ERES_2050,9.8838
Shaanxi-ERES_2030,208.5696
Shaanxi-ERES_2040,44.8596
Shaanxi-ERES_2050,44.8596
Shandong-ERES_2030,185.283
Shandong-ERES_2040,39.8106
Shandong-ERES_2050,39.8106
Shanghai-ERES_2030,10.557
Shanghai-ERES_2040,2.2644
Shanghai-ERES_2050,2.2644
Shanxi-ERES_2030,248.4108
Shanxi-ERES_2040,53.397
Shanxi-ERES_2050,53.397
Sichuan-ERES_2030,116.9532
Sichuan-ERES_2040,25.1226
Sichuan-ERES_2050,25.1226
Tianjin-ERES_2030,51.0408
Tianjin-ERES_2040,10.9854
Tianjin-ERES_2050,10.9854
Tibet-ERES_2030,4.0698
Tibet-ERES_2040,0.8568
Tibet-ERES_2050,0.8568
West_Inner_Mongolia-ERES_2030,112.5162
West_Inner_Mongolia-ERES_2040,24.174
West_Inner_Mongolia-ERES_2050,24.174
Xinjiang-ERES_2030,133.3548
Xinjiang-ERES_2040,28.6416
Xinjiang-ERES_2050,28.6416
Yunnan-ERES_2030,56.5182
Yunnan-ERES_2040,12.1482
Yunnan-ERES_2050,12.1482
Zhejiang-ERES_2030,74.7558
Zhejiang-ERES_2040,16.065
Zhejiang-ERES_2050,16.065
