GENERATION_PROJECT,gen_tech,gen_energy_source,gen_load_zone,gen_max_age,gen_is_variable,gen_is_flexible_baseload,gen_is_baseload,gen_can_provide_spinning_reserves,gen_can_provide_quickstart_reserves,gen_full_load_heat_rate,gen_variable_om,gen_connect_cost_per_mw,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_capacity_limit_mw,gen_min_build_capacity,gen_is_cogen,gen_storage_efficiency,gen_store_to_release_ratio,gen_storage_energy_to_power_ratio,gen_min_load_fraction,gen_is_pumped_hydro
Anhui-Coal-SUBCRITICAL,Coal-SUBCRITICAL,Coal,Anhui,30,FALSE,TRUE,FALSE,FALSE,FALSE,9.222,0,0,0.52,0.05,.,0,FALSE,.,.,.,0.5,FALSE
Anhui-Coal-SUBCRITICAL_EP,Coal-SUBCRITICAL_EP,Coal,Anhui,30,FALSE,TRUE,FALSE,FALSE,FALSE,9.222,0,0,0.52,0.05,2957.95,0,FALSE,.,.,.,0.5,FALSE
Anhui-Coal-SUPERCRITICAL,Coal-SUPERCRITICAL,Coal,Anhui,40,FALSE,TRUE,FALSE,FALSE,FALSE,8.322292683,0,0,0.32,0.05,.,0,FALSE,.,.,.,0.5,FALSE
Anhui-Coal-SUPERCRITICAL_EP,Coal-SUPERCRITICAL_EP,Coal,Anhui,40,FALSE,TRUE,FALSE,FALSE,FALSE,8.322292683,0,0,0.32,0.05,38600,0,FALSE,.,.,.,0.5,FALSE
Anhui-Coal-ULTRASUPERCRITICAL,Coal-ULTRASUPERCRITICAL,Coal,Anhui,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.420033775,0,0,0.32,0.05,.,0,FALSE,.,.,.,0.5,FALSE
Anhui-Coal-ULTRASUPERCRITICAL_EP,Coal-ULTRASUPERCRITICAL_EP,Coal,Anhui,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.420033775,0,0,0.32,0.05,9050,0,FALSE,.,.,.,0.5,FALSE
Anhui-Coal-IGCC,Coal-IGCC,Coal,Anhui,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.317010225,0,0,0.32,0.05,.,0,FALSE,.,.,.,0.5,FALSE
Anhui-Coal-IGCC_EP,Coal-IGCC_EP,Coal,Anhui,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.317010225,0,0,0.32,0.05,0,0,FALSE,.,.,.,0.5,FALSE
Anhui-Gas-CCGT,Gas-CCGT,Gas,Anhui,20,FALSE,FALSE,FALSE,TRUE,TRUE,5.884166221,0,0,0.65,0.0224,.,0,FALSE,.,.,.,0.4,FALSE
Anhui-Gas-CCGT_EP,Gas-CCGT_EP,Gas,Anhui,20,FALSE,FALSE,FALSE,TRUE,TRUE,5.884166221,0,0,0.65,0.0224,0,0,FALSE,.,.,.,0.4,FALSE
Anhui-Gas-turbine,Gas-turbine,Gas,Anhui,20,FALSE,FALSE,FALSE,TRUE,TRUE,8.610652824,0,0,0.0318,0.0413,.,0,FALSE,.,.,.,0.25,FALSE
Anhui-Gas-turbine_EP,Gas-turbine_EP,Gas,Anhui,20,FALSE,FALSE,FALSE,TRUE,TRUE,8.610652824,0,0,0.0318,0.0413,0,0,FALSE,.,.,.,0.25,FALSE
Anhui-Nuclear,Nuclear,Uranium,Anhui,40,FALSE,FALSE,TRUE,FALSE,FALSE,10.33981818,0,0,0.1112,0.0272,.,0,FALSE,.,.,.,1,FALSE
Anhui-Nuclear_EP,Nuclear_EP,Uranium,Anhui,40,FALSE,FALSE,TRUE,FALSE,FALSE,10.33981818,0,0,0.1112,0.0272,0,0,FALSE,.,.,.,1,FALSE
Beijing-Coal-SUBCRITICAL,Coal-SUBCRITICAL,Coal,Beijing,30,FALSE,TRUE,FALSE,FALSE,FALSE,9.222,0,0,0.52,0.05,.,0,FALSE,.,.,.,0.5,FALSE
Beijing-Coal-SUBCRITICAL_EP,Coal-SUBCRITICAL_EP,Coal,Beijing,30,FALSE,TRUE,FALSE,FALSE,FALSE,9.222,0,0,0.52,0.05,2050,0,FALSE,.,.,.,0.5,FALSE
Beijing-Coal-SUPERCRITICAL,Coal-SUPERCRITICAL,Coal,Beijing,40,FALSE,TRUE,FALSE,FALSE,FALSE,8.322292683,0,0,0.32,0.05,.,0,FALSE,.,.,.,0.5,FALSE
Beijing-Coal-SUPERCRITICAL_EP,Coal-SUPERCRITICAL_EP,Coal,Beijing,40,FALSE,TRUE,FALSE,FALSE,FALSE,8.322292683,0,0,0.32,0.05,0,0,FALSE,.,.,.,0.5,FALSE
Beijing-Coal-ULTRASUPERCRITICAL,Coal-ULTRASUPERCRITICAL,Coal,Beijing,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.420033775,0,0,0.32,0.05,.,0,FALSE,.,.,.,0.5,FALSE
Beijing-Coal-ULTRASUPERCRITICAL_EP,Coal-ULTRASUPERCRITICAL_EP,Coal,Beijing,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.420033775,0,0,0.32,0.05,0,0,FALSE,.,.,.,0.5,FALSE
Beijing-Coal-IGCC,Coal-IGCC,Coal,Beijing,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.317010225,0,0,0.32,0.05,.,0,FALSE,.,.,.,0.5,FALSE
Beijing-Coal-IGCC_EP,Coal-IGCC_EP,Coal,Beijing,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.317010225,0,0,0.32,0.05,0,0,FALSE,.,.,.,0.5,FALSE
Beijing-Gas-CCGT,Gas-CCGT,Gas,Beijing,20,FALSE,FALSE,FALSE,TRUE,TRUE,5.884166221,0,0,0.65,0.0224,.,0,FALSE,.,.,.,0.4,FALSE
Beijing-Gas-CCGT_EP,Gas-CCGT_EP,Gas,Beijing,20,FALSE,FALSE,FALSE,TRUE,TRUE,5.884166221,0,0,0.65,0.0224,9376.38,0,FALSE,.,.,.,0.4,FALSE
Beijing-Gas-turbine,Gas-turbine,Gas,Beijing,20,FALSE,FALSE,FALSE,TRUE,TRUE,8.610652824,0,0,0.0318,0.0413,.,0,FALSE,.,.,.,0.25,FALSE
Beijing-Gas-turbine_EP,Gas-turbine_EP,Gas,Beijing,20,FALSE,FALSE,FALSE,TRUE,TRUE,8.610652824,0,0,0.0318,0.0413,0,0,FALSE,.,.,.,0.25,FALSE
Beijing-Nuclear,Nuclear,Uranium,Beijing,40,FALSE,FALSE,TRUE,FALSE,FALSE,10.33981818,0,0,0.1112,0.0272,.,0,FALSE,.,.,.,1,FALSE
Beijing-Nuclear_EP,Nuclear_EP,Uranium,Beijing,40,FALSE,FALSE,TRUE,FALSE,FALSE,10.33981818,0,0,0.1112,0.0272,0,0,FALSE,.,.,.,1,FALSE
Chongqing-Coal-SUBCRITICAL,Coal-SUBCRITICAL,Coal,Chongqing,30,FALSE,TRUE,FALSE,FALSE,FALSE,9.222,0,0,0.52,0.05,.,0,FALSE,.,.,.,0.5,FALSE
Chongqing-Coal-SUBCRITICAL_EP,Coal-SUBCRITICAL_EP,Coal,Chongqing,30,FALSE,TRUE,FALSE,FALSE,FALSE,9.222,0,0,0.52,0.05,1767,0,FALSE,.,.,.,0.5,FALSE
Chongqing-Coal-SUPERCRITICAL,Coal-SUPERCRITICAL,Coal,Chongqing,40,FALSE,TRUE,FALSE,FALSE,FALSE,8.322292683,0,0,0.32,0.05,.,0,FALSE,.,.,.,0.5,FALSE
Chongqing-Coal-SUPERCRITICAL_EP,Coal-SUPERCRITICAL_EP,Coal,Chongqing,40,FALSE,TRUE,FALSE,FALSE,FALSE,8.322292683,0,0,0.32,0.05,11260,0,FALSE,.,.,.,0.5,FALSE
Chongqing-Coal-ULTRASUPERCRITICAL,Coal-ULTRASUPERCRITICAL,Coal,Chongqing,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.420033775,0,0,0.32,0.05,.,0,FALSE,.,.,.,0.5,FALSE
Chongqing-Coal-ULTRASUPERCRITICAL_EP,Coal-ULTRASUPERCRITICAL_EP,Coal,Chongqing,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.420033775,0,0,0.32,0.05,2100,0,FALSE,.,.,.,0.5,FALSE
Chongqing-Coal-IGCC,Coal-IGCC,Coal,Chongqing,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.317010225,0,0,0.32,0.05,.,0,FALSE,.,.,.,0.5,FALSE
Chongqing-Coal-IGCC_EP,Coal-IGCC_EP,Coal,Chongqing,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.317010225,0,0,0.32,0.05,0,0,FALSE,.,.,.,0.5,FALSE
Chongqing-Gas-CCGT,Gas-CCGT,Gas,Chongqing,20,FALSE,FALSE,FALSE,TRUE,TRUE,5.884166221,0,0,0.65,0.0224,.,0,FALSE,.,.,.,0.4,FALSE
Chongqing-Gas-CCGT_EP,Gas-CCGT_EP,Gas,Chongqing,20,FALSE,FALSE,FALSE,TRUE,TRUE,5.884166221,0,0,0.65,0.0224,940,0,FALSE,.,.,.,0.4,FALSE
Chongqing-Gas-turbine,Gas-turbine,Gas,Chongqing,20,FALSE,FALSE,FALSE,TRUE,TRUE,8.610652824,0,0,0.0318,0.0413,.,0,FALSE,.,.,.,0.25,FALSE
Chongqing-Gas-turbine_EP,Gas-turbine_EP,Gas,Chongqing,20,FALSE,FALSE,FALSE,TRUE,TRUE,8.610652824,0,0,0.0318,0.0413,0,0,FALSE,.,.,.,0.25,FALSE
Chongqing-Nuclear,Nuclear,Uranium,Chongqing,40,FALSE,FALSE,TRUE,FALSE,FALSE,10.33981818,0,0,0.1112,0.0272,.,0,FALSE,.,.,.,1,FALSE
Chongqing-Nuclear_EP,Nuclear_EP,Uranium,Chongqing,40,FALSE,FALSE,TRUE,FALSE,FALSE,10.33981818,0,0,0.1112,0.0272,0,0,FALSE,.,.,.,1,FALSE
East_Inner_Mongolia-Coal-SUBCRITICAL,Coal-SUBCRITICAL,Coal,East_Inner_Mongolia,30,FALSE,TRUE,FALSE,FALSE,FALSE,9.222,0,0,0.52,0.05,.,0,FALSE,.,.,.,0.5,FALSE
East_Inner_Mongolia-Coal-SUBCRITICAL_EP,Coal-SUBCRITICAL_EP,Coal,East_Inner_Mongolia,30,FALSE,TRUE,FALSE,FALSE,FALSE,9.222,0,0,0.52,0.05,2839,0,FALSE,.,.,.,0.5,FALSE
East_Inner_Mongolia-Coal-SUPERCRITICAL,Coal-SUPERCRITICAL,Coal,East_Inner_Mongolia,40,FALSE,TRUE,FALSE,FALSE,FALSE,8.322292683,0,0,0.32,0.05,.,0,FALSE,.,.,.,0.5,FALSE
East_Inner_Mongolia-Coal-SUPERCRITICAL_EP,Coal-SUPERCRITICAL_EP,Coal,East_Inner_Mongolia,40,FALSE,TRUE,FALSE,FALSE,FALSE,8.322292683,0,0,0.32,0.05,13540,0,FALSE,.,.,.,0.5,FALSE
East_Inner_Mongolia-Coal-ULTRASUPERCRITICAL,Coal-ULTRASUPERCRITICAL,Coal,East_Inner_Mongolia,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.420033775,0,0,0.32,0.05,.,0,FALSE,.,.,.,0.5,FALSE
East_Inner_Mongolia-Coal-ULTRASUPERCRITICAL_EP,Coal-ULTRASUPERCRITICAL_EP,Coal,East_Inner_Mongolia,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.420033775,0,0,0.32,0.05,0,0,FALSE,.,.,.,0.5,FALSE
East_Inner_Mongolia-Coal-IGCC,Coal-IGCC,Coal,East_Inner_Mongolia,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.317010225,0,0,0.32,0.05,.,0,FALSE,.,.,.,0.5,FALSE
East_Inner_Mongolia-Coal-IGCC_EP,Coal-IGCC_EP,Coal,East_Inner_Mongolia,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.317010225,0,0,0.32,0.05,0,0,FALSE,.,.,.,0.5,FALSE
East_Inner_Mongolia-Gas-CCGT,Gas-CCGT,Gas,East_Inner_Mongolia,20,FALSE,FALSE,FALSE,TRUE,TRUE,5.884166221,0,0,0.65,0.0224,.,0,FALSE,.,.,.,0.4,FALSE
East_Inner_Mongolia-Gas-CCGT_EP,Gas-CCGT_EP,Gas,East_Inner_Mongolia,20,FALSE,FALSE,FALSE,TRUE,TRUE,5.884166221,0,0,0.65,0.0224,0,0,FALSE,.,.,.,0.4,FALSE
East_Inner_Mongolia-Gas-turbine,Gas-turbine,Gas,East_Inner_Mongolia,20,FALSE,FALSE,FALSE,TRUE,TRUE,8.610652824,0,0,0.0318,0.0413,.,0,FALSE,.,.,.,0.25,FALSE
East_Inner_Mongolia-Gas-turbine_EP,Gas-turbine_EP,Gas,East_Inner_Mongolia,20,FALSE,FALSE,FALSE,TRUE,TRUE,8.610652824,0,0,0.0318,0.0413,0,0,FALSE,.,.,.,0.25,FALSE
East_Inner_Mongolia-Nuclear,Nuclear,Uranium,East_Inner_Mongolia,40,FALSE,FALSE,TRUE,FALSE,FALSE,10.33981818,0,0,0.1112,0.0272,.,0,FALSE,.,.,.,1,FALSE
East_Inner_Mongolia-Nuclear_EP,Nuclear_EP,Uranium,East_Inner_Mongolia,40,FALSE,FALSE,TRUE,FALSE,FALSE,10.33981818,0,0,0.1112,0.0272,0,0,FALSE,.,.,.,1,FALSE
Fujian-Coal-SUBCRITICAL,Coal-SUBCRITICAL,Coal,Fujian,30,FALSE,TRUE,FALSE,FALSE,FALSE,9.222,0,0,0.52,0.05,.,0,FALSE,.,.,.,0.5,FALSE
Fujian-Coal-SUBCRITICAL_EP,Coal-SUBCRITICAL_EP,Coal,Fujian,30,FALSE,TRUE,FALSE,FALSE,FALSE,9.222,0,0,0.52,0.05,1804,0,FALSE,.,.,.,0.5,FALSE
Fujian-Coal-SUPERCRITICAL,Coal-SUPERCRITICAL,Coal,Fujian,40,FALSE,TRUE,FALSE,FALSE,FALSE,8.322292683,0,0,0.32,0.05,.,0,FALSE,.,.,.,0.5,FALSE
Fujian-Coal-SUPERCRITICAL_EP,Coal-SUPERCRITICAL_EP,Coal,Fujian,40,FALSE,TRUE,FALSE,FALSE,FALSE,8.322292683,0,0,0.32,0.05,19972,0,FALSE,.,.,.,0.5,FALSE
Fujian-Coal-ULTRASUPERCRITICAL,Coal-ULTRASUPERCRITICAL,Coal,Fujian,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.420033775,0,0,0.32,0.05,.,0,FALSE,.,.,.,0.5,FALSE
Fujian-Coal-ULTRASUPERCRITICAL_EP,Coal-ULTRASUPERCRITICAL_EP,Coal,Fujian,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.420033775,0,0,0.32,0.05,4000,0,FALSE,.,.,.,0.5,FALSE
Fujian-Coal-IGCC,Coal-IGCC,Coal,Fujian,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.317010225,0,0,0.32,0.05,.,0,FALSE,.,.,.,0.5,FALSE
Fujian-Coal-IGCC_EP,Coal-IGCC_EP,Coal,Fujian,40,FALSE,TRUE,FALSE,FALSE,FALSE,7.317010225,0,0,0.32,0.05,0,0,FALSE,.,.,.,0.5,FALSE
