GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om,gen_storage_energy_overnight_cost
Anhui-Coal-SUBCRITICAL,2025,600000,20000,.
Anhui-Coal-SUBCRITICAL,2035,600000,20000,.
Anhui-Coal-SUBCRITICAL,2045,600000,20000,.
Anhui-Coal-SUBCRITICAL_EP,2022,600000,20000,.
Anhui-Coal-SUPERCRITICAL,2025,700000,30000,.
Anhui-Coal-SUPERCRITICAL,2035,700000,30000,.
Anhui-Coal-SUPERCRITICAL,2045,700000,30000,.
Anhui-Coal-SUPERCRITICAL_EP,2022,700000,30000,.
Anhui-Coal-ULTRASUPERCRITICAL,2025,800000,30000,.
Anhui-Coal-ULTRASUPERCRITICAL,2035,800000,30000,.
Anhui-Coal-ULTRASUPERCRITICAL,2045,800000,30000,.
Anhui-Coal-ULTRASUPERCRITICAL_EP,2022,800000,30000,.
Anhui-Coal-IGCC,2025,1100000,49000,.
Anhui-Coal-IGCC,2035,1050000,44000,.
Anhui-Coal-IGCC,2045,950000,41000,.
Anhui-Coal-IGCC_EP,2022,1100000,49000,.
Anhui-Gas-CCGT,2025,560000,20000,.
Anhui-Gas-CCGT,2035,560000,20000,.
Anhui-Gas-CCGT,2045,560000,20000,.
Anhui-Gas-CCGT_EP,2022,560000,20000,.
Anhui-Gas-turbine,2025,350000,20000,.
Anhui-Gas-turbine,2035,350000,20000,.
Anhui-Gas-turbine,2045,350000,20000,.
Anhui-Gas-turbine_EP,2022,350000,20000,.
Anhui-Nuclear,2025,2800000,170000,.
Anhui-Nuclear,2035,2725000,170000,.
Anhui-Nuclear,2045,2575000,170000,.
Anhui-Nuclear_EP,2022,2800000,170000,.
Beijing-Coal-SUBCRITICAL,2025,600000,20000,.
Beijing-Coal-SUBCRITICAL,2035,600000,20000,.
Beijing-Coal-SUBCRITICAL,2045,600000,20000,.
Beijing-Coal-SUBCRITICAL_EP,2022,600000,20000,.
Beijing-Coal-SUPERCRITICAL,2025,700000,30000,.
Beijing-Coal-SUPERCRITICAL,2035,700000,30000,.
Beijing-Coal-SUPERCRITICAL,2045,700000,30000,.
Beijing-Coal-SUPERCRITICAL_EP,2022,700000,30000,.
Beijing-Coal-ULTRASUPERCRITICAL,2025,800000,30000,.
Beijing-Coal-ULTRASUPERCRITICAL,2035,800000,30000,.
Beijing-Coal-ULTRASUPERCRITICAL,2045,800000,30000,.
Beijing-Coal-ULTRASUPERCRITICAL_EP,2022,800000,30000,.
Beijing-Coal-IGCC,2025,1100000,49000,.
Beijing-Coal-IGCC,2035,1050000,44000,.
Beijing-Coal-IGCC,2045,950000,41000,.
Beijing-Coal-IGCC_EP,2022,1100000,49000,.
Beijing-Gas-CCGT,2025,560000,20000,.
Beijing-Gas-CCGT,2035,560000,20000,.
Beijing-Gas-CCGT,2045,560000,20000,.
Beijing-Gas-CCGT_EP,2022,560000,20000,.
Beijing-Gas-turbine,2025,350000,20000,.
Beijing-Gas-turbine,2035,350000,20000,.
Beijing-Gas-turbine,2045,350000,20000,.
Beijing-Gas-turbine_EP,2022,350000,20000,.
Beijing-Nuclear,2025,2800000,170000,.
Beijing-Nuclear,2035,2725000,170000,.
Beijing-Nuclear,2045,2575000,170000,.
