energy_sources,load_zones,period,planned_capacity_mw
Solar,AT,2035,12000
Solar,AT,2045,12000
Solar,BE,2035,20000
Solar,BE,2045,29000
Solar,BG,2035,3000
Solar,BG,2045,4000
Solar,CZ,2035,11573
Solar,CZ,2045,12521
Solar,DE,2035,365875
Solar,DE,2045,400000
Solar,DK,2035,7294
Solar,DK,2045,7294
Solar,EE,2035,1200
Solar,EE,2045,1460
Solar,ES,2035,72187.5
Solar,ES,2045,101437.5
Solar,FR,2035,47000
Solar,FR,2045,80000
Solar,HR,2035,1444
Solar,HR,2045,1761
Solar,HU,2035,13964.08318
Solar,HU,2045,17160.65376
Solar,IT,2035,74545
Solar,IT,2045,113173
Solar,LT,2035,5320
Solar,LT,2045,5900
Solar,LU,2035,790.6
Solar,LU,2045,1032.4
Solar,LV,2035,386.03
Solar,LV,2045,386.03
Solar,ME,2035,31.5
Solar,ME,2045,31.5
Solar,NL,2035,68245.34976
Solar,NL,2045,99983.26957
Solar,NO,2035,8500
Solar,NO,2045,11940
Solar,PL,2035,15897
Solar,PL,2045,20000
Solar,PT,2035,13393.56498
Solar,PT,2045,13393.56498
Solar,RO,2035,8300
Solar,RO,2045,10300
Solar,SE,2035,4764
Solar,SE,2045,4764
Solar,SI,2035,2845
Solar,SI,2045,3845
Solar,GB,2035,26507
Solar,GB,2045,26507
Wind,AT,2035,7500
Wind,AT,2045,7500
Wind,BE,2035,14460
Wind,BE,2045,15946
Wind,BG,2035,1200
Wind,BG,2045,2550
Wind,CZ,2035,1141.47
Wind,CZ,2045,3156
Wind,DE,2035,223934.3
Wind,DE,2045,231709.3
Wind,DK,2035,31250.6
Wind,DK,2045,47250.6
Wind,EE,2035,4196
Wind,EE,2045,7861
Wind,ES,2035,68200
Wind,ES,2045,78200
Wind,FR,2035,56875
Wind,FR,2045,84375
Wind,HR,2035,3200
Wind,HR,2045,5000
Wind,HU,2035,0
Wind,HU,2045,0
Wind,IT,2035,36911
Wind,IT,2045,41566
Wind,LT,2035,9630
Wind,LT,2045,13250
Wind,LU,2035,0
Wind,LU,2045,0
Wind,LV,2035,1352
Wind,LV,2045,7852
Wind,ME,2035,0
Wind,ME,2045,0
Wind,NL,2035,59242.5
Wind,NL,2045,82542.5
Wind,NO,2035,16346.865
Wind,NO,2045,16546.865
Wind,PL,2035,21706
Wind,PL,2045,21706
Wind,PT,2035,20463
Wind,PT,2045,20463
Wind,RO,2035,7000
Wind,RO,2045,7000
Wind,SE,2035,30460
Wind,SE,2045,43160
Wind,SI,2035,120
Wind,SI,2045,120
Wind,GB,2035,120978.1597
Wind,GB,2045,135820.5897
