regional_fuel_market,period,tier,unit_cost,max_avail_at_cost
EU_coal,2025,0,0.2856,2.88E+06
EU_coal,2025,1,0.8568,2.88E+06
EU_coal,2025,2,1.428,2.88E+06
EU_coal,2025,3,1.9992,2.88E+06
EU_coal,2025,4,2.5704,2.88E+06
EU_coal,2025,5,3.1416,2.88E+06
EU_coal,2025,6,3.7128,2.88E+06
EU_coal,2025,7,4.284,2.88E+06
EU_coal,2025,8,4.8552,2.88E+06
EU_coal,2025,9,5.4264,2.88E+06
EU_gas,2025,0,0.65,281906044
EU_gas,2025,1,1.95,281906044
EU_gas,2025,2,3.25,281906044
EU_gas,2025,3,4.55,281906044
EU_gas,2025,4,5.85,281906044
EU_gas,2025,5,7.15,281906044
EU_gas,2025,6,8.45,281906044
EU_gas,2025,7,9.75,281906044
EU_gas,2025,8,11.05,281906044
EU_gas,2025,9,12.35,281906044
EU_uranium,2025,0,0.098,587301673
EU_uranium,2025,1,0.293999999,587301673
EU_uranium,2025,2,0.489999998,587301673
EU_uranium,2025,3,0.685999997,587301673
EU_uranium,2025,4,0.881999996,587301673
EU_uranium,2025,5,1.077999995,587301673
EU_uranium,2025,6,1.273999994,587301673
EU_uranium,2025,7,1.469999993,587301673
EU_uranium,2025,8,1.665999992,587301673
EU_uranium,2025,9,1.861999991,587301673
EU_coal,2035,0,0.2898,1.89E+06
EU_coal,2035,1,0.8694,1.89E+06
EU_coal,2035,2,1.449,1.89E+06
EU_coal,2035,3,2.0286,1.89E+06
EU_coal,2035,4,2.6082,1.89E+06
EU_coal,2035,5,3.1878,1.89E+06
EU_coal,2035,6,3.7674,1.89E+06
EU_coal,2035,7,4.347,1.89E+06
EU_coal,2035,8,4.9266,1.89E+06
EU_coal,2035,9,5.5062,1.89E+06
EU_coal,2035,10,6.0858,1.89E+06
EU_coal,2035,11,6.6654,1.89E+06
EU_coal,2035,12,7.245,1.89E+06
EU_coal,2035,13,7.8246,1.89E+06
EU_coal,2035,14,8.4042,1.89E+06
EU_coal,2035,15,8.9838,1.89E+06
EU_coal,2035,16,9.5634,1.89E+06
EU_coal,2035,17,10.143,1.89E+06
EU_coal,2035,18,10.7226,1.89E+06
EU_coal,2035,19,11.3022,1.89E+06
EU_coal,2035,20,11.8818,1.89E+06
EU_coal,2035,21,12.4614,1.89E+06
EU_coal,2035,22,13.041,1.89E+06
EU_coal,2035,23,13.6206,1.89E+06
EU_coal,2035,24,14.2002,1.89E+06
EU_coal,2035,25,14.7798,1.89E+06
EU_coal,2035,26,15.3594,1.89E+06
EU_coal,2035,27,15.939,5.62E+05
EU_gas,2035,0,0.76,86633751
EU_gas,2035,1,2.28,86633751
EU_gas,2035,2,3.8,86633751
EU_gas,2035,3,5.32,86633751
EU_gas,2035,4,6.84,86633751
EU_gas,2035,5,8.36,86633751
EU_gas,2035,6,9.88,86633751
EU_gas,2035,7,11.4,86633751
EU_gas,2035,8,12.92,86633751
EU_gas,2035,9,14.44,86633751
EU_gas,2035,10,15.96,86633751
EU_gas,2035,11,17.48,86633751
EU_gas,2035,12,19,86633751
EU_gas,2035,13,20.52,86633751
EU_gas,2035,14,22.04,86633751
EU_gas,2035,15,23.56,86633751
EU_gas,2035,16,25.08,86633751
EU_gas,2035,17,26.6,86633751
EU_gas,2035,18,28.12,86633751
EU_gas,2035,19,29.64,86633751
EU_gas,2035,20,31.16,86633751
EU_gas,2035,21,32.68,86633751
EU_gas,2035,22,34.2,82339567
EU_uranium,2035,0,0.113999999,509063715
EU_uranium,2035,1,0.341999996,509063715
EU_uranium,2035,2,0.569999993,509063715
EU_uranium,2035,3,0.79799999,509063715
EU_uranium,2035,4,1.025999987,509063715
EU_uranium,2035,5,1.253999984,509063715
EU_uranium,2035,6,1.481999981,509063715
EU_uranium,2035,7,1.709999978,509063715
EU_uranium,2035,8,1.937999975,509063715
EU_uranium,2035,9,2.165999972,509063715
EU_uranium,2035,10,2.393999969,509063715
EU_uranium,2035,11,2.621999966,118218588
EU_coal,2045,0,0.2688,0.00E+00
EU_gas,2045,0,0.77,16347242
EU_gas,2045,1,2.31,16347242
EU_gas,2045,2,3.85,16347242
EU_gas,2045,3,5.39,16347242
EU_gas,2045,4,6.93,16347242
EU_gas,2045,5,8.47,16347242
EU_gas,2045,6,10.01,16347242
EU_gas,2045,7,11.55,16347242
EU_gas,2045,8,13.09,16347242
EU_gas,2045,9,14.63,16347242
EU_gas,2045,10,16.17,16347242
EU_gas,2045,11,17.71,16347242
EU_gas,2045,12,19.25,16347242
EU_gas,2045,13,20.79,16347242
EU_gas,2045,14,22.33,12213184
EU_uranium,2045,0,0.13,390328136
EU_uranium,2045,1,0.39,390328136
EU_uranium,2045,2,0.65,390328136
EU_uranium,2045,3,0.91,390328136
EU_uranium,2045,4,1.17,390328136
EU_uranium,2045,5,1.43,390328136
EU_uranium,2045,6,1.69,390328136
EU_uranium,2045,7,1.95,390328136
EU_uranium,2045,8,2.21,390328136
EU_uranium,2045,9,2.47,390328136
EU_uranium,2045,10,2.73,390328136
EU_uranium,2045,11,2.99,390328136
EU_uranium,2045,12,3.25,390328136
EU_uranium,2045,13,3.51,178361864
