GENERATION_PROJECT,build_year,build_gen_predetermined,gen_can_retire_early
AT-Battery_EP,2022,177,1
AT-Solar_EP,2022,3265,1
AT-Wind Onshore_EP,2022,3569,1
BE-Battery_EP,2022,141,1
BE-Solar_EP,2022,6475,1
BE-Wind Offshore_EP,2022,2262,1
BE-Wind Onshore_EP,2022,3053,1
BG-Battery_EP,2022,67,1
BG-Solar_EP,2022,2879,1
BG-Wind Onshore_EP,2022,705,1
CZ-Battery_EP,2022,48,1
CZ-Solar_EP,2022,2083,1
CZ-Wind Onshore_EP,2022,339,1
DE-Battery_EP,2022,1582,1
DE-Solar_EP,2022,63066,1
DE-Wind Offshore_EP,2022,8129,1
DE-Wind Onshore_EP,2022,57590,1
DK-Battery_EP,2022,124,1
DK-Solar_EP,2022,2322,1
DK-Wind Offshore_EP,2022,2306,1
DK-Wind Onshore_EP,2022,4711,1
EE-Battery_EP,2022,11,1
EE-Solar_EP,2022,510,1
EE-Wind Onshore_EP,2022,317,1
ES-Battery_EP,2022,728,1
ES-Solar_EP,2022,18523,1
ES-Wind Onshore_EP,2022,29320,1
FR-Battery_EP,2022,643,1
FR-Solar_EP,2022,14639,1
FR-Wind Offshore_EP,2022,494,1
FR-Wind Onshore_EP,2022,20842,1
GB-Battery_EP,2022,2918,1
GB-Solar_EP,2022,306374,1
GB-Wind Offshore_EP,2022,231739,1
GB-Wind Onshore_EP,2022,7966,1
HR-Battery_EP,2022,35,1
HR-Solar_EP,2022,140,1
HR-Wind Onshore_EP,2022,981,1
HU-Battery_EP,2022,44,1
HU-Solar_EP,2022,3300,1
HU-Wind Onshore_EP,2022,323,1
IT-Battery_EP,2022,377,1
IT-Solar_EP,2022,5431,1
IT-Wind Offshore_EP,2022,30,1
IT-Wind Onshore_EP,2022,11204,1
LT-Battery_EP,2022,18,1
LT-Solar_EP,2022,578,1
LT-Wind Onshore_EP,2022,814,1
LU-Battery_EP,2022,6,1
LU-Solar_EP,2022,300,1
LU-Wind Onshore_EP,2022,152,1
LV-Battery_EP,2022,22,1
LV-Solar_EP,2022,63,1
LV-Wind Onshore_EP,2022,165,1
ME-Battery_EP,2022,8,1
ME-Wind Onshore_EP,2022,118,1
NL-Battery_EP,2022,359,1
NL-Solar_EP,2022,22590,1
NL-Wind Offshore_EP,2022,3220,1
NL-Wind Onshore_EP,2022,6190,1
NO-Battery_EP,2022,428,1
NO-Wind Onshore_EP,2022,5130,1
PL-Battery_EP,2022,233,1
PL-Solar_EP,2022,10643,1
PL-Wind Onshore_EP,2022,8978,1
PT-Battery_EP,2022,131,1
PT-Solar_EP,2022,1332,1
PT-Wind Offshore_EP,2022,25,1
PT-Wind Onshore_EP,2022,5328,1
RO-Battery_EP,2022,115,1
RO-Solar_EP,2022,1185,1
RO-Wind Onshore_EP,2022,2957,1
SE-Battery_EP,2022,343,1
SE-Wind Onshore_EP,2022,14700,1
SI-Battery_EP,2022,20,1
SI-Solar_EP,2022,702,1
SI-Wind Onshore_EP,2022,2,1
AT-Coal-SUBCRITICAL_EP,2022,0,1
AT-Coal-SUPERCRITICAL_EP,2022,0,1
AT-Coal-ULTRASUPERCRITICAL_EP,2022,0,1
AT-Coal-IGCC_EP,2022,0,1
AT-Gas-CCGT_EP,2022,2103,1
AT-Gas-turbine_EP,2022,2103,1
AT-Nuclear_EP,2022,0,1
BE-Coal-SUBCRITICAL_EP,2022,0,1
BE-Coal-SUPERCRITICAL_EP,2022,0,1
BE-Coal-ULTRASUPERCRITICAL_EP,2022,0,1
BE-Coal-IGCC_EP,2022,0,1
BE-Gas-CCGT_EP,2022,3494,1
BE-Gas-turbine_EP,2022,3494,1
BE-Nuclear_EP,2022,2434.9284,1
BG-Coal-SUBCRITICAL_EP,2022,1489.7,1
BG-Coal-SUPERCRITICAL_EP,2022,1986.3,1
BG-Coal-ULTRASUPERCRITICAL_EP,2022,1986.3,1
BG-Coal-IGCC_EP,2022,0,1
BG-Gas-CCGT_EP,2022,661,1
BG-Gas-turbine_EP,2022,661,1
BG-Nuclear_EP,2022,1025.856,1
CZ-Coal-SUBCRITICAL_EP,2022,2786.7,1
CZ-Coal-SUPERCRITICAL_EP,2022,3715.6,1
CZ-Coal-ULTRASUPERCRITICAL_EP,2022,3715.6,1
CZ-Coal-IGCC_EP,2022,380,1
CZ-Gas-CCGT_EP,2022,620,1
CZ-Gas-turbine_EP,2022,620,1
CZ-Nuclear_EP,2022,1992.528,1
DE-Coal-SUBCRITICAL_EP,2022,11939.7,1
DE-Coal-SUPERCRITICAL_EP,2022,15919.6,1
