hydro_project,timeseries,hydro_min_flow_mw,hydro_avg_flow_mw
AT-Hydro Run of river and poundage_EP,2030.01.28,0,1821
AT-Hydro Run of river and poundage_EP,2030.04.15,0,3074
AT-Hydro Run of river and poundage_EP,2030.07.01,0,3067
AT-Hydro Run of river and poundage_EP,2030.10.31,0,1895
AT-Hydro Water Reservoir_EP,2030.01.28,0,270
AT-Hydro Water Reservoir_EP,2030.04.15,0,264
AT-Hydro Water Reservoir_EP,2030.07.01,0,519
AT-Hydro Water Reservoir_EP,2030.10.31,0,329
BE-Hydro Run of river and poundage_EP,2030.01.28,0,36
BE-Hydro Run of river and poundage_EP,2030.04.15,0,32
BE-Hydro Run of river and poundage_EP,2030.07.01,0,3
BE-Hydro Run of river and poundage_EP,2030.10.31,0,11
BG-Hydro Run of river and poundage_EP,2030.01.28,0,112
BG-Hydro Run of river and poundage_EP,2030.04.15,0,149
BG-Hydro Run of river and poundage_EP,2030.07.01,0,159
BG-Hydro Run of river and poundage_EP,2030.10.31,0,42
BG-Hydro Water Reservoir_EP,2030.01.28,0,156
BG-Hydro Water Reservoir_EP,2030.04.15,0,172
BG-Hydro Water Reservoir_EP,2030.07.01,0,183
BG-Hydro Water Reservoir_EP,2030.10.31,0,98
CZ-Hydro Run of river and poundage_EP,2030.01.28,0,126
CZ-Hydro Run of river and poundage_EP,2030.04.15,0,141
CZ-Hydro Run of river and poundage_EP,2030.07.01,0,54
CZ-Hydro Run of river and poundage_EP,2030.10.31,0,68
CZ-Hydro Water Reservoir_EP,2030.01.28,0,135
CZ-Hydro Water Reservoir_EP,2030.04.15,0,204
CZ-Hydro Water Reservoir_EP,2030.07.01,0,64
CZ-Hydro Water Reservoir_EP,2030.10.31,0,101
DE-Hydro Run of river and poundage_EP,2030.01.28,0,1060
DE-Hydro Run of river and poundage_EP,2030.04.15,0,1144
DE-Hydro Run of river and poundage_EP,2030.07.01,0,1416
DE-Hydro Run of river and poundage_EP,2030.10.31,0,1041
DE-Hydro Water Reservoir_EP,2030.01.28,0,66
DE-Hydro Water Reservoir_EP,2030.04.15,0,66
DE-Hydro Water Reservoir_EP,2030.07.01,0,114
DE-Hydro Water Reservoir_EP,2030.10.31,0,70
DK-Hydro Run of river and poundage_EP,2030.01.28,0,1
DK-Hydro Run of river and poundage_EP,2030.04.15,0,1
DK-Hydro Run of river and poundage_EP,2030.07.01,0,0
DK-Hydro Run of river and poundage_EP,2030.10.31,0,0
EE-Hydro Run of river and poundage_EP,2030.01.28,0,1
EE-Hydro Run of river and poundage_EP,2030.04.15,0,1
EE-Hydro Run of river and poundage_EP,2030.07.01,0,0
EE-Hydro Run of river and poundage_EP,2030.10.31,0,1
ES-Hydro Run of river and poundage_EP,2030.01.28,0,968
ES-Hydro Run of river and poundage_EP,2030.04.15,0,639
ES-Hydro Run of river and poundage_EP,2030.07.01,0,527
ES-Hydro Run of river and poundage_EP,2030.10.31,0,499
ES-Hydro Water Reservoir_EP,2030.01.28,0,3256
ES-Hydro Water Reservoir_EP,2030.04.15,0,1162
ES-Hydro Water Reservoir_EP,2030.07.01,0,784
ES-Hydro Water Reservoir_EP,2030.10.31,0,1152
FR-Hydro Run of river and poundage_EP,2030.01.28,0,4349
FR-Hydro Run of river and poundage_EP,2030.04.15,0,3873
FR-Hydro Run of river and poundage_EP,2030.07.01,0,2907
FR-Hydro Run of river and poundage_EP,2030.10.31,0,2427
FR-Hydro Water Reservoir_EP,2030.01.28,0,1852
FR-Hydro Water Reservoir_EP,2030.04.15,0,837
FR-Hydro Water Reservoir_EP,2030.07.01,0,1064
FR-Hydro Water Reservoir_EP,2030.10.31,0,1019
GB-Hydro Water Reservoir_EP,2030.01.28,0,528
GB-Hydro Water Reservoir_EP,2030.04.15,0,252
GB-Hydro Water Reservoir_EP,2030.07.01,0,185
GB-Hydro Water Reservoir_EP,2030.10.31,0,497
HR-Hydro Run of river and poundage_EP,2030.01.28,0,154
HR-Hydro Run of river and poundage_EP,2030.04.15,0,154
HR-Hydro Run of river and poundage_EP,2030.07.01,0,191
HR-Hydro Run of river and poundage_EP,2030.10.31,0,144
HR-Hydro Water Reservoir_EP,2030.01.28,0,630
HR-Hydro Water Reservoir_EP,2030.04.15,0,438
HR-Hydro Water Reservoir_EP,2030.07.01,0,368
HR-Hydro Water Reservoir_EP,2030.10.31,0,265
HU-Hydro Run of river and poundage_EP,2030.01.28,0,8
HU-Hydro Run of river and poundage_EP,2030.04.15,0,10
HU-Hydro Run of river and poundage_EP,2030.07.01,0,12
HU-Hydro Run of river and poundage_EP,2030.10.31,0,8
HU-Hydro Water Reservoir_EP,2030.01.28,0,2
HU-Hydro Water Reservoir_EP,2030.04.15,0,9
HU-Hydro Water Reservoir_EP,2030.07.01,0,13
HU-Hydro Water Reservoir_EP,2030.10.31,0,9
IT-Hydro Run of river and poundage_EP,2030.01.28,0,1944
IT-Hydro Run of river and poundage_EP,2030.04.15,0,1605
IT-Hydro Run of river and poundage_EP,2030.07.01,0,3925
IT-Hydro Run of river and poundage_EP,2030.10.31,0,3040
IT-Hydro Water Reservoir_EP,2030.01.28,0,332
IT-Hydro Water Reservoir_EP,2030.04.15,0,184
IT-Hydro Water Reservoir_EP,2030.07.01,0,665
IT-Hydro Water Reservoir_EP,2030.10.31,0,416
LT-Hydro Run of river and poundage_EP,2030.01.28,0,61
LT-Hydro Run of river and poundage_EP,2030.04.15,0,57
LT-Hydro Run of river and poundage_EP,2030.07.01,0,20
LT-Hydro Run of river and poundage_EP,2030.10.31,0,22
LU-Hydro Run of river and poundage_EP,2030.01.28,0,9
LU-Hydro Run of river and poundage_EP,2030.04.15,0,9
LU-Hydro Run of river and poundage_EP,2030.07.01,0,1
LU-Hydro Run of river and poundage_EP,2030.10.31,0,2
LU-Hydro Water Reservoir_EP,2030.01.28,0,5
LU-Hydro Water Reservoir_EP,2030.04.15,0,3
LU-Hydro Water Reservoir_EP,2030.07.01,0,0
LU-Hydro Water Reservoir_EP,2030.10.31,0,2
LV-Hydro Run of river and poundage_EP,2030.01.28,0,722
LV-Hydro Run of river and poundage_EP,2030.04.15,0,1040
LV-Hydro Run of river and poundage_EP,2030.07.01,0,63
LV-Hydro Run of river and poundage_EP,2030.10.31,0,112
ME-Hydro Run of river and poundage_EP,2030.01.28,0,186
ME-Hydro Run of river and poundage_EP,2030.04.15,0,125
ME-Hydro Run of river and poundage_EP,2030.07.01,0,84
ME-Hydro Run of river and poundage_EP,2030.10.31,0,61
ME-Hydro Water Reservoir_EP,2030.01.28,0,208
ME-Hydro Water Reservoir_EP,2030.04.15,0,139
ME-Hydro Water Reservoir_EP,2030.07.01,0,93
ME-Hydro Water Reservoir_EP,2030.10.31,0,68
NL-Hydro Run of river and poundage_EP,2030.01.28,0,12
NL-Hydro Run of river and poundage_EP,2030.04.15,0,14
NL-Hydro Run of river and poundage_EP,2030.07.01,0,18
NL-Hydro Run of river and poundage_EP,2030.10.31,0,16
NO-Hydro Run of river and poundage_EP,2030.01.28,0,2158
NO-Hydro Run of river and poundage_EP,2030.04.15,0,2475
NO-Hydro Run of river and poundage_EP,2030.07.01,0,3222
NO-Hydro Run of river and poundage_EP,2030.10.31,0,2811
NO-Hydro Water Reservoir_EP,2030.01.28,0,11249
NO-Hydro Water Reservoir_EP,2030.04.15,0,9789
NO-Hydro Water Reservoir_EP,2030.07.01,0,8581
NO-Hydro Water Reservoir_EP,2030.10.31,0,10129
PL-Hydro Run of river and poundage_EP,2030.01.28,0,206
PL-Hydro Run of river and poundage_EP,2030.04.15,0,241
PL-Hydro Run of river and poundage_EP,2030.07.01,0,111
PL-Hydro Run of river and poundage_EP,2030.10.31,0,108
PL-Hydro Water Reservoir_EP,2030.01.28,0,15
PL-Hydro Water Reservoir_EP,2030.04.15,0,20
PL-Hydro Water Reservoir_EP,2030.07.01,0,9
PL-Hydro Water Reservoir_EP,2030.10.31,0,9
PT-Hydro Run of river and poundage_EP,2030.01.28,0,1511
PT-Hydro Run of river and poundage_EP,2030.04.15,0,324
PT-Hydro Run of river and poundage_EP,2030.07.01,0,192
PT-Hydro Run of river and poundage_EP,2030.10.31,0,466
PT-Hydro Water Reservoir_EP,2030.01.28,0,922
PT-Hydro Water Reservoir_EP,2030.04.15,0,79
PT-Hydro Water Reservoir_EP,2030.07.01,0,63
PT-Hydro Water Reservoir_EP,2030.10.31,0,422
RO-Hydro Run of river and poundage_EP,2030.01.28,0,1212
RO-Hydro Run of river and poundage_EP,2030.04.15,0,1535
RO-Hydro Run of river and poundage_EP,2030.07.01,0,919
RO-Hydro Run of river and poundage_EP,2030.10.31,0,513
RO-Hydro Water Reservoir_EP,2030.01.28,0,518
RO-Hydro Water Reservoir_EP,2030.04.15,0,862
RO-Hydro Water Reservoir_EP,2030.07.01,0,764
RO-Hydro Water Reservoir_EP,2030.10.31,0,531
SE-Hydro Water Reservoir_EP,2030.01.28,0,6875
SE-Hydro Water Reservoir_EP,2030.04.15,0,6384
SE-Hydro Water Reservoir_EP,2030.07.01,0,4225
SE-Hydro Water Reservoir_EP,2030.10.31,0,6612
SI-Hydro Run of river and poundage_EP,2030.01.28,0,360
SI-Hydro Run of river and poundage_EP,2030.04.15,0,384
SI-Hydro Run of river and poundage_EP,2030.07.01,0,549
SI-Hydro Run of river and poundage_EP,2030.10.31,0,418
AT-Hydro Run of river and poundage_EP,2040.01.02,0,1885
AT-Hydro Run of river and poundage_EP,2040.04.19,0,3183
AT-Hydro Run of river and poundage_EP,2040.07.24,0,3176
AT-Hydro Run of river and poundage_EP,2040.10.13,0,1962
AT-Hydro Water Reservoir_EP,2040.01.02,0,280
AT-Hydro Water Reservoir_EP,2040.04.19,0,274
AT-Hydro Water Reservoir_EP,2040.07.24,0,537
AT-Hydro Water Reservoir_EP,2040.10.13,0,341
BE-Hydro Run of river and poundage_EP,2040.01.02,0,38
BE-Hydro Run of river and poundage_EP,2040.04.19,0,33
BE-Hydro Run of river and poundage_EP,2040.07.24,0,4
BE-Hydro Run of river and poundage_EP,2040.10.13,0,11
BG-Hydro Run of river and poundage_EP,2040.01.02,0,117
BG-Hydro Run of river and poundage_EP,2040.04.19,0,154
BG-Hydro Run of river and poundage_EP,2040.07.24,0,165
BG-Hydro Run of river and poundage_EP,2040.10.13,0,43
BG-Hydro Water Reservoir_EP,2040.01.02,0,162
BG-Hydro Water Reservoir_EP,2040.04.19,0,178
BG-Hydro Water Reservoir_EP,2040.07.24,0,190
BG-Hydro Water Reservoir_EP,2040.10.13,0,101
CZ-Hydro Run of river and poundage_EP,2040.01.02,0,131
CZ-Hydro Run of river and poundage_EP,2040.04.19,0,147
CZ-Hydro Run of river and poundage_EP,2040.07.24,0,56
CZ-Hydro Run of river and poundage_EP,2040.10.13,0,71
CZ-Hydro Water Reservoir_EP,2040.01.02,0,139
CZ-Hydro Water Reservoir_EP,2040.04.19,0,211
CZ-Hydro Water Reservoir_EP,2040.07.24,0,66
CZ-Hydro Water Reservoir_EP,2040.10.13,0,105
DE-Hydro Run of river and poundage_EP,2040.01.02,0,1098
DE-Hydro Run of river and poundage_EP,2040.04.19,0,1184
DE-Hydro Run of river and poundage_EP,2040.07.24,0,1466
DE-Hydro Run of river and poundage_EP,2040.10.13,0,1079
DE-Hydro Water Reservoir_EP,2040.01.02,0,69
DE-Hydro Water Reservoir_EP,2040.04.19,0,69
DE-Hydro Water Reservoir_EP,2040.07.24,0,118
DE-Hydro Water Reservoir_EP,2040.10.13,0,72
DK-Hydro Run of river and poundage_EP,2040.01.02,0,1
DK-Hydro Run of river and poundage_EP,2040.04.19,0,1
DK-Hydro Run of river and poundage_EP,2040.07.24,0,0
DK-Hydro Run of river and poundage_EP,2040.10.13,0,1
EE-Hydro Run of river and poundage_EP,2040.01.02,0,1
EE-Hydro Run of river and poundage_EP,2040.04.19,0,1
EE-Hydro Run of river and poundage_EP,2040.07.24,0,0
EE-Hydro Run of river and poundage_EP,2040.10.13,0,1
ES-Hydro Run of river and poundage_EP,2040.01.02,0,1003
ES-Hydro Run of river and poundage_EP,2040.04.19,0,661
ES-Hydro Run of river and poundage_EP,2040.07.24,0,545
ES-Hydro Run of river and poundage_EP,2040.10.13,0,517
ES-Hydro Water Reservoir_EP,2040.01.02,0,3372
ES-Hydro Water Reservoir_EP,2040.04.19,0,1204
ES-Hydro Water Reservoir_EP,2040.07.24,0,812
ES-Hydro Water Reservoir_EP,2040.10.13,0,1192
FR-Hydro Run of river and poundage_EP,2040.01.02,0,4504
FR-Hydro Run of river and poundage_EP,2040.04.19,0,4011
FR-Hydro Run of river and poundage_EP,2040.07.24,0,3011
FR-Hydro Run of river and poundage_EP,2040.10.13,0,2514
FR-Hydro Water Reservoir_EP,2040.01.02,0,1918
FR-Hydro Water Reservoir_EP,2040.04.19,0,867
FR-Hydro Water Reservoir_EP,2040.07.24,0,1102
FR-Hydro Water Reservoir_EP,2040.10.13,0,1056
GB-Hydro Water Reservoir_EP,2040.01.02,0,546
GB-Hydro Water Reservoir_EP,2040.04.19,0,260
GB-Hydro Water Reservoir_EP,2040.07.24,0,192
GB-Hydro Water Reservoir_EP,2040.10.13,0,515
HR-Hydro Run of river and poundage_EP,2040.01.02,0,159
HR-Hydro Run of river and poundage_EP,2040.04.19,0,160
HR-Hydro Run of river and poundage_EP,2040.07.24,0,198
HR-Hydro Run of river and poundage_EP,2040.10.13,0,149
HR-Hydro Water Reservoir_EP,2040.01.02,0,653
HR-Hydro Water Reservoir_EP,2040.04.19,0,453
HR-Hydro Water Reservoir_EP,2040.07.24,0,381
HR-Hydro Water Reservoir_EP,2040.10.13,0,275
HU-Hydro Run of river and poundage_EP,2040.01.02,0,8
HU-Hydro Run of river and poundage_EP,2040.04.19,0,10
HU-Hydro Run of river and poundage_EP,2040.07.24,0,11
HU-Hydro Run of river and poundage_EP,2040.10.13,0,8
HU-Hydro Water Reservoir_EP,2040.01.02,0,3
HU-Hydro Water Reservoir_EP,2040.04.19,0,9
HU-Hydro Water Reservoir_EP,2040.07.24,0,12
HU-Hydro Water Reservoir_EP,2040.10.13,0,9
IT-Hydro Run of river and poundage_EP,2040.01.02,0,2013
IT-Hydro Run of river and poundage_EP,2040.04.19,0,1662
IT-Hydro Run of river and poundage_EP,2040.07.24,0,4064
IT-Hydro Run of river and poundage_EP,2040.10.13,0,3148
IT-Hydro Water Reservoir_EP,2040.01.02,0,343
IT-Hydro Water Reservoir_EP,2040.04.19,0,191
IT-Hydro Water Reservoir_EP,2040.07.24,0,688
IT-Hydro Water Reservoir_EP,2040.10.13,0,431
LT-Hydro Run of river and poundage_EP,2040.01.02,0,64
LT-Hydro Run of river and poundage_EP,2040.04.19,0,58
LT-Hydro Run of river and poundage_EP,2040.07.24,0,22
LT-Hydro Run of river and poundage_EP,2040.10.13,0,24
LU-Hydro Run of river and poundage_EP,2040.01.02,0,9
LU-Hydro Run of river and poundage_EP,2040.04.19,0,9
LU-Hydro Run of river and poundage_EP,2040.07.24,0,1
LU-Hydro Run of river and poundage_EP,2040.10.13,0,3
LU-Hydro Water Reservoir_EP,2040.01.02,0,5
LU-Hydro Water Reservoir_EP,2040.04.19,0,3
LU-Hydro Water Reservoir_EP,2040.07.24,0,0
LU-Hydro Water Reservoir_EP,2040.10.13,0,2
LV-Hydro Run of river and poundage_EP,2040.01.02,0,748
LV-Hydro Run of river and poundage_EP,2040.04.19,0,1078
LV-Hydro Run of river and poundage_EP,2040.07.24,0,66
LV-Hydro Run of river and poundage_EP,2040.10.13,0,116
ME-Hydro Run of river and poundage_EP,2040.01.02,0,193
ME-Hydro Run of river and poundage_EP,2040.04.19,0,129
ME-Hydro Run of river and poundage_EP,2040.07.24,0,86
ME-Hydro Run of river and poundage_EP,2040.10.13,0,64
ME-Hydro Water Reservoir_EP,2040.01.02,0,215
ME-Hydro Water Reservoir_EP,2040.04.19,0,144
ME-Hydro Water Reservoir_EP,2040.07.24,0,96
ME-Hydro Water Reservoir_EP,2040.10.13,0,71
NL-Hydro Run of river and poundage_EP,2040.01.02,0,12
NL-Hydro Run of river and poundage_EP,2040.04.19,0,14
