LOAD_ZONE,zone_ccs_distance_km,zone_dbid,existing_local_td,local_td_annual_cost_per_mw,existing_tx_sunk_annual_payment,existing_local_td_sunk_annual_payment,zone_balancing_area,local_td_loss_rate
AT,100,1,10318,60000,0,515900000,CE,0.053
BE,100,2,12597,60000,0,629850000,CE,0.053
BG,100,3,7198,60000,0,359900000,CE,0.053
CZ,100,4,10323,60000,0,516150000,CE,0.053
DE,100,5,73587,60000,0,3679350000,CE,0.053
DK,100,6,6118,60000,0,305900000,CE,0.053
EE,100,7,1555,60000,0,77750000,Baltic,0.053
ES,100,8,38831,60000,0,1941550000,CE,0.053
FR,100,9,81747,60000,0,4087350000,CE,0.053
HR,100,10,3199,60000,0,159950000,CE,0.053
HU,100,11,7079,60000,0,353950000,CE,0.053
IT,100,12,52630,60000,0,2631500000,CE,0.053
LT,100,13,2098,60000,0,104900000,Baltic,0.053
LU,100,14,802,60000,0,40100000,CE,0.053
LV,100,15,1116,60000,0,55800000,Baltic,0.053
ME,100,16,704,60000,0,35200000,CE,0.053
NL,100,17,20060,60000,0,1003000000,CE,0.053
NO,100,18,23305,60000,0,1165250000,Nordic,0.053
PL,100,19,27106,60000,0,1355300000,CE,0.053
PT,100,20,9296,60000,0,464800000,CE,0.053
RO,100,21,8623,60000,0,431150000,CE,0.053
SE,100,22,24332,60000,0,1216600000,Nordic,0.053
SI,100,23,2296,60000,0,114800000,CE,0.053
GB,100,25,1316,60000,0,65800000,British,0.053
