load_zone,TIMEPOINT,zone_demand_mw
AT,2030.01.28.00.00,7908
AT,2030.01.28.01.00,7729
AT,2030.01.28.02.00,7597
AT,2030.01.28.03.00,7581
AT,2030.01.28.04.00,7812
AT,2030.01.28.05.00,8186
AT,2030.01.28.06.00,8807
AT,2030.01.28.07.00,9412
AT,2030.01.28.08.00,9949
AT,2030.01.28.09.00,10298
AT,2030.01.28.10.00,10398
AT,2030.01.28.11.00,10260
AT,2030.01.28.12.00,9943
AT,2030.01.28.13.00,9688
AT,2030.01.28.14.00,9577
AT,2030.01.28.15.00,9577
AT,2030.01.28.16.00,9913
AT,2030.01.28.17.00,9772
AT,2030.01.28.18.00,9325
AT,2030.01.28.19.00,8834
AT,2030.01.28.20.00,8399
AT,2030.01.28.21.00,8350
AT,2030.01.28.22.00,7888
AT,2030.01.28.23.00,7557
AT,2030.04.15.00.00,6748
AT,2030.04.15.01.00,6560
AT,2030.04.15.02.00,6605
AT,2030.04.15.03.00,6854
AT,2030.04.15.04.00,7224
AT,2030.04.15.05.00,7637
AT,2030.04.15.06.00,8123
AT,2030.04.15.07.00,8493
AT,2030.04.15.08.00,8695
AT,2030.04.15.09.00,8828
AT,2030.04.15.10.00,8604
AT,2030.04.15.11.00,8277
AT,2030.04.15.12.00,7997
AT,2030.04.15.13.00,7859
AT,2030.04.15.14.00,7807
AT,2030.04.15.15.00,7928
AT,2030.04.15.16.00,7971
AT,2030.04.15.17.00,7968
AT,2030.04.15.18.00,7854
AT,2030.04.15.19.00,7401
AT,2030.04.15.20.00,7288
AT,2030.04.15.21.00,6858
AT,2030.04.15.22.00,6501
AT,2030.04.15.23.00,6141
AT,2030.07.01.00.00,5656
AT,2030.07.01.01.00,5456
AT,2030.07.01.02.00,5458
AT,2030.07.01.03.00,5643
AT,2030.07.01.04.00,6058
AT,2030.07.01.05.00,6504
AT,2030.07.01.06.00,7155
AT,2030.07.01.07.00,7639
AT,2030.07.01.08.00,7944
AT,2030.07.01.09.00,8086
AT,2030.07.01.10.00,7741
AT,2030.07.01.11.00,7383
AT,2030.07.01.12.00,7039
AT,2030.07.01.13.00,6854
AT,2030.07.01.14.00,6704
AT,2030.07.01.15.00,6644
AT,2030.07.01.16.00,6521
AT,2030.07.01.17.00,6519
AT,2030.07.01.18.00,6518
AT,2030.07.01.19.00,6398
AT,2030.07.01.20.00,6332
AT,2030.07.01.21.00,5873
AT,2030.07.01.22.00,5604
AT,2030.07.01.23.00,5327
AT,2030.10.31.00.00,6372
AT,2030.10.31.01.00,6326
AT,2030.10.31.02.00,6240
AT,2030.10.31.03.00,6332
AT,2030.10.31.04.00,7063
AT,2030.10.31.05.00,8459
AT,2030.10.31.06.00,9448
AT,2030.10.31.07.00,10071
AT,2030.10.31.08.00,10317
AT,2030.10.31.09.00,10658
AT,2030.10.31.10.00,10955
AT,2030.10.31.11.00,10621
AT,2030.10.31.12.00,10287
AT,2030.10.31.13.00,10041
AT,2030.10.31.14.00,9915
AT,2030.10.31.15.00,9882
AT,2030.10.31.16.00,9945
AT,2030.10.31.17.00,9646
AT,2030.10.31.18.00,9160
AT,2030.10.31.19.00,8565
AT,2030.10.31.20.00,7937
AT,2030.10.31.21.00,7602
AT,2030.10.31.22.00,7074
AT,2030.10.31.23.00,6699
BE,2030.01.28.00.00,10932
BE,2030.01.28.01.00,10527
BE,2030.01.28.02.00,10367
BE,2030.01.28.03.00,10215
BE,2030.01.28.04.00,10291
BE,2030.01.28.05.00,10560
BE,2030.01.28.06.00,11145
BE,2030.01.28.07.00,11759
BE,2030.01.28.08.00,12423
BE,2030.01.28.09.00,12842
BE,2030.01.28.10.00,13052
BE,2030.01.28.11.00,13035
BE,2030.01.28.12.00,12852
BE,2030.01.28.13.00,12300
BE,2030.01.28.14.00,11946
BE,2030.01.28.15.00,12028
BE,2030.01.28.16.00,12756
BE,2030.01.28.17.00,13311
BE,2030.01.28.18.00,13031
BE,2030.01.28.19.00,12306
BE,2030.01.28.20.00,11910
BE,2030.01.28.21.00,11898
BE,2030.01.28.22.00,11816
BE,2030.01.28.23.00,11358
BE,2030.04.15.00.00,9220
BE,2030.04.15.01.00,8951
BE,2030.04.15.02.00,9141
BE,2030.04.15.03.00,9169
BE,2030.04.15.04.00,9376
BE,2030.04.15.05.00,9557
BE,2030.04.15.06.00,10076
BE,2030.04.15.07.00,10570
BE,2030.04.15.08.00,10852
BE,2030.04.15.09.00,10814
BE,2030.04.15.10.00,10878
BE,2030.04.15.11.00,10875
BE,2030.04.15.12.00,10524
BE,2030.04.15.13.00,10072
BE,2030.04.15.14.00,9845
BE,2030.04.15.15.00,9925
BE,2030.04.15.16.00,10287
BE,2030.04.15.17.00,10395
BE,2030.04.15.18.00,10566
BE,2030.04.15.19.00,10378
BE,2030.04.15.20.00,10218
BE,2030.04.15.21.00,10148
BE,2030.04.15.22.00,9440
BE,2030.04.15.23.00,9062
BE,2030.07.01.00.00,8638
BE,2030.07.01.01.00,8459
BE,2030.07.01.02.00,8407
BE,2030.07.01.03.00,8440
BE,2030.07.01.04.00,8470
BE,2030.07.01.05.00,8818
BE,2030.07.01.06.00,9346
BE,2030.07.01.07.00,9901
BE,2030.07.01.08.00,10208
BE,2030.07.01.09.00,10278
BE,2030.07.01.10.00,10223
BE,2030.07.01.11.00,9799
BE,2030.07.01.12.00,9297
BE,2030.07.01.13.00,8979
BE,2030.07.01.14.00,9100
BE,2030.07.01.15.00,9368
BE,2030.07.01.16.00,9695
BE,2030.07.01.17.00,9593
BE,2030.07.01.18.00,9376
BE,2030.07.01.19.00,9264
BE,2030.07.01.20.00,9448
BE,2030.07.01.21.00,9103
BE,2030.07.01.22.00,8739
BE,2030.07.01.23.00,8229
BE,2030.10.31.00.00,9439
BE,2030.10.31.01.00,9231
BE,2030.10.31.02.00,9249
BE,2030.10.31.03.00,9283
BE,2030.10.31.04.00,9643
BE,2030.10.31.05.00,10661
BE,2030.10.31.06.00,11543
BE,2030.10.31.07.00,12240
BE,2030.10.31.08.00,12610
BE,2030.10.31.09.00,12566
BE,2030.10.31.10.00,12608
BE,2030.10.31.11.00,12414
BE,2030.10.31.12.00,12396
BE,2030.10.31.13.00,12535
BE,2030.10.31.14.00,12197
BE,2030.10.31.15.00,12220
BE,2030.10.31.16.00,12724
BE,2030.10.31.17.00,13138
BE,2030.10.31.18.00,12573
BE,2030.10.31.19.00,11835
BE,2030.10.31.20.00,11329
BE,2030.10.31.21.00,10997
BE,2030.10.31.22.00,10594
BE,2030.10.31.23.00,9512
BG,2030.01.28.00.00,5250
BG,2030.01.28.01.00,5039
BG,2030.01.28.02.00,5068
BG,2030.01.28.03.00,5168
BG,2030.01.28.04.00,5352
BG,2030.01.28.05.00,5698
BG,2030.01.28.06.00,6313
BG,2030.01.28.07.00,6734
BG,2030.01.28.08.00,6779
BG,2030.01.28.09.00,6714
BG,2030.01.28.10.00,6622
BG,2030.01.28.11.00,6437
BG,2030.01.28.12.00,6324
BG,2030.01.28.13.00,6343
BG,2030.01.28.14.00,6527
BG,2030.01.28.15.00,6842
BG,2030.01.28.16.00,7400
BG,2030.01.28.17.00,7242
BG,2030.01.28.18.00,6937
BG,2030.01.28.19.00,6673
BG,2030.01.28.20.00,6533
BG,2030.01.28.21.00,6240
BG,2030.01.28.22.00,5855
BG,2030.01.28.23.00,5613
BG,2030.04.15.00.00,3571
BG,2030.04.15.01.00,3565
BG,2030.04.15.02.00,3599
BG,2030.04.15.03.00,3733
BG,2030.04.15.04.00,4065
BG,2030.04.15.05.00,4421
BG,2030.04.15.06.00,4444
BG,2030.04.15.07.00,4259
BG,2030.04.15.08.00,3958
BG,2030.04.15.09.00,3647
BG,2030.04.15.10.00,3448
BG,2030.04.15.11.00,3349
BG,2030.04.15.12.00,3433
BG,2030.04.15.13.00,3645
BG,2030.04.15.14.00,3914
BG,2030.04.15.15.00,4196
BG,2030.04.15.16.00,4545
BG,2030.04.15.17.00,4863
BG,2030.04.15.18.00,4702
BG,2030.04.15.19.00,4447
BG,2030.04.15.20.00,4219
BG,2030.04.15.21.00,3837
BG,2030.04.15.22.00,3574
BG,2030.04.15.23.00,3396
BG,2030.07.01.00.00,3426
BG,2030.07.01.01.00,3431
BG,2030.07.01.02.00,3474
BG,2030.07.01.03.00,3591
BG,2030.07.01.04.00,3704
BG,2030.07.01.05.00,3787
BG,2030.07.01.06.00,3809
BG,2030.07.01.07.00,3794
BG,2030.07.01.08.00,3816
BG,2030.07.01.09.00,3782
BG,2030.07.01.10.00,3766
BG,2030.07.01.11.00,3708
BG,2030.07.01.12.00,3737
BG,2030.07.01.13.00,3887
BG,2030.07.01.14.00,4174
BG,2030.07.01.15.00,4835
BG,2030.07.01.16.00,4809
BG,2030.07.01.17.00,4757
BG,2030.07.01.18.00,4699
BG,2030.07.01.19.00,4514
BG,2030.07.01.20.00,4259
BG,2030.07.01.21.00,4050
BG,2030.07.01.22.00,3847
BG,2030.07.01.23.00,3704
BG,2030.10.31.00.00,3556
BG,2030.10.31.01.00,3525
BG,2030.10.31.02.00,3556
BG,2030.10.31.03.00,3733
BG,2030.10.31.04.00,4175
BG,2030.10.31.05.00,4604
BG,2030.10.31.06.00,4829
BG,2030.10.31.07.00,4780
BG,2030.10.31.08.00,4614
BG,2030.10.31.09.00,4632
BG,2030.10.31.10.00,4518
BG,2030.10.31.11.00,4562
BG,2030.10.31.12.00,4538
BG,2030.10.31.13.00,4620
BG,2030.10.31.14.00,4778
BG,2030.10.31.15.00,5095
BG,2030.10.31.16.00,5306
BG,2030.10.31.17.00,5244
BG,2030.10.31.18.00,4911
BG,2030.10.31.19.00,4591
BG,2030.10.31.20.00,4353
BG,2030.10.31.21.00,4056
BG,2030.10.31.22.00,3882
BG,2030.10.31.23.00,3671
CZ,2030.01.28.00.00,8199
CZ,2030.01.28.01.00,8182
CZ,2030.01.28.02.00,8264
CZ,2030.01.28.03.00,8313
CZ,2030.01.28.04.00,8354
CZ,2030.01.28.05.00,8693
CZ,2030.01.28.06.00,9099
CZ,2030.01.28.07.00,9567
CZ,2030.01.28.08.00,10165
CZ,2030.01.28.09.00,10518
CZ,2030.01.28.10.00,10637
CZ,2030.01.28.11.00,10618
CZ,2030.01.28.12.00,10659
CZ,2030.01.28.13.00,10462
CZ,2030.01.28.14.00,10242
CZ,2030.01.28.15.00,10106
CZ,2030.01.28.16.00,10229
CZ,2030.01.28.17.00,10068
CZ,2030.01.28.18.00,9813
CZ,2030.01.28.19.00,9612
CZ,2030.01.28.20.00,9216
CZ,2030.01.28.21.00,8926
CZ,2030.01.28.22.00,8584
CZ,2030.01.28.23.00,8149
CZ,2030.04.15.00.00,7122
CZ,2030.04.15.01.00,7119
CZ,2030.04.15.02.00,7186
CZ,2030.04.15.03.00,7234
CZ,2030.04.15.04.00,7464
CZ,2030.04.15.05.00,7970
CZ,2030.04.15.06.00,8420
CZ,2030.04.15.07.00,8825
CZ,2030.04.15.08.00,9168
CZ,2030.04.15.09.00,9281
CZ,2030.04.15.10.00,9133
CZ,2030.04.15.11.00,8980
CZ,2030.04.15.12.00,8729
CZ,2030.04.15.13.00,8561
CZ,2030.04.15.14.00,8298
CZ,2030.04.15.15.00,8046
CZ,2030.04.15.16.00,7997
