PLANNING_RESERVE_REQUIREMENTS,prr_cap_reserve_margin,prr_enforcement_timescale
AT_1.15peak,0.15,peak_load
BE_1.15peak,0.15,peak_load
BG_1.15peak,0.15,peak_load
CZ_1.15peak,0.15,peak_load
DE_1.15peak,0.15,peak_load
DK_1.15peak,0.15,peak_load
EE_1.15peak,0.15,peak_load
ES_1.15peak,0.15,peak_load
FR_1.15peak,0.15,peak_load
HR_1.15peak,0.15,peak_load
HU_1.15peak,0.15,peak_load
IT_1.15peak,0.15,peak_load
LT_1.15peak,0.15,peak_load
LU_1.15peak,0.15,peak_load
LV_1.15peak,0.15,peak_load
ME_1.15peak,0.15,peak_load
NL_1.15peak,0.15,peak_load
NO_1.15peak,0.15,peak_load
PL_1.15peak,0.15,peak_load
PT_1.15peak,0.15,peak_load
RO_1.15peak,0.15,peak_load
SE_1.15peak,0.15,peak_load
SI_1.15peak,0.15,peak_load
GB_1.15peak,0.15,peak_load
