timepoint_id,timestamp,timeseries
2030.01.28.00.00,2030-01-28_00:00,2030.01.28
2030.01.28.01.00,2030-01-28_01:00,2030.01.28
2030.01.28.02.00,2030-01-28_02:00,2030.01.28
2030.01.28.03.00,2030-01-28_03:00,2030.01.28
2030.01.28.04.00,2030-01-28_04:00,2030.01.28
2030.01.28.05.00,2030-01-28_05:00,2030.01.28
2030.01.28.06.00,2030-01-28_06:00,2030.01.28
2030.01.28.07.00,2030-01-28_07:00,2030.01.28
2030.01.28.08.00,2030-01-28_08:00,2030.01.28
2030.01.28.09.00,2030-01-28_09:00,2030.01.28
2030.01.28.10.00,2030-01-28_10:00,2030.01.28
2030.01.28.11.00,2030-01-28_11:00,2030.01.28
2030.01.28.12.00,2030-01-28_12:00,2030.01.28
2030.01.28.13.00,2030-01-28_13:00,2030.01.28
2030.01.28.14.00,2030-01-28_14:00,2030.01.28
2030.01.28.15.00,2030-01-28_15:00,2030.01.28
2030.01.28.16.00,2030-01-28_16:00,2030.01.28
2030.01.28.17.00,2030-01-28_17:00,2030.01.28
2030.01.28.18.00,2030-01-28_18:00,2030.01.28
2030.01.28.19.00,2030-01-28_19:00,2030.01.28
2030.01.28.20.00,2030-01-28_20:00,2030.01.28
2030.01.28.21.00,2030-01-28_21:00,2030.01.28
2030.01.28.22.00,2030-01-28_22:00,2030.01.28
2030.01.28.23.00,2030-01-28_23:00,2030.01.28
2030.04.15.00.00,2030-04-15_00:00,2030.04.15
2030.04.15.01.00,2030-04-15_01:00,2030.04.15
2030.04.15.02.00,2030-04-15_02:00,2030.04.15
2030.04.15.03.00,2030-04-15_03:00,2030.04.15
2030.04.15.04.00,2030-04-15_04:00,2030.04.15
2030.04.15.05.00,2030-04-15_05:00,2030.04.15
2030.04.15.06.00,2030-04-15_06:00,2030.04.15
2030.04.15.07.00,2030-04-15_07:00,2030.04.15
2030.04.15.08.00,2030-04-15_08:00,2030.04.15
2030.04.15.09.00,2030-04-15_09:00,2030.04.15
2030.04.15.10.00,2030-04-15_10:00,2030.04.15
2030.04.15.11.00,2030-04-15_11:00,2030.04.15
2030.04.15.12.00,2030-04-15_12:00,2030.04.15
2030.04.15.13.00,2030-04-15_13:00,2030.04.15
2030.04.15.14.00,2030-04-15_14:00,2030.04.15
2030.04.15.15.00,2030-04-15_15:00,2030.04.15
2030.04.15.16.00,2030-04-15_16:00,2030.04.15
2030.04.15.17.00,2030-04-15_17:00,2030.04.15
2030.04.15.18.00,2030-04-15_18:00,2030.04.15
2030.04.15.19.00,2030-04-15_19:00,2030.04.15
2030.04.15.20.00,2030-04-15_20:00,2030.04.15
2030.04.15.21.00,2030-04-15_21:00,2030.04.15
2030.04.15.22.00,2030-04-15_22:00,2030.04.15
2030.04.15.23.00,2030-04-15_23:00,2030.04.15
2030.07.01.00.00,2030-07-01_00:00,2030.07.01
2030.07.01.01.00,2030-07-01_01:00,2030.07.01
2030.07.01.02.00,2030-07-01_02:00,2030.07.01
2030.07.01.03.00,2030-07-01_03:00,2030.07.01
2030.07.01.04.00,2030-07-01_04:00,2030.07.01
