TRANSMISSION_LINE,trans_lz1,trans_lz2,trans_length_km,trans_efficiency,existing_trans_cap,trans_new_build_allowed
CZ-AT,CZ,AT,150,0.9,900,TRUE
DE-BE,DE,BE,150,0.9,400,TRUE
DE-CZ,DE,CZ,150,0.9,1900,TRUE
DK-DE,DK,DE,150,0.9,1825,TRUE
FR-BE,FR,BE,150,0.9,1850,TRUE
FR-ES,FR,ES,150,0.9,2050,TRUE
HU-AT,HU,AT,150,0.9,300,TRUE
HU-HR,HU,HR,150,0.9,500,TRUE
IT-AT,IT,AT,150,0.9,234,TRUE
LT-FR,LT,FR,150,0.9,2584,TRUE
LV-EE,LV,EE,150,0.9,906,TRUE
LV-LT,LV,LT,150,0.9,1051,TRUE
ME-IT,ME,IT,480,0.9,600,TRUE
NL-BE,NL,BE,150,0.9,950,TRUE
NL-DE,NL,DE,150,0.9,554,TRUE
NL-DK,NL,DK,700,0.9,700,TRUE
NO-DK,NO,DK,540,0.9,1632,TRUE
NO-NL,NO,NL,1250,0.9,620,TRUE
PL-CZ,PL,CZ,150,0.9,800,TRUE
PL-LT,PL,LT,150,0.9,350,TRUE
PT-ES,PT,ES,150,0.9,2600,TRUE
RO-BG,RO,BG,150,0.9,500,TRUE
RO-HU,RO,HU,150,0.9,350,TRUE
SE-DE,SE,DE,380,0.9,615,TRUE
SE-DK,SE,DK,350,0.9,2415,TRUE
SE-LT,SE,LT,800,0.9,700,TRUE
SE-NO,SE,NO,150,0.9,3995,TRUE
SE-PL,SE,PL,550,0.9,600,TRUE
SI-AT,SI,AT,150,0.9,950,TRUE
SI-HR,SI,HR,150,0.9,500,TRUE
SI-HU,SI,HU,150,0.9,150,TRUE
SI-IT,SI,IT,150,0.9,660,TRUE
GB-BE,GB,BE,480,0.9,750,TRUE
GB-FR,GB,FR,480,0.9,4028,TRUE
GB-NL,GB,NL,525,0.9,1016,TRUE
