GENERATION_PROJECT,timepoint,gen_max_capacity_factor
AT-Solar,2030.01.28.00.00,0
AT-Solar,2030.01.28.01.00,0
AT-Solar,2030.01.28.02.00,0
AT-Solar,2030.01.28.03.00,0
AT-Solar,2030.01.28.04.00,0
AT-Solar,2030.01.28.05.00,0
AT-Solar,2030.01.28.06.00,0
AT-Solar,2030.01.28.07.00,0.052
AT-Solar,2030.01.28.08.00,0.226
AT-Solar,2030.01.28.09.00,0.361
AT-Solar,2030.01.28.10.00,0.407
AT-Solar,2030.01.28.11.00,0.455
AT-Solar,2030.01.28.12.00,0.374
AT-Solar,2030.01.28.13.00,0.234
AT-Solar,2030.01.28.14.00,0.067
AT-Solar,2030.01.28.15.00,0
AT-Solar,2030.01.28.16.00,0
AT-Solar,2030.01.28.17.00,0
AT-Solar,2030.01.28.18.00,0
AT-Solar,2030.01.28.19.00,0
AT-Solar,2030.01.28.20.00,0
AT-Solar,2030.01.28.21.00,0
AT-Solar,2030.01.28.22.00,0
AT-Solar,2030.01.28.23.00,0
AT-Solar,2030.04.15.00.00,0
AT-Solar,2030.04.15.01.00,0
AT-Solar,2030.04.15.02.00,0
AT-Solar,2030.04.15.03.00,0
AT-Solar,2030.04.15.04.00,0
AT-Solar,2030.04.15.05.00,0.011
AT-Solar,2030.04.15.06.00,0.092
AT-Solar,2030.04.15.07.00,0.289
AT-Solar,2030.04.15.08.00,0.458
AT-Solar,2030.04.15.09.00,0.587
AT-Solar,2030.04.15.10.00,0.722
AT-Solar,2030.04.15.11.00,0.768
AT-Solar,2030.04.15.12.00,0.745
AT-Solar,2030.04.15.13.00,0.625
AT-Solar,2030.04.15.14.00,0.456
AT-Solar,2030.04.15.15.00,0.244
AT-Solar,2030.04.15.16.00,0.035
AT-Solar,2030.04.15.17.00,0
AT-Solar,2030.04.15.18.00,0
AT-Solar,2030.04.15.19.00,0
AT-Solar,2030.04.15.20.00,0
AT-Solar,2030.04.15.21.00,0
AT-Solar,2030.04.15.22.00,0
AT-Solar,2030.04.15.23.00,0
AT-Solar,2030.07.01.00.00,0
AT-Solar,2030.07.01.01.00,0
AT-Solar,2030.07.01.02.00,0
AT-Solar,2030.07.01.03.00,0
AT-Solar,2030.07.01.04.00,0.022
AT-Solar,2030.07.01.05.00,0.152
AT-Solar,2030.07.01.06.00,0.383
AT-Solar,2030.07.01.07.00,0.584
AT-Solar,2030.07.01.08.00,0.724
AT-Solar,2030.07.01.09.00,0.787
AT-Solar,2030.07.01.10.00,0.749
AT-Solar,2030.07.01.11.00,0.611
AT-Solar,2030.07.01.12.00,0.482
AT-Solar,2030.07.01.13.00,0.389
AT-Solar,2030.07.01.14.00,0.284
AT-Solar,2030.07.01.15.00,0.181
AT-Solar,2030.07.01.16.00,0.089
AT-Solar,2030.07.01.17.00,0.026
