LOAD_ZONE,PERIOD,zone_expected_coincident_peak_demand
AT,2025,12752.1
AT,2035,17802.1
AT,2045,20563.1
BE,2025,15569.1
BE,2035,21734.1
BE,2045,25105.1
BG,2025,8896.1
BG,2035,12419.1
BG,2045,14345.1
CZ,2025,12758.1
CZ,2035,17811.1
CZ,2045,20573.1
DE,2025,90947.1
DE,2035,126963.1
DE,2045,146656.1
DK,2025,7561.1
DK,2035,10556.1
DK,2045,12193.1
EE,2025,1922.1
EE,2035,2683.1
EE,2045,3099.1
ES,2025,47992.1
ES,2035,66997.1
ES,2045,77389.1
FR,2025,101032.1
FR,2035,141042.1
FR,2045,162918.1
HR,2025,3954.1
HR,2035,5519.1
HR,2045,6375.1
HU,2025,8749.1
HU,2035,12214.1
HU,2045,14108.1
IT,2025,65046.1
IT,2035,90805.1
IT,2045,104889.1
LT,2025,2593.1
LT,2035,3620.1
LT,2045,4181.1
LU,2025,991.1
LU,2035,1384.1
LU,2045,1598.1
LV,2025,1379.1
LV,2035,1925.1
LV,2045,2224.1
ME,2025,870.1
ME,2035,1215.1
ME,2045,1403.1
NL,2025,24792.1
NL,2035,34611.1
NL,2045,39979.1
NO,2025,28803.1
NO,2035,40209.1
NO,2045,46446.1
PL,2025,33501.1
PL,2035,46767.1
PL,2045,54021.1
PT,2025,11489.1
PT,2035,16039.1
PT,2045,18527.1
RO,2025,10657.1
RO,2035,14878.1
RO,2045,17185.1
SE,2025,30072.1
SE,2035,41981.1
SE,2045,48493.1
SI,2025,2838.1
SI,2035,3961.1
SI,2045,4576.1
GB,2025,58715.1
GB,2035,81966.1
GB,2045,94679.1
