load_zone,regional_fuel_market
AT,EU_gas
BE,EU_gas
BG,EU_gas
CZ,EU_gas
DE,EU_gas
DK,EU_gas
EE,EU_gas
ES,EU_gas
FR,EU_gas
HR,EU_gas
HU,EU_gas
IT,EU_gas
LT,EU_gas
LU,EU_gas
LV,EU_gas
ME,EU_gas
NL,EU_gas
NO,EU_gas
PL,EU_gas
PT,EU_gas
RO,EU_gas
SE,EU_gas
SI,EU_gas
GB,EU_gas
AT,EU_uranium
BE,EU_uranium
BG,EU_uranium
CZ,EU_uranium
DE,EU_uranium
DK,EU_uranium
EE,EU_uranium
ES,EU_uranium
FR,EU_uranium
HR,EU_uranium
HU,EU_uranium
IT,EU_uranium
LT,EU_uranium
LU,EU_uranium
LV,EU_uranium
ME,EU_uranium
NL,EU_uranium
NO,EU_uranium
PL,EU_uranium
PT,EU_uranium
RO,EU_uranium
SE,EU_uranium
SI,EU_uranium
GB,EU_uranium
AT,EU_coal
BE,EU_coal
BG,EU_coal
CZ,EU_coal
DE,EU_coal
DK,EU_coal
EE,EU_coal
ES,EU_coal
FR,EU_coal
HR,EU_coal
HU,EU_coal
IT,EU_coal
LT,EU_coal
LU,EU_coal
LV,EU_coal
ME,EU_coal
NL,EU_coal
NO,EU_coal
PL,EU_coal
PT,EU_coal
RO,EU_coal
SE,EU_coal
SI,EU_coal
GB,EU_coal
