GENERATION_PROJECT,gen_storage_energy_limit_mwh
AT-ERES_2030,23.6418048
BE-ERES_2030,20.02165344
BG-ERES_2030,5.3563464
CZ-ERES_2030,20.8712808
DE-ERES_2030,171.1075622
DK-ERES_2030,5.52257784
EE-ERES_2030,0.20317176
ES-ERES_2030,39.10132872
FR-ERES_2030,112.8157373
GB-ERES_2030,61.76421504
HR-ERES_2030,0.25858224
HU-ERES_2030,16.2537408
IT-ERES_2030,0.20317176
LT-ERES_2030,0.68339592
LU-ERES_2030,2.16100872
LV-ERES_2030,84.72262392
ME-ERES_2030,0.20317176
NL-ERES_2030,25.37799984
NO-ERES_2030,9.47519208
PL-ERES_2030,44.27297352
PT-ERES_2030,5.079294
RO-ERES_2030,11.15597664
SE-ERES_2030,38.73192552
SI-ERES_2030,3.93414408
AT-DCERES_2030,15.5261952
BE-DCERES_2030,13.14874656
BG-DCERES_2030,3.5176536
CZ-DCERES_2030,13.7067192
DE-DCERES_2030,112.3708378
DK-DCERES_2030,3.62682216
EE-DCERES_2030,0.13342824
ES-DCERES_2030,25.67887128
FR-DCERES_2030,74.08906272
GB-DCERES_2030,40.56218496
HR-DCERES_2030,0.16981776
HU-DCERES_2030,10.6742592
IT-DCERES_2030,0.13342824
LT-DCERES_2030,0.44880408
LU-DCERES_2030,1.41919128
LV-DCERES_2030,55.63957608
ME-DCERES_2030,0.13342824
NL-DCERES_2030,16.66640016
NO-DCERES_2030,6.22260792
PL-DCERES_2030,29.07522648
PT-DCERES_2030,3.335706
RO-DCERES_2030,7.32642336
SE-DCERES_2030,25.43627448
SI-DCERES_2030,2.58365592
AT-ERES_2040,7.803
BE-ERES_2040,6.6096
BG-ERES_2040,1.7442
CZ-ERES_2040,6.885
DE-ERES_2040,56.457
DK-ERES_2040,1.8054
EE-ERES_2040,0.0612
ES-ERES_2040,12.8826
FR-ERES_2040,37.2402
GB-ERES_2040,20.3796
HR-ERES_2040,0.0918
HU-ERES_2040,5.355
IT-ERES_2040,0.0612
LT-ERES_2040,0.2142
LU-ERES_2040,0.7038
LV-ERES_2040,27.9378
ME-ERES_2040,0.0612
NL-ERES_2040,8.3538
NO-ERES_2040,3.1212
PL-ERES_2040,14.5962
PT-ERES_2040,1.6524
RO-ERES_2040,3.672
SE-ERES_2040,12.7602
SI-ERES_2040,1.2852
AT-ERES_2050,7.803
BE-ERES_2050,6.6096
BG-ERES_2050,1.7442
CZ-ERES_2050,6.885
DE-ERES_2050,56.457
DK-ERES_2050,1.8054
EE-ERES_2050,0.0612
ES-ERES_2050,12.8826
FR-ERES_2050,37.2402
GB-ERES_2050,20.3796
HR-ERES_2050,0.0918
HU-ERES_2050,5.355
IT-ERES_2050,0.0612
LT-ERES_2050,0.2142
LU-ERES_2050,0.7038
LV-ERES_2050,27.9378
ME-ERES_2050,0.0612
NL-ERES_2050,8.3538
NO-ERES_2050,3.1212
PL-ERES_2050,14.5962
PT-ERES_2050,1.6524
RO-ERES_2050,3.672
SE-ERES_2050,12.7602
SI-ERES_2050,1.2852
