GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om,gen_storage_energy_overnight_cost
AT-Battery,2025,0,49595,539985.75
AT-Battery,2035,0,38929,429425.25
AT-Battery,2045,0,36169,400818.25
AT-Battery_EP,2022,0,49595,539985.75
AT-Hydro Pumped Storage_EP,2025,0,20150,244774.5806
AT-Hydro Pumped Storage_EP,2035,0,20150,244774.5806
AT-Hydro Pumped Storage_EP,2045,0,20150,244774.5806
AT-Hydro Pumped Storage_EP,2022,0,20150,244774.5806
AT-Hydro Run of river and poundage_EP,2025,3241336,92000,.
AT-Hydro Run of river and poundage_EP,2035,3241336,92000,.
AT-Hydro Run of river and poundage_EP,2045,3241336,92000,.
AT-Hydro Run of river and poundage_EP,2022,3241336,92000,.
AT-Hydro Water Reservoir_EP,2025,3241336,92000,.
AT-Hydro Water Reservoir_EP,2035,3241336,92000,.
AT-Hydro Water Reservoir_EP,2045,3241336,92000,.
AT-Hydro Water Reservoir_EP,2022,3241336,92000,.
AT-Solar,2025,1540628,21503,.
AT-Solar,2035,1189247,17962,.
AT-Solar,2045,993296,15997,.
AT-Solar_EP,2022,1540628,21503,.
AT-Wind Onshore,2025,1632639,31868,.
AT-Wind Onshore,2035,1522152,30291,.
AT-Wind Onshore,2045,1411671,29051,.
AT-Wind Onshore_EP,2022,1632639,31868,.
BE-Battery,2025,0,49595,539985.75
BE-Battery,2035,0,38929,429425.25
BE-Battery,2045,0,36169,400818.25
BE-Battery_EP,2022,0,49595,539985.75
BE-Hydro Pumped Storage_EP,2025,0,20150,244774.5806
BE-Hydro Pumped Storage_EP,2035,0,20150,244774.5806
BE-Hydro Pumped Storage_EP,2045,0,20150,244774.5806
BE-Hydro Pumped Storage_EP,2022,0,20150,244774.5806
BE-Hydro Run of river and poundage_EP,2025,3241336,92000,.
BE-Hydro Run of river and poundage_EP,2035,3241336,92000,.
BE-Hydro Run of river and poundage_EP,2045,3241336,92000,.
BE-Hydro Run of river and poundage_EP,2022,3241336,92000,.
BE-Solar,2025,1540628,21503,.
BE-Solar,2035,1189247,17962,.
BE-Solar,2045,993296,15997,.
BE-Solar_EP,2022,1540628,21503,.
BE-Wind Offshore,2025,7597684,89150,.
BE-Wind Offshore,2035,4060629,83585,.
BE-Wind Offshore,2045,3869643,78997,.
BE-Wind Offshore_EP,2022,7597684,89150,.
BE-Wind Onshore,2025,1632639,31868,.
BE-Wind Onshore,2035,1522152,30291,.
BE-Wind Onshore,2045,1411671,29051,.
BE-Wind Onshore_EP,2022,1632639,31868,.
BG-Battery,2025,0,49595,539985.75
BG-Battery,2035,0,38929,429425.25
BG-Battery,2045,0,36169,400818.25
BG-Battery_EP,2022,0,49595,539985.75
BG-Hydro Pumped Storage_EP,2025,0,20150,244774.5806
BG-Hydro Pumped Storage_EP,2035,0,20150,244774.5806
BG-Hydro Pumped Storage_EP,2045,0,20150,244774.5806
BG-Hydro Pumped Storage_EP,2022,0,20150,244774.5806
BG-Hydro Run of river and poundage_EP,2025,3241336,92000,.
BG-Hydro Run of river and poundage_EP,2035,3241336,92000,.
BG-Hydro Run of river and poundage_EP,2045,3241336,92000,.
BG-Hydro Run of river and poundage_EP,2022,3241336,92000,.
BG-Hydro Water Reservoir_EP,2025,3241336,92000,.
BG-Hydro Water Reservoir_EP,2035,3241336,92000,.
BG-Hydro Water Reservoir_EP,2045,3241336,92000,.
BG-Hydro Water Reservoir_EP,2022,3241336,92000,.
BG-Solar,2025,1540628,21503,.
BG-Solar,2035,1189247,17962,.
BG-Solar,2045,993296,15997,.
BG-Solar_EP,2022,1540628,21503,.
BG-Wind Onshore,2025,1632639,31868,.
BG-Wind Onshore,2035,1522152,30291,.
BG-Wind Onshore,2045,1411671,29051,.
BG-Wind Onshore_EP,2022,1632639,31868,.
CZ-Battery,2025,0,49595,539985.75
CZ-Battery,2035,0,38929,429425.25
CZ-Battery,2045,0,36169,400818.25
CZ-Battery_EP,2022,0,49595,539985.75
CZ-Hydro Pumped Storage_EP,2025,0,20150,244774.5806
CZ-Hydro Pumped Storage_EP,2035,0,20150,244774.5806
CZ-Hydro Pumped Storage_EP,2045,0,20150,244774.5806
CZ-Hydro Pumped Storage_EP,2022,0,20150,244774.5806
CZ-Hydro Run of river and poundage_EP,2025,3241336,92000,.
CZ-Hydro Run of river and poundage_EP,2035,3241336,92000,.
CZ-Hydro Run of river and poundage_EP,2045,3241336,92000,.
CZ-Hydro Run of river and poundage_EP,2022,3241336,92000,.
CZ-Hydro Water Reservoir_EP,2025,3241336,92000,.
CZ-Hydro Water Reservoir_EP,2035,3241336,92000,.
CZ-Hydro Water Reservoir_EP,2045,3241336,92000,.
CZ-Hydro Water Reservoir_EP,2022,3241336,92000,.
CZ-Solar,2025,1540628,21503,.
CZ-Solar,2035,1189247,17962,.
CZ-Solar,2045,993296,15997,.
CZ-Solar_EP,2022,1540628,21503,.
CZ-Wind Onshore,2025,1632639,31868,.
