GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om,gen_storage_energy_overnight_cost
AT-Battery,2025,0,31043,347686
AT-Battery,2035,0,22311,257178
AT-Battery,2045,0,18023,212725
AT-Battery_EP,2022,0,31043,347686
AT-Hydro Pumped Storage_EP,2025,0,20150,239829.6129
AT-Hydro Pumped Storage_EP,2035,0,20150,224994.8387
AT-Hydro Pumped Storage_EP,2045,0,20150,220049.871
AT-Hydro Pumped Storage_EP,2022,0,20150,239829.6129
AT-Hydro Run of river and poundage_EP,2025,3241336,92000,.
AT-Hydro Run of river and poundage_EP,2035,2940089,87000,.
AT-Hydro Run of river and poundage_EP,2045,2800642,79000,.
AT-Hydro Run of river and poundage_EP,2022,3241336,92000,.
AT-Hydro Water Reservoir_EP,2025,3241336,92000,.
AT-Hydro Water Reservoir_EP,2035,2940089,87000,.
AT-Hydro Water Reservoir_EP,2045,2800642,79000,.
AT-Hydro Water Reservoir_EP,2022,3241336,92000,.
AT-Solar,2025,1456237,20602,.
AT-Solar,2035,682896,12764,.
AT-Solar,2045,602678,11837,.
AT-Solar_EP,2022,1456237,20602,.
AT-Wind Onshore,2025,1544244,30145,.
AT-Wind Onshore,2035,1258799,23834,.
AT-Wind Onshore,2045,1093053,18874,.
AT-Wind Onshore_EP,2022,1544244,30145,.
BE-Battery,2025,0,31043,347686
BE-Battery,2035,0,22311,257178
BE-Battery,2045,0,18023,212725
BE-Battery_EP,2022,0,31043,347686
BE-Hydro Pumped Storage_EP,2025,0,20150,239829.6129
BE-Hydro Pumped Storage_EP,2035,0,20150,224994.8387
BE-Hydro Pumped Storage_EP,2045,0,20150,220049.871
BE-Hydro Pumped Storage_EP,2022,0,20150,239829.6129
BE-Hydro Run of river and poundage_EP,2025,3241336,92000,.
BE-Hydro Run of river and poundage_EP,2035,2940089,87000,.
BE-Hydro Run of river and poundage_EP,2045,2800642,79000,.
BE-Hydro Run of river and poundage_EP,2022,3241336,92000,.
BE-Solar,2025,1456237,20602,.
BE-Solar,2035,682896,12764,.
BE-Solar,2045,602678,11837,.
BE-Solar_EP,2022,1456237,20602,.
BE-Wind Offshore,2025,4745534,78997,.
BE-Wind Offshore,2035,2925561,68141,.
BE-Wind Offshore,2045,2679273,64704,.
BE-Wind Offshore_EP,2022,4745534,78997,.
BE-Wind Onshore,2025,1544244,30145,.
BE-Wind Onshore,2035,1258799,23834,.
BE-Wind Onshore,2045,1093053,18874,.
BE-Wind Onshore_EP,2022,1544244,30145,.
BG-Battery,2025,0,31043,347686
BG-Battery,2035,0,22311,257178
BG-Battery,2045,0,18023,212725
BG-Battery_EP,2022,0,31043,347686
BG-Hydro Pumped Storage_EP,2025,0,20150,239829.6129
BG-Hydro Pumped Storage_EP,2035,0,20150,224994.8387
BG-Hydro Pumped Storage_EP,2045,0,20150,220049.871
BG-Hydro Pumped Storage_EP,2022,0,20150,239829.6129
BG-Hydro Run of river and poundage_EP,2025,3241336,92000,.
BG-Hydro Run of river and poundage_EP,2035,2940089,87000,.
BG-Hydro Run of river and poundage_EP,2045,2800642,79000,.
BG-Hydro Run of river and poundage_EP,2022,3241336,92000,.
BG-Hydro Water Reservoir_EP,2025,3241336,92000,.
BG-Hydro Water Reservoir_EP,2035,2940089,87000,.
BG-Hydro Water Reservoir_EP,2045,2800642,79000,.
BG-Hydro Water Reservoir_EP,2022,3241336,92000,.
BG-Solar,2025,1456237,20602,.
BG-Solar,2035,682896,12764,.
BG-Solar,2045,602678,11837,.
BG-Solar_EP,2022,1456237,20602,.
BG-Wind Onshore,2025,1544244,30145,.
BG-Wind Onshore,2035,1258799,23834,.
BG-Wind Onshore,2045,1093053,18874,.
BG-Wind Onshore_EP,2022,1544244,30145,.
CZ-Battery,2025,0,31043,347686
CZ-Battery,2035,0,22311,257178
CZ-Battery,2045,0,18023,212725
CZ-Battery_EP,2022,0,31043,347686
CZ-Hydro Pumped Storage_EP,2025,0,20150,239829.6129
CZ-Hydro Pumped Storage_EP,2035,0,20150,224994.8387
CZ-Hydro Pumped Storage_EP,2045,0,20150,220049.871
CZ-Hydro Pumped Storage_EP,2022,0,20150,239829.6129
CZ-Hydro Run of river and poundage_EP,2025,3241336,92000,.
CZ-Hydro Run of river and poundage_EP,2035,2940089,87000,.
CZ-Hydro Run of river and poundage_EP,2045,2800642,79000,.
CZ-Hydro Run of river and poundage_EP,2022,3241336,92000,.
CZ-Hydro Water Reservoir_EP,2025,3241336,92000,.
CZ-Hydro Water Reservoir_EP,2035,2940089,87000,.
CZ-Hydro Water Reservoir_EP,2045,2800642,79000,.
CZ-Hydro Water Reservoir_EP,2022,3241336,92000,.
CZ-Solar,2025,1456237,20602,.
CZ-Solar,2035,682896,12764,.
CZ-Solar,2045,602678,11837,.
CZ-Solar_EP,2022,1456237,20602,.
CZ-Wind Onshore,2025,1544244,30145,.
CZ-Wind Onshore,2035,1258799,23834,.
CZ-Wind Onshore,2045,1093053,18874,.
CZ-Wind Onshore_EP,2022,1544244,30145,.
DE-Battery,2025,0,31043,347686
DE-Battery,2035,0,22311,257178
DE-Battery,2045,0,18023,212725
DE-Battery_EP,2022,0,31043,347686
DE-Hydro Pumped Storage_EP,2025,0,20150,239829.6129
DE-Hydro Pumped Storage_EP,2035,0,20150,224994.8387
DE-Hydro Pumped Storage_EP,2045,0,20150,220049.871
DE-Hydro Pumped Storage_EP,2022,0,20150,239829.6129
