GENERATION_PROJECT,gen_tech,gen_energy_source,gen_load_zone,gen_max_age,gen_is_variable,gen_is_flexible_baseload,gen_is_baseload,gen_can_provide_spinning_reserves,gen_can_provide_quickstart_reserves,gen_full_load_heat_rate,gen_variable_om,gen_connect_cost_per_mw,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_capacity_limit_mw,gen_min_build_capacity,gen_is_cogen,gen_storage_efficiency,gen_store_to_release_ratio,gen_storage_energy_to_power_ratio,gen_min_load_fraction,gen_is_pumped_hydro
AT-Battery,Battery,Storage,AT,15,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,0,0.0055,0.02,.,0,FALSE,0.85,1,4,0,FALSE
AT-Battery_EP,Battery_EP,Storage,AT,15,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,0,0.0055,0.02,177,0,FALSE,0.85,1,4,0,FALSE
AT-Hydro Pumped Storage_EP,Hydro Pumped Storage_EP,HP,AT,100,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,0,0.094,0.051,.,0,FALSE,0.74,1,15.5,0,TRUE
AT-Hydro Run of river and poundage_EP,Hydro Run of river and poundage_EP,Water,AT,100,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,0,0.094,0.051,.,0,FALSE,.,.,.,0.3,FALSE
AT-Hydro Water Reservoir_EP,Hydro Water Reservoir_EP,Water,AT,100,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,0,0.094,0.051,.,0,FALSE,.,.,.,0.3,FALSE
AT-Solar,Solar,Solar,AT,20,TRUE,FALSE,FALSE,FALSE,FALSE,.,0,0,0,0.02,.,0,FALSE,.,.,.,0,FALSE
AT-Solar_EP,Solar_EP,Solar,AT,20,TRUE,FALSE,FALSE,FALSE,FALSE,.,0,0,0,0.02,3265,0,FALSE,.,.,.,0,FALSE
AT-Wind Onshore,Wind Onshore,Wind,AT,30,TRUE,FALSE,FALSE,FALSE,FALSE,.,0,0,0.0139,0.02,.,0,FALSE,.,.,.,0,FALSE
AT-Wind Onshore_EP,Wind Onshore_EP,Wind,AT,30,TRUE,FALSE,FALSE,FALSE,FALSE,.,0,0,0.0139,0.02,3569,0,FALSE,.,.,.,0,FALSE
BE-Battery,Battery,Storage,BE,15,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,0,0.0055,0.02,.,0,FALSE,0.85,1,4,0,FALSE
BE-Battery_EP,Battery_EP,Storage,BE,15,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,0,0.0055,0.02,141,0,FALSE,0.85,1,4,0,FALSE
BE-Hydro Pumped Storage_EP,Hydro Pumped Storage_EP,HP,BE,100,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,0,0.094,0.051,.,0,FALSE,0.74,1,15.5,0,TRUE
BE-Hydro Run of river and poundage_EP,Hydro Run of river and poundage_EP,Water,BE,100,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,0,0.094,0.051,.,0,FALSE,.,.,.,0.3,FALSE
BE-Solar,Solar,Solar,BE,20,TRUE,FALSE,FALSE,FALSE,FALSE,.,0,0,0,0.02,.,0,FALSE,.,.,.,0,FALSE
BE-Solar_EP,Solar_EP,Solar,BE,20,TRUE,FALSE,FALSE,FALSE,FALSE,.,0,0,0,0.02,6475,0,FALSE,.,.,.,0,FALSE
BE-Wind Offshore,Wind Offshore,Wind,BE,30,TRUE,FALSE,FALSE,FALSE,FALSE,.,0,0,0.0262,0.02,.,0,FALSE,.,.,.,0,FALSE
BE-Wind Offshore_EP,Wind Offshore_EP,Wind,BE,30,TRUE,FALSE,FALSE,FALSE,FALSE,.,0,0,0.0262,0.02,2262,0,FALSE,.,.,.,0,FALSE
BE-Wind Onshore,Wind Onshore,Wind,BE,30,TRUE,FALSE,FALSE,FALSE,FALSE,.,0,0,0.0139,0.02,.,0,FALSE,.,.,.,0,FALSE
BE-Wind Onshore_EP,Wind Onshore_EP,Wind,BE,30,TRUE,FALSE,FALSE,FALSE,FALSE,.,0,0,0.0139,0.02,3053,0,FALSE,.,.,.,0,FALSE
BG-Battery,Battery,Storage,BG,15,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,0,0.0055,0.02,.,0,FALSE,0.85,1,4,0,FALSE
BG-Battery_EP,Battery_EP,Storage,BG,15,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,0,0.0055,0.02,67,0,FALSE,0.85,1,4,0,FALSE
