GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om,gen_storage_energy_overnight_cost
AT-Battery,2025,0,38777,427850.75
AT-Battery,2035,0,29997,336849
AT-Battery,2045,0,24986,284904.75
AT-Battery_EP,2022,0,38777,427850.75
AT-Hydro Pumped Storage_EP,2025,0,20150,244774.5806
AT-Hydro Pumped Storage_EP,2035,0,20150,244774.5806
AT-Hydro Pumped Storage_EP,2045,0,20150,244774.5806
AT-Hydro Pumped Storage_EP,2022,0,20150,244774.5806
AT-Hydro Run of river and poundage_EP,2025,3241336,92000,.
AT-Hydro Run of river and poundage_EP,2035,3241336,92000,.
AT-Hydro Run of river and poundage_EP,2045,3111470,88000,.
AT-Hydro Run of river and poundage_EP,2022,3241336,92000,.
AT-Hydro Water Reservoir_EP,2025,3241336,92000,.
AT-Hydro Water Reservoir_EP,2035,3241336,92000,.
AT-Hydro Water Reservoir_EP,2045,3111470,88000,.
AT-Hydro Water Reservoir_EP,2022,3241336,92000,.
AT-Solar,2025,1491641,21001,.
AT-Solar,2035,895321,15022,.
AT-Solar,2045,753705,13510,.
AT-Solar_EP,2022,1491641,21001,.
AT-Wind Onshore,2025,1569099,31251,.
AT-Wind Onshore,2035,1344692,28261,.
AT-Wind Onshore,2045,1188169,26256,.
AT-Wind Onshore_EP,2022,1569099,31251,.
BE-Battery,2025,0,38777,427850.75
BE-Battery,2035,0,29997,336849
BE-Battery,2045,0,24986,284904.75
BE-Battery_EP,2022,0,38777,427850.75
BE-Hydro Pumped Storage_EP,2025,0,20150,244774.5806
BE-Hydro Pumped Storage_EP,2035,0,20150,244774.5806
BE-Hydro Pumped Storage_EP,2045,0,20150,244774.5806
BE-Hydro Pumped Storage_EP,2022,0,20150,244774.5806
BE-Hydro Run of river and poundage_EP,2025,3241336,92000,.
BE-Hydro Run of river and poundage_EP,2035,3241336,92000,.
BE-Hydro Run of river and poundage_EP,2045,3111470,88000,.
BE-Hydro Run of river and poundage_EP,2022,3241336,92000,.
BE-Solar,2025,1491641,21001,.
BE-Solar,2035,895321,15022,.
BE-Solar,2045,753705,13510,.
BE-Solar_EP,2022,1491641,21001,.
BE-Wind Offshore,2025,5877079,84270,.
BE-Wind Offshore,2035,3435322,74181,.
BE-Wind Offshore,2045,3208853,68141,.
BE-Wind Offshore_EP,2022,5877079,84270,.
BE-Wind Onshore,2025,1569099,31251,.
BE-Wind Onshore,2035,1344692,28261,.
BE-Wind Onshore,2045,1188169,26256,.
BE-Wind Onshore_EP,2022,1569099,31251,.
BG-Battery,2025,0,38777,427850.75
BG-Battery,2035,0,29997,336849
BG-Battery,2045,0,24986,284904.75
BG-Battery_EP,2022,0,38777,427850.75
BG-Hydro Pumped Storage_EP,2025,0,20150,244774.5806
BG-Hydro Pumped Storage_EP,2035,0,20150,244774.5806
BG-Hydro Pumped Storage_EP,2045,0,20150,244774.5806
BG-Hydro Pumped Storage_EP,2022,0,20150,244774.5806
BG-Hydro Run of river and poundage_EP,2025,3241336,92000,.
BG-Hydro Run of river and poundage_EP,2035,3241336,92000,.
BG-Hydro Run of river and poundage_EP,2045,3111470,88000,.
BG-Hydro Run of river and poundage_EP,2022,3241336,92000,.
BG-Hydro Water Reservoir_EP,2025,3241336,92000,.
BG-Hydro Water Reservoir_EP,2035,3241336,92000,.
BG-Hydro Water Reservoir_EP,2045,3111470,88000,.
BG-Hydro Water Reservoir_EP,2022,3241336,92000,.
BG-Solar,2025,1491641,21001,.
BG-Solar,2035,895321,15022,.
BG-Solar,2045,753705,13510,.
BG-Solar_EP,2022,1491641,21001,.
BG-Wind Onshore,2025,1569099,31251,.
BG-Wind Onshore,2035,1344692,28261,.
BG-Wind Onshore,2045,1188169,26256,.
BG-Wind Onshore_EP,2022,1569099,31251,.
CZ-Battery,2025,0,38777,427850.75
CZ-Battery,2035,0,29997,336849
CZ-Battery,2045,0,24986,284904.75
CZ-Battery_EP,2022,0,38777,427850.75
CZ-Hydro Pumped Storage_EP,2025,0,20150,244774.5806
CZ-Hydro Pumped Storage_EP,2035,0,20150,244774.5806
CZ-Hydro Pumped Storage_EP,2045,0,20150,244774.5806
CZ-Hydro Pumped Storage_EP,2022,0,20150,244774.5806
CZ-Hydro Run of river and poundage_EP,2025,3241336,92000,.
CZ-Hydro Run of river and poundage_EP,2035,3241336,92000,.
CZ-Hydro Run of river and poundage_EP,2045,3111470,88000,.
CZ-Hydro Run of river and poundage_EP,2022,3241336,92000,.
CZ-Hydro Water Reservoir_EP,2025,3241336,92000,.
CZ-Hydro Water Reservoir_EP,2035,3241336,92000,.
CZ-Hydro Water Reservoir_EP,2045,3111470,88000,.
CZ-Hydro Water Reservoir_EP,2022,3241336,92000,.
CZ-Solar,2025,1491641,21001,.
CZ-Solar,2035,895321,15022,.
CZ-Solar,2045,753705,13510,.
CZ-Solar_EP,2022,1491641,21001,.
CZ-Wind Onshore,2025,1569099,31251,.
CZ-Wind Onshore,2035,1344692,28261,.
CZ-Wind Onshore,2045,1188169,26256,.
CZ-Wind Onshore_EP,2022,1569099,31251,.
DE-Battery,2025,0,38777,427850.75
DE-Battery,2035,0,29997,336849
DE-Battery,2045,0,24986,284904.75
DE-Battery_EP,2022,0,38777,427850.75
DE-Hydro Pumped Storage_EP,2025,0,20150,244774.5806
DE-Hydro Pumped Storage_EP,2035,0,20150,244774.5806
DE-Hydro Pumped Storage_EP,2045,0,20150,244774.5806
DE-Hydro Pumped Storage_EP,2022,0,20150,244774.5806
DE-Hydro Run of river and poundage_EP,2025,3241336,92000,.
DE-Hydro Run of river and poundage_EP,2035,3241336,92000,.
DE-Hydro Run of river and poundage_EP,2045,3111470,88000,.
DE-Hydro Run of river and poundage_EP,2022,3241336,92000,.
DE-Hydro Water Reservoir_EP,2025,3241336,92000,.
DE-Hydro Water Reservoir_EP,2035,3241336,92000,.
DE-Hydro Water Reservoir_EP,2045,3111470,88000,.
DE-Hydro Water Reservoir_EP,2022,3241336,92000,.
DE-Solar,2025,1491641,21001,.
DE-Solar,2035,895321,15022,.
DE-Solar,2045,753705,13510,.
DE-Solar_EP,2022,1491641,21001,.
DE-Wind Offshore,2025,5877079,84270,.
DE-Wind Offshore,2035,3435322,74181,.
DE-Wind Offshore,2045,3208853,68141,.
DE-Wind Offshore_EP,2022,5877079,84270,.
DE-Wind Onshore,2025,1569099,31251,.
DE-Wind Onshore,2035,1344692,28261,.
DE-Wind Onshore,2045,1188169,26256,.
DE-Wind Onshore_EP,2022,1569099,31251,.
DK-Battery,2025,0,38777,427850.75
DK-Battery,2035,0,29997,336849
DK-Battery,2045,0,24986,284904.75
DK-Battery_EP,2022,0,38777,427850.75
DK-Hydro Run of river and poundage_EP,2025,3241336,92000,.
DK-Hydro Run of river and poundage_EP,2035,3241336,92000,.
DK-Hydro Run of river and poundage_EP,2045,3111470,88000,.
DK-Hydro Run of river and poundage_EP,2022,3241336,92000,.
DK-Solar,2025,1491641,21001,.
DK-Solar,2035,895321,15022,.
DK-Solar,2045,753705,13510,.
DK-Solar_EP,2022,1491641,21001,.
DK-Wind Offshore,2025,5877079,84270,.
DK-Wind Offshore,2035,3435322,74181,.
DK-Wind Offshore,2045,3208853,68141,.
DK-Wind Offshore_EP,2022,5877079,84270,.
DK-Wind Onshore,2025,1569099,31251,.
DK-Wind Onshore,2035,1344692,28261,.
DK-Wind Onshore,2045,1188169,26256,.
DK-Wind Onshore_EP,2022,1569099,31251,.
EE-Battery,2025,0,38777,427850.75
EE-Battery,2035,0,29997,336849
EE-Battery,2045,0,24986,284904.75
EE-Battery_EP,2022,0,38777,427850.75
EE-Hydro Run of river and poundage_EP,2025,3241336,92000,.
EE-Hydro Run of river and poundage_EP,2035,3241336,92000,.
EE-Hydro Run of river and poundage_EP,2045,3111470,88000,.
EE-Hydro Run of river and poundage_EP,2022,3241336,92000,.
EE-Solar,2025,1491641,21001,.
EE-Solar,2035,895321,15022,.
EE-Solar,2045,753705,13510,.
EE-Solar_EP,2022,1491641,21001,.
EE-Wind Onshore,2025,1569099,31251,.
EE-Wind Onshore,2035,1344692,28261,.
EE-Wind Onshore,2045,1188169,26256,.
EE-Wind Onshore_EP,2022,1569099,31251,.
ES-Battery,2025,0,38777,427850.75
ES-Battery,2035,0,29997,336849
ES-Battery,2045,0,24986,284904.75
ES-Battery_EP,2022,0,38777,427850.75
ES-Hydro Pumped Storage_EP,2025,0,20150,244774.5806
ES-Hydro Pumped Storage_EP,2035,0,20150,244774.5806
ES-Hydro Pumped Storage_EP,2045,0,20150,244774.5806
ES-Hydro Pumped Storage_EP,2022,0,20150,244774.5806
ES-Hydro Run of river and poundage_EP,2025,3241336,92000,.
ES-Hydro Run of river and poundage_EP,2035,3241336,92000,.
ES-Hydro Run of river and poundage_EP,2045,3111470,88000,.
ES-Hydro Run of river and poundage_EP,2022,3241336,92000,.
ES-Hydro Water Reservoir_EP,2025,3241336,92000,.
ES-Hydro Water Reservoir_EP,2035,3241336,92000,.
ES-Hydro Water Reservoir_EP,2045,3111470,88000,.
ES-Hydro Water Reservoir_EP,2022,3241336,92000,.
ES-Solar,2025,1491641,21001,.
ES-Solar,2035,895321,15022,.
ES-Solar,2045,753705,13510,.
ES-Solar_EP,2022,1491641,21001,.
ES-Wind Onshore,2025,1569099,31251,.
ES-Wind Onshore,2035,1344692,28261,.
ES-Wind Onshore,2045,1188169,26256,.
ES-Wind Onshore_EP,2022,1569099,31251,.
FR-Battery,2025,0,38777,427850.75
FR-Battery,2035,0,29997,336849
FR-Battery,2045,0,24986,284904.75
FR-Battery_EP,2022,0,38777,427850.75
FR-Hydro Pumped Storage_EP,2025,0,20150,244774.5806
FR-Hydro Pumped Storage_EP,2035,0,20150,244774.5806
FR-Hydro Pumped Storage_EP,2045,0,20150,244774.5806
FR-Hydro Pumped Storage_EP,2022,0,20150,244774.5806
FR-Hydro Run of river and poundage_EP,2025,3241336,92000,.
FR-Hydro Run of river and poundage_EP,2035,3241336,92000,.
FR-Hydro Run of river and poundage_EP,2045,3111470,88000,.
FR-Hydro Run of river and poundage_EP,2022,3241336,92000,.
FR-Hydro Water Reservoir_EP,2025,3241336,92000,.
FR-Hydro Water Reservoir_EP,2035,3241336,92000,.
FR-Hydro Water Reservoir_EP,2045,3111470,88000,.
FR-Hydro Water Reservoir_EP,2022,3241336,92000,.
FR-Solar,2025,1491641,21001,.
FR-Solar,2035,895321,15022,.
FR-Solar,2045,753705,13510,.
FR-Solar_EP,2022,1491641,21001,.
FR-Wind Offshore,2025,5877079,84270,.
FR-Wind Offshore,2035,3435322,74181,.
FR-Wind Offshore,2045,3208853,68141,.
FR-Wind Offshore_EP,2022,5877079,84270,.
FR-Wind Onshore,2025,1569099,31251,.
FR-Wind Onshore,2035,1344692,28261,.
FR-Wind Onshore,2045,1188169,26256,.
FR-Wind Onshore_EP,2022,1569099,31251,.
GB-Battery,2025,0,38777,427850.75
GB-Battery,2035,0,29997,336849
GB-Battery,2045,0,24986,284904.75
GB-Battery_EP,2022,0,38777,427850.75
GB-Hydro Pumped Storage_EP,2025,0,20150,244774.5806
GB-Hydro Pumped Storage_EP,2035,0,20150,244774.5806
GB-Hydro Pumped Storage_EP,2045,0,20150,244774.5806
GB-Hydro Pumped Storage_EP,2022,0,20150,244774.5806
GB-Hydro Water Reservoir_EP,2025,3241336,92000,.
GB-Hydro Water Reservoir_EP,2035,3241336,92000,.
GB-Hydro Water Reservoir_EP,2045,3111470,88000,.
GB-Hydro Water Reservoir_EP,2022,3241336,92000,.
GB-Solar,2025,1491641,21001,.
GB-Solar,2035,895321,15022,.
GB-Solar,2045,753705,13510,.
GB-Solar_EP,2022,1491641,21001,.
