regional_fuel_market,period,tier,unit_cost,max_avail_at_cost
IN_coal,2025,0,0.36,1365511942
IN_coal,2025,1,1.08,1365511942
IN_coal,2025,2,1.8,1365511942
IN_coal,2025,3,2.52,1365511942
IN_coal,2025,4,3.24,1365511942
IN_coal,2025,5,3.96,1365511942
IN_coal,2025,6,4.68,1365511942
IN_coal,2025,7,5.4,1365511942
IN_coal,2025,8,6.12,1365511942
IN_coal,2025,9,6.84,1365511942
IN_coal,2025,10,7.56,704865093
IN_gas,2025,0,0.765,56164790
IN_gas,2025,1,2.295,56164790
IN_gas,2025,2,3.825,56164790
IN_gas,2025,3,5.355,56164790
IN_gas,2025,4,6.885,56164790
IN_gas,2025,5,8.415,56164790
IN_gas,2025,6,9.945,56164790
IN_gas,2025,7,11.475,56164790
IN_gas,2025,8,13.005,56164790
IN_gas,2025,9,14.535,56164790
IN_gas,2025,10,16.065,24419474
IN_uranium,2025,0,0.098,132349673
IN_uranium,2025,1,0.293999999,132349673
IN_uranium,2025,2,0.489999998,132349673
IN_uranium,2025,3,0.685999997,132349673
IN_uranium,2025,4,0.881999996,132349673
IN_uranium,2025,5,1.077999995,132349673
IN_uranium,2025,6,1.273999994,132349673
IN_uranium,2025,7,1.469999993,132349673
IN_uranium,2025,8,1.665999992,132349673
IN_uranium,2025,9,1.861999991,132349673
IN_coal,2035,0,0.314,926207259
IN_coal,2035,1,0.942,926207259
IN_coal,2035,2,1.57,926207259
IN_coal,2035,3,2.198,926207259
IN_coal,2035,4,2.826,926207259
IN_coal,2035,5,3.454,926207259
IN_coal,2035,6,4.082,926207259
IN_coal,2035,7,4.71,926207259
IN_coal,2035,8,5.338,926207259
IN_coal,2035,9,5.966,926207259
IN_coal,2035,10,6.594,926207259
IN_coal,2035,11,7.222,853162522
IN_gas,2035,0,0.871,76455046
IN_gas,2035,1,2.613,76455046
IN_gas,2035,2,4.355,76455046
IN_gas,2035,3,6.097,76455046
IN_gas,2035,4,7.839,76455046
IN_gas,2035,5,9.581,76455046
IN_gas,2035,6,11.323,76455046
IN_gas,2035,7,13.065,76455046
IN_gas,2035,8,14.807,76455046
IN_gas,2035,9,16.549,76455046
IN_gas,2035,10,18.291,76455046
IN_gas,2035,11,20.033,76455046
IN_gas,2035,12,21.775,20851376
IN_uranium,2035,0,0.113999999,257806133
IN_uranium,2035,1,0.341999996,257806133
IN_uranium,2035,2,0.569999993,257806133
IN_uranium,2035,3,0.79799999,257806133
IN_uranium,2035,4,1.025999987,257806133
IN_uranium,2035,5,1.253999985,257806133
IN_uranium,2035,6,1.481999982,257806133
IN_uranium,2035,7,1.709999979,257806133
IN_uranium,2035,8,1.937999976,257806133
IN_uranium,2035,9,2.165999973,257806133
IN_uranium,2035,10,2.393999969,31019455
IN_coal,2045,0,0.292,601433591
IN_coal,2045,1,0.876,601433591
IN_coal,2045,2,1.46,601433591
IN_coal,2045,3,2.044,601433591
IN_coal,2045,4,2.628,601433591
IN_coal,2045,5,3.212,601433591
IN_coal,2045,6,3.796,601433591
IN_coal,2045,7,4.38,601433591
IN_coal,2045,8,4.964,601433591
IN_coal,2045,9,5.548,601433591
IN_coal,2045,10,6.132,601433591
IN_coal,2045,11,6.716,601433591
IN_coal,2045,12,7.3,388645683
IN_gas,2045,0,0.904,69600588
IN_gas,2045,1,2.712,69600588
IN_gas,2045,2,4.52,69600588
IN_gas,2045,3,6.328,69600588
IN_gas,2045,4,8.136,69600588
IN_gas,2045,5,9.944,69600588
IN_gas,2045,6,11.752,69600588
IN_gas,2045,7,13.56,69600588
IN_gas,2045,8,15.368,69600588
IN_gas,2045,9,17.176,69600588
IN_gas,2045,10,18.984,69600588
IN_gas,2045,11,20.792,69600588
IN_gas,2045,12,22.6,69600588
IN_gas,2045,13,24.408,69600588
IN_gas,2045,14,26.216,69600588
IN_gas,2045,15,28.024,43086078
IN_uranium,2045,0,0.13,352587800
IN_uranium,2045,1,0.39,352587800
IN_uranium,2045,2,0.65,352587800
IN_uranium,2045,3,0.91,352587800
IN_uranium,2045,4,1.17,352587800
IN_uranium,2045,5,1.43,352587800
IN_uranium,2045,6,1.69,352587800
IN_uranium,2045,7,1.95,352587800
IN_uranium,2045,8,2.21,352587800
IN_uranium,2045,9,2.47,352587800
IN_uranium,2045,10,2.73,41359273
