GENERATION_PROJECT,build_year,build_gen_predetermined,gen_can_retire_early
NR-Chandigarh-PV_EP,2022,24,1
NR-Chandigarh-Onshore_EP,2022,0,1
NR-Delhi-PV_EP,2022,28,1
NR-Delhi-Onshore_EP,2022,0,1
NR-Haryana-PV_EP,2022,92,1
NR-Haryana-Onshore_EP,2022,0,1
NR-HimachalPradesh-PV_EP,2022,0,1
NR-HimachalPradesh-Onshore_EP,2022,0,1
NR-JammuandKashmir-PV_EP,2022,0,1
NR-JammuandKashmir-Onshore_EP,2022,0,1
NR-Punjab-PV_EP,2022,210,1
NR-Punjab-Onshore_EP,2022,0,1
NR-Rajasthan-PV_EP,2022,1953,1
NR-Rajasthan-Onshore_EP,2022,3728,1
NR-Uttarakhand-PV_EP,2022,0,1
NR-Uttarakhand-Onshore_EP,2022,0,1
NR-UttarPradesh-PV_EP,2022,0,1
NR-UttarPradesh-Onshore_EP,2022,0,1
WR-Chhatisgarh-PV_EP,2022,16,1
WR-Chhatisgarh-Onshore_EP,2022,0,1
WR-Goa-PV_EP,2022,0,1
WR-Goa-Onshore_EP,2022,0,1
WR-Gujarat-PV_EP,2022,1048,1
WR-Gujarat-Onshore_EP,2022,3639,1
WR-MadhyaPradesh-PV_EP,2022,596,1
WR-MadhyaPradesh-Onshore_EP,2022,881,1
WR-Maharashtra-PV_EP,2022,594,1
WR-Maharashtra-Onshore_EP,2022,4442,1
SR-AndhraPradeshandTelangana-PV_EP,2022,344,1
SR-AndhraPradeshandTelangana-Onshore_EP,2022,1037,1
SR-Karnataka-PV_EP,2022,80,1
SR-Karnataka-Onshore_EP,2022,2859,1
SR-Kerala-PV_EP,2022,0,1
SR-Kerala-Onshore_EP,2022,0,1
SR-Puducherry-PV_EP,2022,0,1
SR-Puducherry-Onshore_EP,2022,0,1
SR-Tamilnadu-PV_EP,2022,160,1
SR-Tamilnadu-Onshore_EP,2022,5790,1
ER-Bihar-PV_EP,2022,0,1
ER-Bihar-Onshore_EP,2022,0,1
ER-Jharkhand-PV_EP,2022,28,1
ER-Jharkhand-Onshore_EP,2022,0,1
ER-Odisha-PV_EP,2022,41,1
ER-Odisha-Onshore_EP,2022,0,1
ER-Sikkim-PV_EP,2022,0,1
ER-Sikkim-Onshore_EP,2022,0,1
ER-WestBengal-PV_EP,2022,28,1
ER-WestBengal-Onshore_EP,2022,0,1
NER-ArunachalPradesh-PV_EP,2022,0,1
NER-ArunachalPradesh-Onshore_EP,2022,0,1
NER-Assam-PV_EP,2022,0,1
NER-Assam-Onshore_EP,2022,0,1
NER-Manipur-PV_EP,2022,0,1
NER-Manipur-Onshore_EP,2022,0,1
NER-Meghalaya-PV_EP,2022,0,1
NER-Meghalaya-Onshore_EP,2022,0,1
NER-Mizoram-PV_EP,2022,0,1
NER-Mizoram-Onshore_EP,2022,0,1
NER-Nagaland-PV_EP,2022,0,1
NER-Nagaland-Onshore_EP,2022,0,1
NER-Tripura-PV_EP,2022,41,1
NER-Tripura-Onshore_EP,2022,0,1
NR-Chandigarh-Coal-SUBCRITICAL_EP,2022,3666.666667,1
NR-Chandigarh-Coal-SUPERCRITICAL_EP,2022,1555.555556,1
NR-Chandigarh-Coal-ULTRASUPERCRITICAL_EP,2022,0,1
NR-Chandigarh-Coal-IGCC_EP,2022,0,1
NR-Chandigarh-Gas-CCGT_EP,2022,633.3333333,1
NR-Chandigarh-Gas-turbine_EP,2022,0,1
NR-Chandigarh-Nuclear_EP,2022,188.8888889,1
NR-Delhi-Coal-SUBCRITICAL_EP,2022,3666.666667,1
NR-Delhi-Coal-SUPERCRITICAL_EP,2022,1555.555556,1
NR-Delhi-Coal-ULTRASUPERCRITICAL_EP,2022,0,1
NR-Delhi-Coal-IGCC_EP,2022,0,1
NR-Delhi-Gas-CCGT_EP,2022,633.3333333,1
NR-Delhi-Gas-turbine_EP,2022,0,1
NR-Delhi-Nuclear_EP,2022,188.8888889,1
NR-Haryana-Coal-SUBCRITICAL_EP,2022,3666.666667,1
NR-Haryana-Coal-SUPERCRITICAL_EP,2022,1555.555556,1
NR-Haryana-Coal-ULTRASUPERCRITICAL_EP,2022,0,1
NR-Haryana-Coal-IGCC_EP,2022,0,1
NR-Haryana-Gas-CCGT_EP,2022,633.3333333,1
NR-Haryana-Gas-turbine_EP,2022,0,1
NR-Haryana-Nuclear_EP,2022,188.8888889,1
NR-HimachalPradesh-Coal-SUBCRITICAL_EP,2022,3666.666667,1
NR-HimachalPradesh-Coal-SUPERCRITICAL_EP,2022,1555.555556,1
NR-HimachalPradesh-Coal-ULTRASUPERCRITICAL_EP,2022,0,1
NR-HimachalPradesh-Coal-IGCC_EP,2022,0,1
NR-HimachalPradesh-Gas-CCGT_EP,2022,633.3333333,1
NR-HimachalPradesh-Gas-turbine_EP,2022,0,1
NR-HimachalPradesh-Nuclear_EP,2022,188.8888889,1
NR-JammuandKashmir-Coal-SUBCRITICAL_EP,2022,3666.666667,1
NR-JammuandKashmir-Coal-SUPERCRITICAL_EP,2022,1555.555556,1
NR-JammuandKashmir-Coal-ULTRASUPERCRITICAL_EP,2022,0,1
