hydro_project,timeseries,hydro_min_flow_mw,hydro_avg_flow_mw
NR-Chandigarh-Run-of-River_EP,2030.01.28,0,384
NR-Chandigarh-RoR-with Pondage_EP,2030.01.28,0,384
NR-Chandigarh-Storage_EP,2030.01.28,0,439
NR-Delhi-Run-of-River_EP,2030.01.28,0,384
NR-Delhi-RoR-with Pondage_EP,2030.01.28,0,384
NR-Delhi-Storage_EP,2030.01.28,0,439
NR-Haryana-Run-of-River_EP,2030.01.28,0,384
NR-Haryana-RoR-with Pondage_EP,2030.01.28,0,384
NR-Haryana-Storage_EP,2030.01.28,0,439
NR-HimachalPradesh-Run-of-River_EP,2030.01.28,0,384
NR-HimachalPradesh-RoR-with Pondage_EP,2030.01.28,0,384
NR-HimachalPradesh-Storage_EP,2030.01.28,0,439
NR-JammuandKashmir-Run-of-River_EP,2030.01.28,0,384
NR-JammuandKashmir-RoR-with Pondage_EP,2030.01.28,0,384
NR-JammuandKashmir-Storage_EP,2030.01.28,0,439
NR-Punjab-Run-of-River_EP,2030.01.28,0,384
NR-Punjab-RoR-with Pondage_EP,2030.01.28,0,384
NR-Punjab-Storage_EP,2030.01.28,0,439
NR-Rajasthan-Run-of-River_EP,2030.01.28,0,384
NR-Rajasthan-RoR-with Pondage_EP,2030.01.28,0,384
NR-Rajasthan-Storage_EP,2030.01.28,0,439
NR-Uttarakhand-Run-of-River_EP,2030.01.28,0,384
NR-Uttarakhand-RoR-with Pondage_EP,2030.01.28,0,384
NR-Uttarakhand-Storage_EP,2030.01.28,0,439
NR-UttarPradesh-Run-of-River_EP,2030.01.28,0,384
NR-UttarPradesh-RoR-with Pondage_EP,2030.01.28,0,384
NR-UttarPradesh-Storage_EP,2030.01.28,0,439
WR-Chhatisgarh-Run-of-River_EP,2030.01.28,0,47
WR-Chhatisgarh-RoR-with Pondage_EP,2030.01.28,0,140
WR-Chhatisgarh-Storage_EP,2030.01.28,0,906
WR-Goa-Run-of-River_EP,2030.01.28,0,47
WR-Goa-RoR-with Pondage_EP,2030.01.28,0,140
WR-Goa-Storage_EP,2030.01.28,0,906
WR-Gujarat-Run-of-River_EP,2030.01.28,0,47
WR-Gujarat-RoR-with Pondage_EP,2030.01.28,0,140
WR-Gujarat-Storage_EP,2030.01.28,0,906
WR-MadhyaPradesh-Run-of-River_EP,2030.01.28,0,47
WR-MadhyaPradesh-RoR-with Pondage_EP,2030.01.28,0,140
WR-MadhyaPradesh-Storage_EP,2030.01.28,0,906
WR-Maharashtra-Run-of-River_EP,2030.01.28,0,47
WR-Maharashtra-RoR-with Pondage_EP,2030.01.28,0,140
WR-Maharashtra-Storage_EP,2030.01.28,0,906
SR-AndhraPradeshandTelangana-Run-of-River_EP,2030.01.28,0,169
SR-AndhraPradeshandTelangana-RoR-with Pondage_EP,2030.01.28,0,99
SR-AndhraPradeshandTelangana-Storage_EP,2030.01.28,0,1328
SR-Karnataka-Run-of-River_EP,2030.01.28,0,169
SR-Karnataka-RoR-with Pondage_EP,2030.01.28,0,99
SR-Karnataka-Storage_EP,2030.01.28,0,1328
SR-Kerala-Run-of-River_EP,2030.01.28,0,169
SR-Kerala-RoR-with Pondage_EP,2030.01.28,0,99
SR-Kerala-Storage_EP,2030.01.28,0,1328
SR-Puducherry-Run-of-River_EP,2030.01.28,0,169
SR-Puducherry-RoR-with Pondage_EP,2030.01.28,0,99
SR-Puducherry-Storage_EP,2030.01.28,0,1328
SR-Tamilnadu-Run-of-River_EP,2030.01.28,0,169
SR-Tamilnadu-RoR-with Pondage_EP,2030.01.28,0,99
SR-Tamilnadu-Storage_EP,2030.01.28,0,1328
ER-Bihar-Run-of-River_EP,2030.01.28,0,6
ER-Bihar-RoR-with Pondage_EP,2030.01.28,0,204
ER-Bihar-Storage_EP,2030.01.28,0,124
ER-Jharkhand-Run-of-River_EP,2030.01.28,0,18
ER-Jharkhand-RoR-with Pondage_EP,2030.01.28,0,6
ER-Jharkhand-Storage_EP,2030.01.28,0,204
ER-Odisha-Run-of-River_EP,2030.01.28,0,78
ER-Odisha-RoR-with Pondage_EP,2030.01.28,0,18
ER-Odisha-Storage_EP,2030.01.28,0,6
ER-Sikkim-Run-of-River_EP,2030.01.28,0,124
ER-Sikkim-RoR-with Pondage_EP,2030.01.28,0,78
ER-Sikkim-Storage_EP,2030.01.28,0,18
ER-WestBengal-Run-of-River_EP,2030.01.28,0,204
ER-WestBengal-RoR-with Pondage_EP,2030.01.28,0,124
ER-WestBengal-Storage_EP,2030.01.28,0,78
NER-ArunachalPradesh-Run-of-River_EP,2030.01.28,0,13
NER-ArunachalPradesh-RoR-with Pondage_EP,2030.01.28,0,36
NER-ArunachalPradesh-Storage_EP,2030.01.28,0,33
NER-Assam-Run-of-River_EP,2030.01.28,0,13
NER-Assam-RoR-with Pondage_EP,2030.01.28,0,36
NER-Assam-Storage_EP,2030.01.28,0,33
NER-Manipur-Run-of-River_EP,2030.01.28,0,13
NER-Manipur-RoR-with Pondage_EP,2030.01.28,0,36
