load_zone,TIMEPOINT,zone_demand_mw
NER,2030.01.28.00.00,3699
NER,2030.01.28.01.00,3431
NER,2030.01.28.02.00,3328
NER,2030.01.28.03.00,3284
NER,2030.01.28.04.00,3310
NER,2030.01.28.05.00,3447
NER,2030.01.28.06.00,3787
NER,2030.01.28.07.00,4198
NER,2030.01.28.08.00,4279
NER,2030.01.28.09.00,4130
NER,2030.01.28.10.00,3864
NER,2030.01.28.11.00,3705
NER,2030.01.28.12.00,3644
NER,2030.01.28.13.00,3579
NER,2030.01.28.14.00,3538
NER,2030.01.28.15.00,3593
NER,2030.01.28.16.00,3735
NER,2030.01.28.17.00,4598
NER,2030.01.28.18.00,5309
NER,2030.01.28.19.00,5296
NER,2030.01.28.20.00,5280
NER,2030.01.28.21.00,5016
NER,2030.01.28.22.00,4500
NER,2030.01.28.23.00,4036
NER,2030.04.15.00.00,3128
NER,2030.04.15.01.00,2960
NER,2030.04.15.02.00,2844
NER,2030.04.15.03.00,2766
NER,2030.04.15.04.00,2730
NER,2030.04.15.05.00,2832
NER,2030.04.15.06.00,3079
NER,2030.04.15.07.00,3245
NER,2030.04.15.08.00,3208
NER,2030.04.15.09.00,3147
NER,2030.04.15.10.00,3086
NER,2030.04.15.11.00,3078
NER,2030.04.15.12.00,3090
NER,2030.04.15.13.00,3123
NER,2030.04.15.14.00,3155
NER,2030.04.15.15.00,3188
NER,2030.04.15.16.00,3263
NER,2030.04.15.17.00,3408
NER,2030.04.15.18.00,4217
NER,2030.04.15.19.00,4547
NER,2030.04.15.20.00,4553
NER,2030.04.15.21.00,4355
NER,2030.04.15.22.00,3952
NER,2030.04.15.23.00,3474
NR,2030.01.28.00.00,79627
NR,2030.01.28.01.00,77536
NR,2030.01.28.02.00,75380
NR,2030.01.28.03.00,74227
NR,2030.01.28.04.00,74159
NR,2030.01.28.05.00,76223
NR,2030.01.28.06.00,83070
NR,2030.01.28.07.00,90492
NR,2030.01.28.08.00,92513
NR,2030.01.28.09.00,93288
NR,2030.01.28.10.00,93655
NR,2030.01.28.11.00,92439
NR,2030.01.28.12.00,91072
NR,2030.01.28.13.00,90300
NR,2030.01.28.14.00,88890
NR,2030.01.28.15.00,86901
NR,2030.01.28.16.00,86324
NR,2030.01.28.17.00,87446
NR,2030.01.28.18.00,92577
NR,2030.01.28.19.00,96965
NR,2030.01.28.20.00,91703
NR,2030.01.28.21.00,86190
NR,2030.01.28.22.00,80825
NR,2030.01.28.23.00,82410
NR,2030.04.15.00.00,77128
NR,2030.04.15.01.00,75841
NR,2030.04.15.02.00,74341
NR,2030.04.15.03.00,72706
NR,2030.04.15.04.00,72177
NR,2030.04.15.05.00,73931
NR,2030.04.15.06.00,78200
NR,2030.04.15.07.00,78745
NR,2030.04.15.08.00,77092
NR,2030.04.15.09.00,75681
NR,2030.04.15.10.00,75656
NR,2030.04.15.11.00,74970
NR,2030.04.15.12.00,75240
NR,2030.04.15.13.00,74358
NR,2030.04.15.14.00,73179
NR,2030.04.15.15.00,74137
NR,2030.04.15.16.00,72698
NR,2030.04.15.17.00,73072
NR,2030.04.15.18.00,73033
NR,2030.04.15.19.00,77551
NR,2030.04.15.20.00,85520
NR,2030.04.15.21.00,84337
NR,2030.04.15.22.00,80906
NR,2030.04.15.23.00,79922
SR,2030.01.28.00.00,68043
SR,2030.01.28.01.00,68981
SR,2030.01.28.02.00,68008
SR,2030.01.28.03.00,67344
SR,2030.01.28.04.00,67876
SR,2030.01.28.05.00,70424
SR,2030.01.28.06.00,74639
SR,2030.01.28.07.00,80824
SR,2030.01.28.08.00,85143
SR,2030.01.28.09.00,84238
SR,2030.01.28.10.00,82703
SR,2030.01.28.11.00,81360
SR,2030.01.28.12.00,80562
SR,2030.01.28.13.00,79517
SR,2030.01.28.14.00,77137
SR,2030.01.28.15.00,77221
SR,2030.01.28.16.00,76880
SR,2030.01.28.17.00,76980
SR,2030.01.28.18.00,76534
SR,2030.01.28.19.00,82183
SR,2030.01.28.20.00,79883
SR,2030.01.28.21.00,77663
SR,2030.01.28.22.00,76058
SR,2030.01.28.23.00,72869
SR,2030.04.15.00.00,77273
SR,2030.04.15.01.00,76939
SR,2030.04.15.02.00,75612
SR,2030.04.15.03.00,74621
SR,2030.04.15.04.00,74138
SR,2030.04.15.05.00,74890
SR,2030.04.15.06.00,76784
SR,2030.04.15.07.00,77610
SR,2030.04.15.08.00,78865
SR,2030.04.15.09.00,79099
SR,2030.04.15.10.00,79472
SR,2030.04.15.11.00,80207
SR,2030.04.15.12.00,80973
SR,2030.04.15.13.00,81484
SR,2030.04.15.14.00,80169
SR,2030.04.15.15.00,80281
SR,2030.04.15.16.00,78998
SR,2030.04.15.17.00,77396
SR,2030.04.15.18.00,74312
SR,2030.04.15.19.00,78633
SR,2030.04.15.20.00,82313
SR,2030.04.15.21.00,81232
SR,2030.04.15.22.00,80962
SR,2030.04.15.23.00,81805
WR,2030.01.28.00.00,85276
WR,2030.01.28.01.00,84216
WR,2030.01.28.02.00,83361
WR,2030.01.28.03.00,82835
WR,2030.01.28.04.00,82633
WR,2030.01.28.05.00,83939
WR,2030.01.28.06.00,89186
WR,2030.01.28.07.00,97364
WR,2030.01.28.08.00,103757
WR,2030.01.28.09.00,106086
WR,2030.01.28.10.00,107176
WR,2030.01.28.11.00,107440
WR,2030.01.28.12.00,104768
WR,2030.01.28.13.00,102414
WR,2030.01.28.14.00,100221
WR,2030.01.28.15.00,100276
WR,2030.01.28.16.00,100522
WR,2030.01.28.17.00,99731
WR,2030.01.28.18.00,96972
WR,2030.01.28.19.00,99480
WR,2030.01.28.20.00,96397
WR,2030.01.28.21.00,92736
WR,2030.01.28.22.00,88342
WR,2030.01.28.23.00,87423
WR,2030.04.15.00.00,95786
WR,2030.04.15.01.00,94076
WR,2030.04.15.02.00,92667
WR,2030.04.15.03.00,91393
WR,2030.04.15.04.00,90329
WR,2030.04.15.05.00,90250
WR,2030.04.15.06.00,92107
WR,2030.04.15.07.00,92803
WR,2030.04.15.08.00,93316
WR,2030.04.15.09.00,94832
WR,2030.04.15.10.00,97469
WR,2030.04.15.11.00,100321
WR,2030.04.15.12.00,100418
WR,2030.04.15.13.00,99242
WR,2030.04.15.14.00,97764
WR,2030.04.15.15.00,99410
WR,2030.04.15.16.00,99855
WR,2030.04.15.17.00,97163
WR,2030.04.15.18.00,92400
WR,2030.04.15.19.00,92631
WR,2030.04.15.20.00,97571
WR,2030.04.15.21.00,96008
WR,2030.04.15.22.00,95178
WR,2030.04.15.23.00,96764
ER,2030.01.28.00.00,32968
ER,2030.01.28.01.00,32318
ER,2030.01.28.02.00,31822
ER,2030.01.28.03.00,31714
ER,2030.01.28.04.00,31938
ER,2030.01.28.05.00,32398
ER,2030.01.28.06.00,33608
ER,2030.01.28.07.00,34127
ER,2030.01.28.08.00,33860
ER,2030.01.28.09.00,33639
ER,2030.01.28.10.00,32884
ER,2030.01.28.11.00,32291
ER,2030.01.28.12.00,32004
ER,2030.01.28.13.00,31151
ER,2030.01.28.14.00,29858
ER,2030.01.28.15.00,29788
ER,2030.01.28.16.00,30415
ER,2030.01.28.17.00,32731
ER,2030.01.28.18.00,38772
ER,2030.01.28.19.00,40259
ER,2030.01.28.20.00,40087
ER,2030.01.28.21.00,38790
ER,2030.01.28.22.00,36447
ER,2030.01.28.23.00,34198
ER,2030.04.15.00.00,34385
