GENERATION_PROJECT,timepoint,gen_max_capacity_factor
ER-Bihar-PV,2030.01.28.00.00,0
ER-Bihar-PV,2030.01.28.01.00,0
ER-Bihar-PV,2030.01.28.02.00,0
ER-Bihar-PV,2030.01.28.03.00,0
ER-Bihar-PV,2030.01.28.04.00,0
ER-Bihar-PV,2030.01.28.05.00,0
ER-Bihar-PV,2030.01.28.06.00,0.0285
ER-Bihar-PV,2030.01.28.07.00,0.167
ER-Bihar-PV,2030.01.28.08.00,0.385
ER-Bihar-PV,2030.01.28.09.00,0.5655
ER-Bihar-PV,2030.01.28.10.00,0.675
ER-Bihar-PV,2030.01.28.11.00,0.7095
ER-Bihar-PV,2030.01.28.12.00,0.68
ER-Bihar-PV,2030.01.28.13.00,0.595
ER-Bihar-PV,2030.01.28.14.00,0.4475
ER-Bihar-PV,2030.01.28.15.00,0.251
ER-Bihar-PV,2030.01.28.16.00,0.074
ER-Bihar-PV,2030.01.28.17.00,0.002
ER-Bihar-PV,2030.01.28.18.00,0
ER-Bihar-PV,2030.01.28.19.00,0
ER-Bihar-PV,2030.01.28.20.00,0
ER-Bihar-PV,2030.01.28.21.00,0
ER-Bihar-PV,2030.01.28.22.00,0
ER-Bihar-PV,2030.01.28.23.00,0
ER-Bihar-PV,2030.04.15.00.00,0
ER-Bihar-PV,2030.04.15.01.00,0
ER-Bihar-PV,2030.04.15.02.00,0
ER-Bihar-PV,2030.04.15.03.00,0
ER-Bihar-PV,2030.04.15.04.00,0
ER-Bihar-PV,2030.04.15.05.00,0.0315
ER-Bihar-PV,2030.04.15.06.00,0.151
ER-Bihar-PV,2030.04.15.07.00,0.332
ER-Bihar-PV,2030.04.15.08.00,0.497
ER-Bihar-PV,2030.04.15.09.00,0.6205
ER-Bihar-PV,2030.04.15.10.00,0.699
ER-Bihar-PV,2030.04.15.11.00,0.7295
ER-Bihar-PV,2030.04.15.12.00,0.714
ER-Bihar-PV,2030.04.15.13.00,0.6535
ER-Bihar-PV,2030.04.15.14.00,0.54
ER-Bihar-PV,2030.04.15.15.00,0.386
ER-Bihar-PV,2030.04.15.16.00,0.2165
ER-Bihar-PV,2030.04.15.17.00,0.0695
ER-Bihar-PV,2030.04.15.18.00,0.005
ER-Bihar-PV,2030.04.15.19.00,0
ER-Bihar-PV,2030.04.15.20.00,0
ER-Bihar-PV,2030.04.15.21.00,0
ER-Bihar-PV,2030.04.15.22.00,0
ER-Bihar-PV,2030.04.15.23.00,0
ER-Bihar-PV,2030.07.01.00.00,0
ER-Bihar-PV,2030.07.01.01.00,0
ER-Bihar-PV,2030.07.01.02.00,0
ER-Bihar-PV,2030.07.01.03.00,0
ER-Bihar-PV,2030.07.01.04.00,0
ER-Bihar-PV,2030.07.01.05.00,0.029
ER-Bihar-PV,2030.07.01.06.00,0.1295
ER-Bihar-PV,2030.07.01.07.00,0.2745
ER-Bihar-PV,2030.07.01.08.00,0.4185
ER-Bihar-PV,2030.07.01.09.00,0.544
ER-Bihar-PV,2030.07.01.10.00,0.622
ER-Bihar-PV,2030.07.01.11.00,0.6465
ER-Bihar-PV,2030.07.01.12.00,0.61
ER-Bihar-PV,2030.07.01.13.00,0.527
ER-Bihar-PV,2030.07.01.14.00,0.4115
ER-Bihar-PV,2030.07.01.15.00,0.2605
ER-Bihar-PV,2030.07.01.16.00,0.124
ER-Bihar-PV,2030.07.01.17.00,0.0375
ER-Bihar-PV,2030.07.01.18.00,0.0035
ER-Bihar-PV,2030.07.01.19.00,0
ER-Bihar-PV,2030.07.01.20.00,0
ER-Bihar-PV,2030.07.01.21.00,0
ER-Bihar-PV,2030.07.01.22.00,0
ER-Bihar-PV,2030.07.01.23.00,0
ER-Bihar-PV,2030.10.31.00.00,0
ER-Bihar-PV,2030.10.31.01.00,0
ER-Bihar-PV,2030.10.31.02.00,0
ER-Bihar-PV,2030.10.31.03.00,0
ER-Bihar-PV,2030.10.31.04.00,0
ER-Bihar-PV,2030.10.31.05.00,0
ER-Bihar-PV,2030.10.31.06.00,0.0335
ER-Bihar-PV,2030.10.31.07.00,0.156
ER-Bihar-PV,2030.10.31.08.00,0.339
ER-Bihar-PV,2030.10.31.09.00,0.501
ER-Bihar-PV,2030.10.31.10.00,0.6025
ER-Bihar-PV,2030.10.31.11.00,0.64
ER-Bihar-PV,2030.10.31.12.00,0.6185
ER-Bihar-PV,2030.10.31.13.00,0.5415
ER-Bihar-PV,2030.10.31.14.00,0.431
ER-Bihar-PV,2030.10.31.15.00,0.2685
ER-Bihar-PV,2030.10.31.16.00,0.09
ER-Bihar-PV,2030.10.31.17.00,0.0075
ER-Bihar-PV,2030.10.31.18.00,0
ER-Bihar-PV,2030.10.31.19.00,0
ER-Bihar-PV,2030.10.31.20.00,0
ER-Bihar-PV,2030.10.31.21.00,0
ER-Bihar-PV,2030.10.31.22.00,0
ER-Bihar-PV,2030.10.31.23.00,0
ER-Jharkhand-PV,2030.01.28.00.00,0
ER-Jharkhand-PV,2030.01.28.01.00,0
ER-Jharkhand-PV,2030.01.28.02.00,0
ER-Jharkhand-PV,2030.01.28.03.00,0
ER-Jharkhand-PV,2030.01.28.04.00,0
ER-Jharkhand-PV,2030.01.28.05.00,0
ER-Jharkhand-PV,2030.01.28.06.00,0.0475
ER-Jharkhand-PV,2030.01.28.07.00,0.222
ER-Jharkhand-PV,2030.01.28.08.00,0.4575
ER-Jharkhand-PV,2030.01.28.09.00,0.637
ER-Jharkhand-PV,2030.01.28.10.00,0.7465
ER-Jharkhand-PV,2030.01.28.11.00,0.794
ER-Jharkhand-PV,2030.01.28.12.00,0.7815
ER-Jharkhand-PV,2030.01.28.13.00,0.7075
ER-Jharkhand-PV,2030.01.28.14.00,0.5585
ER-Jharkhand-PV,2030.01.28.15.00,0.3435
ER-Jharkhand-PV,2030.01.28.16.00,0.122
ER-Jharkhand-PV,2030.01.28.17.00,0.0095
ER-Jharkhand-PV,2030.01.28.18.00,0
ER-Jharkhand-PV,2030.01.28.19.00,0
ER-Jharkhand-PV,2030.01.28.20.00,0
ER-Jharkhand-PV,2030.01.28.21.00,0
