GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om,gen_storage_energy_overnight_cost
NR-Chandigarh-Run-of-River_EP,2025,3241336,92000,.
NR-Chandigarh-Run-of-River_EP,2035,3241336,92000,.
NR-Chandigarh-Run-of-River_EP,2045,3111470,88000,.
NR-Chandigarh-Run-of-River_EP,2022,3241336,92000,.
NR-Chandigarh-RoR-with Pondage_EP,2025,3241336,92000,.
NR-Chandigarh-RoR-with Pondage_EP,2035,3241336,92000,.
NR-Chandigarh-RoR-with Pondage_EP,2045,3111470,88000,.
NR-Chandigarh-RoR-with Pondage_EP,2022,3241336,92000,.
NR-Chandigarh-Storage_EP,2025,3241336,92000,.
NR-Chandigarh-Storage_EP,2035,3241336,92000,.
NR-Chandigarh-Storage_EP,2045,3111470,88000,.
NR-Chandigarh-Storage_EP,2022,3241336,92000,.
NR-Chandigarh-Pumped Storage_EP,2025,0,20150,244774.5806
NR-Chandigarh-Pumped Storage_EP,2035,0,20150,244774.5806
NR-Chandigarh-Pumped Storage_EP,2045,0,20150,244774.5806
NR-Chandigarh-Pumped Storage_EP,2022,0,20150,244774.5806
NR-Chandigarh-PV,2025,1491641,21001,.
NR-Chandigarh-PV,2035,895321,15022,.
NR-Chandigarh-PV,2045,753705,13510,.
NR-Chandigarh-PV_EP,2022,1491641,21001,.
NR-Chandigarh-Onshore,2025,1569099,31251,.
NR-Chandigarh-Onshore,2035,1344692,28261,.
NR-Chandigarh-Onshore,2045,1188169,26256,.
NR-Chandigarh-Onshore_EP,2022,1569099,31251,.
NR-Chandigarh-Battery,2025,0,38777,427850.75
NR-Chandigarh-Battery,2035,0,29997,336849
NR-Chandigarh-Battery,2045,0,24986,284904.75
NR-Delhi-Run-of-River_EP,2025,3241336,92000,.
NR-Delhi-Run-of-River_EP,2035,3241336,92000,.
NR-Delhi-Run-of-River_EP,2045,3111470,88000,.
NR-Delhi-Run-of-River_EP,2022,3241336,92000,.
NR-Delhi-RoR-with Pondage_EP,2025,3241336,92000,.
NR-Delhi-RoR-with Pondage_EP,2035,3241336,92000,.
NR-Delhi-RoR-with Pondage_EP,2045,3111470,88000,.
NR-Delhi-RoR-with Pondage_EP,2022,3241336,92000,.
NR-Delhi-Storage_EP,2025,3241336,92000,.
NR-Delhi-Storage_EP,2035,3241336,92000,.
NR-Delhi-Storage_EP,2045,3111470,88000,.
NR-Delhi-Storage_EP,2022,3241336,92000,.
NR-Delhi-Pumped Storage_EP,2025,0,20150,244774.5806
NR-Delhi-Pumped Storage_EP,2035,0,20150,244774.5806
NR-Delhi-Pumped Storage_EP,2045,0,20150,244774.5806
NR-Delhi-Pumped Storage_EP,2022,0,20150,244774.5806
NR-Delhi-PV,2025,1491641,21001,.
NR-Delhi-PV,2035,895321,15022,.
NR-Delhi-PV,2045,753705,13510,.
NR-Delhi-PV_EP,2022,1491641,21001,.
NR-Delhi-Onshore,2025,1569099,31251,.
NR-Delhi-Onshore,2035,1344692,28261,.
