GENERATION_PROJECT,gen_tech,gen_energy_source,gen_load_zone,gen_max_age,gen_is_variable,gen_is_flexible_baseload,gen_is_baseload,gen_can_provide_spinning_reserves,gen_can_provide_quickstart_reserves,gen_full_load_heat_rate,gen_variable_om,gen_connect_cost_per_mw,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_capacity_limit_mw,gen_min_build_capacity,gen_is_cogen,gen_storage_efficiency,gen_store_to_release_ratio,gen_storage_energy_to_power_ratio,gen_min_load_fraction,gen_is_pumped_hydro
NR-Chandigarh-Run-of-River_EP,Run-of-River_EP,Water,NR,100,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,0,0.094,0.051,.,0,FALSE,.,.,.,0.3,FALSE
NR-Chandigarh-RoR-with Pondage_EP,RoR-with Pondage_EP,Water,NR,100,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,0,0.094,0.051,.,0,FALSE,.,.,.,0.3,FALSE
NR-Chandigarh-Storage_EP,Storage_EP,Water,NR,100,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,0,0.094,0.051,.,0,FALSE,.,.,.,0.3,FALSE
NR-Chandigarh-Pumped Storage_EP,Pumped Storage_EP,HP,NR,100,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,0,0.094,0.051,.,0,FALSE,0.74,1,15.5,0,TRUE
NR-Chandigarh-PV,PV,Solar,NR,20,TRUE,FALSE,FALSE,TRUE,FALSE,.,0,0,0,0.02,.,0,FALSE,.,.,.,0,FALSE
NR-Chandigarh-PV_EP,PV_EP,Solar,NR,20,TRUE,FALSE,FALSE,TRUE,FALSE,.,0,0,0,0.02,24,0,FALSE,.,.,.,0,FALSE
NR-Chandigarh-Onshore,Onshore,Wind,NR,30,TRUE,FALSE,FALSE,TRUE,FALSE,.,0,0,0.0139,0.02,.,0,FALSE,.,.,.,0,FALSE
NR-Chandigarh-Onshore_EP,Onshore_EP,Wind,NR,30,TRUE,FALSE,FALSE,TRUE,FALSE,.,0,0,0.0139,0.02,0,0,FALSE,.,.,.,0,FALSE
NR-Chandigarh-Battery,Battery,Storage,NR,15,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,0,0.0055,0.02,.,0,FALSE,0.85,1,4,0,FALSE
NR-Delhi-Run-of-River_EP,Run-of-River_EP,Water,NR,100,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,0,0.094,0.051,.,0,FALSE,.,.,.,0.3,FALSE
NR-Delhi-RoR-with Pondage_EP,RoR-with Pondage_EP,Water,NR,100,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,0,0.094,0.051,.,0,FALSE,.,.,.,0.3,FALSE
NR-Delhi-Storage_EP,Storage_EP,Water,NR,100,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,0,0.094,0.051,.,0,FALSE,.,.,.,0.3,FALSE
NR-Delhi-Pumped Storage_EP,Pumped Storage_EP,HP,NR,100,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,0,0.094,0.051,.,0,FALSE,0.74,1,15.5,0,TRUE
NR-Delhi-PV,PV,Solar,NR,20,TRUE,FALSE,FALSE,TRUE,FALSE,.,0,0,0,0.02,.,0,FALSE,.,.,.,0,FALSE
NR-Delhi-PV_EP,PV_EP,Solar,NR,20,TRUE,FALSE,FALSE,TRUE,FALSE,.,0,0,0,0.02,28,0,FALSE,.,.,.,0,FALSE
NR-Delhi-Onshore,Onshore,Wind,NR,30,TRUE,FALSE,FALSE,TRUE,FALSE,.,0,0,0.0139,0.02,.,0,FALSE,.,.,.,0,FALSE
NR-Delhi-Onshore_EP,Onshore_EP,Wind,NR,30,TRUE,FALSE,FALSE,TRUE,FALSE,.,0,0,0.0139,0.02,0,0,FALSE,.,.,.,0,FALSE
NR-Delhi-Battery,Battery,Storage,NR,15,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,0,0.0055,0.02,.,0,FALSE,0.85,1,4,0,FALSE
NR-Haryana-Run-of-River_EP,Run-of-River_EP,Water,NR,100,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,0,0.094,0.051,.,0,FALSE,.,.,.,0.3,FALSE
NR-Haryana-RoR-with Pondage_EP,RoR-with Pondage_EP,Water,NR,100,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,0,0.094,0.051,.,0,FALSE,.,.,.,0.3,FALSE
NR-Haryana-Storage_EP,Storage_EP,Water,NR,100,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,0,0.094,0.051,.,0,FALSE,.,.,.,0.3,FALSE
NR-Haryana-Pumped Storage_EP,Pumped Storage_EP,HP,NR,100,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,0,0.094,0.051,.,0,FALSE,0.74,1,15.5,0,TRUE
