GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om,gen_storage_energy_overnight_cost
NR-Chandigarh-Run-of-River_EP,2025,3241336,92000,.
NR-Chandigarh-Run-of-River_EP,2035,3241336,92000,.
NR-Chandigarh-Run-of-River_EP,2045,3241336,92000,.
NR-Chandigarh-Run-of-River_EP,2022,3241336,92000,.
NR-Chandigarh-RoR-with Pondage_EP,2025,3241336,92000,.
NR-Chandigarh-RoR-with Pondage_EP,2035,3241336,92000,.
NR-Chandigarh-RoR-with Pondage_EP,2045,3241336,92000,.
NR-Chandigarh-RoR-with Pondage_EP,2022,3241336,92000,.
NR-Chandigarh-Storage_EP,2025,3241336,92000,.
NR-Chandigarh-Storage_EP,2035,3241336,92000,.
NR-Chandigarh-Storage_EP,2045,3241336,92000,.
NR-Chandigarh-Storage_EP,2022,3241336,92000,.
NR-Chandigarh-Pumped Storage_EP,2025,0,20150,244774.5806
NR-Chandigarh-Pumped Storage_EP,2035,0,20150,244774.5806
NR-Chandigarh-Pumped Storage_EP,2045,0,20150,244774.5806
NR-Chandigarh-Pumped Storage_EP,2022,0,20150,244774.5806
NR-Chandigarh-PV,2025,1540628,21503,.
NR-Chandigarh-PV,2035,1189247,17962,.
NR-Chandigarh-PV,2045,993296,15997,.
NR-Chandigarh-PV_EP,2022,1540628,21503,.
NR-Chandigarh-Onshore,2025,1632639,31868,.
NR-Chandigarh-Onshore,2035,1522152,30291,.
NR-Chandigarh-Onshore,2045,1411671,29051,.
NR-Chandigarh-Onshore_EP,2022,1632639,31868,.
NR-Chandigarh-Battery,2025,0,49595,539985.75
NR-Chandigarh-Battery,2035,0,38929,429425.25
NR-Chandigarh-Battery,2045,0,36169,400818.25
NR-Delhi-Run-of-River_EP,2025,3241336,92000,.
NR-Delhi-Run-of-River_EP,2035,3241336,92000,.
NR-Delhi-Run-of-River_EP,2045,3241336,92000,.
NR-Delhi-Run-of-River_EP,2022,3241336,92000,.
NR-Delhi-RoR-with Pondage_EP,2025,3241336,92000,.
NR-Delhi-RoR-with Pondage_EP,2035,3241336,92000,.
NR-Delhi-RoR-with Pondage_EP,2045,3241336,92000,.
NR-Delhi-RoR-with Pondage_EP,2022,3241336,92000,.
NR-Delhi-Storage_EP,2025,3241336,92000,.
NR-Delhi-Storage_EP,2035,3241336,92000,.
NR-Delhi-Storage_EP,2045,3241336,92000,.
NR-Delhi-Storage_EP,2022,3241336,92000,.
NR-Delhi-Pumped Storage_EP,2025,0,20150,244774.5806
NR-Delhi-Pumped Storage_EP,2035,0,20150,244774.5806
NR-Delhi-Pumped Storage_EP,2045,0,20150,244774.5806
NR-Delhi-Pumped Storage_EP,2022,0,20150,244774.5806
NR-Delhi-PV,2025,1540628,21503,.
NR-Delhi-PV,2035,1189247,17962,.
NR-Delhi-PV,2045,993296,15997,.
NR-Delhi-PV_EP,2022,1540628,21503,.
NR-Delhi-Onshore,2025,1632639,31868,.
NR-Delhi-Onshore,2035,1522152,30291,.
