"scenario_name","scenario_profile","region","eres_case","tech_scenario","carbon_case","solver","solver_options_string","crossover"
"Scen_CN_Low_A_NoRGES","CN_NR_A","CN","NR","A","BASELINE","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_C_NoRGES","CN_NR_C","CN","NR","C","BASELINE","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_M_NoRGES","CN_NR_M","CN","NR","M","BASELINE","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_A_BaseRGES_000","CN_BR_A","CN","BR","A","CE000","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_A_BaseRGES_001","CN_BR_A","CN","BR","A","CE001","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_A_BaseRGES_002","CN_BR_A","CN","BR","A","CE002","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_A_BaseRGES_003","CN_BR_A","CN","BR","A","CE003","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_A_BaseRGES_004","CN_BR_A","CN","BR","A","CE004","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_A_BaseRGES_005","CN_BR_A","CN","BR","A","CE005","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_A_BaseRGES_006","CN_BR_A","CN","BR","A","CE006","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_A_BaseRGES_007","CN_BR_A","CN","BR","A","CE007","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_A_BaseRGES_008","CN_BR_A","CN","BR","A","CE008","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_A_BaseRGES_009","CN_BR_A","CN","BR","A","CE009","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_A_BaseRGES_010","CN_BR_A","CN","BR","A","CE010","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_A_BaseRGES_011","CN_BR_A","CN","BR","A","CE011","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_A_BaseRGES_012","CN_BR_A","CN","BR","A","CE012","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_A_BaseRGES_013","CN_BR_A","CN","BR","A","CE013","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_A_BaseRGES_014","CN_BR_A","CN","BR","A","CE014","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_A_BaseRGES_015","CN_BR_A","CN","BR","A","CE015","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_A_HighRGES_000","CN_HR_A","CN","HR","A","CE000","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_A_HighRGES_001","CN_HR_A","CN","HR","A","CE001","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_A_HighRGES_002","CN_HR_A","CN","HR","A","CE002","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_A_HighRGES_003","CN_HR_A","CN","HR","A","CE003","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
